srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,key_resp_2.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033198000164702500,0.019889899995178000,0.019889899995178000,173.98652979999300,space,173.96188529999900,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.33134959999000,335.34764499997300,335.34764499997300,423.7966267999730,space,88.43385030003270,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,0,0,0,n,1,0.5990354999667030,None,,,,,,,,,,,,,up,1,0.6622417999897150,None,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.8627992999970,,,,,,,,,423.84811279992600,423.8627992999970,425.2960986000250,425.2960986000250,425.79608859994900,425.79608859994900,426.54608080000600,426.54608080000600,427.0460844000340,427.0460844000340,427.0460844000340,427.0460844000340,427.0460844000340,427.0460844000340,427.0460844000340,427.0460844000340,3.2327531999908400,427.0460844000340,3.2496702999342200,427.2460546999940,427.2460546999940,427.2460546999940,427.2460546999940,427.2460546999940,427.2460546999940,427.2460546999940,427.6466434999600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5990354999667030,None,427.64781739993500,427.66272010002300,427.66272010002300,428.32996909995600,up,1,0.6622417999897150,None,428.3318748000310,428.346048999927,428.8960357999900,428.8296641999620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,1,1,0,n,1,0.518066699965857,None,,,,,,,,,,,,,down,1,0.6163999000564220,None,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8960357999900,,,,,,,,,428.87979089992600,428.8960357999900,430.3293468999910,430.3293468999910,430.8293364000270,430.8293364000270,431.5793479999990,431.5793479999990,432.0793209000260,432.0793209000260,432.0793209000260,432.0793209000260,432.0793209000260,432.0793209000260,432.0793209000260,432.0793209000260,3.232658600085420,432.0793209000260,3.2495471000438600,432.27928639994900,432.27928639994900,432.27928639994900,432.27928639994900,432.27928639994900,432.27928639994900,432.27928639994900,432.6131875999270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.518066699965857,None,432.61434989993000,432.62930659996300,432.62930659996300,433.24652069993300,down,1,0.6163999000564220,None,433.24681549996600,433.26262699998900,433.81262670003300,433.74623199994700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,2,2,0,n,1,0.8414136000210420,None,,,,,,,,,,,,,down,1,0.9830886999843640,None,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.81262670003300,,,,,,,,,433.79742980003400,433.81262670003300,435.2459347000110,435.2459347000110,435.7459257999440,435.7459257999440,436.4958912000290,436.4958912000290,436.99590370000800,436.99590370000800,436.99590370000800,436.99590370000800,436.99590370000800,436.99590370000800,436.99590370000800,436.99590370000800,3.232692399993540,436.99590370000800,3.249584799981680,437.1958932999990,437.1958932999990,437.1958932999990,437.1958932999990,437.1958932999990,437.1958932999990,437.1958932999990,437.8464265000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8414136000210420,None,437.8475834999700,437.86255700001500,437.86255700001500,438.8464481999400,down,1,0.9830886999843640,None,438.8467408999570,438.86253569996900,439.41253480000900,439.3461365000110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,3,3,0,n,1,0.5452616000548010,None,,,,,,,,,,,,,up,1,0.48304890003055300,None,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.41253480000900,,,,,,,,,439.3957125999730,439.41253480000900,440.8458352999300,440.8458352999300,441.34582799999000,441.34582799999000,442.0958023000280,442.0958023000280,442.5957993000050,442.5957993000050,442.5957993000050,442.5957993000050,442.5957993000050,442.5957993000050,442.5957993000050,442.5957993000050,3.232673699967560,442.5957993000050,3.2495574998902200,442.79581489996100,442.79581489996100,442.79581489996100,442.79581489996100,442.79581489996100,442.79581489996100,442.79581489996100,443.1465126000110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5452616000548010,None,443.1476535999680,443.1624523999640,443.1624523999640,443.64645290002200,up,1,0.48304890003055300,None,443.6467503999590,443.6624368999620,444.2124199999960,444.1460273999260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,4,4,0,x,1,0.7212567999958990,None,,,,,,,,,,,,,down,1,0.5796710000140590,None,,,,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.2124199999960,,,,,,,,,444.1948890000350,444.2124199999960,445.64573340001500,445.64573340001500,446.14572199992800,446.14572199992800,446.89570799993800,446.89570799993800,447.3957102999560,447.3957102999560,447.3957102999560,447.3957102999560,447.3957102999560,447.3957102999560,447.3957102999560,447.3957102999560,3.232560700038450,447.3957102999560,3.2494489999953700,447.59569550002900,447.59569550002900,447.59569550002900,447.59569550002900,447.59569550002900,447.59569550002900,447.59569550002900,448.1295392999890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7212567999958990,None,448.13067320000800,448.14568760001600,448.14568760001600,448.7296933999750,down,1,0.5796710000140590,None,448.72998820000800,448.74568900000300,449.2956796999790,449.2293507999280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,5,5,0,x,1,0.8065054999897260,None,,,,,,,,,,,,,down,1,0.5327999999281020,None,,,,,,,,,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.2956796999790,,,,,,,,,449.27916119992700,449.2956796999790,450.7289910999830,450.7289910999830,451.2289898999730,451.2289898999730,451.9789778999980,451.9789778999980,452.4789690999310,452.4789690999310,452.4789690999310,452.4789690999310,452.4789690999310,452.4789690999310,452.4789690999310,452.4789690999310,3.2325805000728000,452.4789690999310,3.2494803000008700,452.678954300005,452.678954300005,452.678954300005,452.678954300005,452.678954300005,452.678954300005,452.678954300005,453.29614370001900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8065054999897260,None,453.29728649999000,453.31229080003700,453.31229080003700,453.8461075000230,down,1,0.5327999999281020,None,453.8463971000170,453.8622899999610,454.395606999984,454.3458873999770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,6,6,0,x,1,0.7459538000402970,None,,,,,,,,,,,,,up,1,0.5556653999956330,None,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.395606999984,,,,,,,,,454.39136100001600,454.395606999984,455.84555059997400,455.84555059997400,456.3455643999620,456.3455643999620,457.0955577000280,457.0955577000280,457.5955441999250,457.5955441999250,457.5955441999250,457.5955441999250,457.5955441999250,457.5955441999250,457.5955441999250,457.5955441999250,3.232758399914020,457.5955441999250,3.2496304999804100,457.79554239998100,457.79554239998100,457.79554239998100,457.79554239998100,457.79554239998100,457.79554239998100,457.79554239998100,458.34608379995900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7459538000402970,None,458.3471969999370,458.3622049000110,458.3622049000110,458.9293835000140,up,1,0.5556653999956330,None,458.92968089995000,458.9455240999810,459.49551589996600,459.4291082000130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,7,7,0,x,1,0.7660588000435380,None,,,,,,,,,,,,,down,1,0.518788400106132,None,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.49551589996600,,,,,,,,,459.47940319997700,459.49551589996600,460.92882399994400,460.92882399994400,461.42881129996400,461.42881129996400,462.17879529995800,462.17879529995800,462.67880410002500,462.67880410002500,462.67880410002500,462.67880410002500,462.67880410002500,462.67880410002500,462.67880410002500,462.67880410002500,3.232717699953360,462.67880410002500,3.249602199997750,462.87878449994600,462.87878449994600,462.87878449994600,462.87878449994600,462.87878449994600,462.87878449994600,462.87878449994600,463.4460741999790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7660588000435380,None,463.44721300003600,463.462105399929,463.462105399929,463.9960296000350,down,1,0.518788400106132,None,463.9963242999510,464.0121052999750,464.5620786999350,464.49570089997700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandini,1,2025-09-04_16h37.48.223,Working memory task,2024.2.4,60.04401224660570,2025-09-04 16h38.00.712375 +0530,
