srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,trials.key_resp_8.rt,trials.key_resp_8.duration,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,text_3.stopped,key_resp_3.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006886200000280950,0.023454099999980800,0.023454099999980800,68.39772740000040,space,68.30079170000000,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,0,0,0,x,1,0.7818428999999010,None,,,,,,,,,,,,,down,1,1.2701843999998300,None,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.38565000000000,,,,,,,,,262.3707983000000,262.38565000000000,263.75229850000000,263.75229850000000,264.2522835,264.2522835,265.00226610000000,265.00226610000000,265.5022716000000,265.5022716000000,265.5022716000000,265.5022716000000,265.5022716000000,265.5022716000000,265.5022716000000,265.5022716000000,3.2327125000001600,265.5022716000000,3.249631600000160,265.7022659000000,265.7022659000000,265.7022659000000,265.7022659000000,265.7022659000000,265.7022659000000,265.7022659000000,266.2861743000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7818428999999010,None,266.2873275000000,266.3022575,266.3022575,267.5860825,down,1,1.2701843999998300,None,267.5876634000000,267.60222870000000,268.15224050000000,268.0858158000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,1,1,0,x,1,1.1962122999998400,None,,,,,,,,,,,,,down,1,1.2921618999998800,None,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.15224050000000,,,,,,,,,268.1375804000000,268.15224050000000,269.5855362000000,269.5855362000000,270.08552370000000,270.08552370000000,270.83550170000000,270.83550170000000,271.33550830000000,271.33550830000000,271.33550830000000,271.33550830000000,271.33550830000000,271.33550830000000,271.33550830000000,271.33550830000000,3.232737300000280,271.33550830000000,3.249631000000140,271.53550240000000,271.53550240000000,271.53550240000000,271.53550240000000,271.53550240000000,271.53550240000000,271.53550240000000,272.5361362000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.1962122999998400,None,272.5373118000000,272.55214060000000,272.55214060000000,273.8526869000000,down,1,1.2921618999998800,None,273.85298710000000,273.8687963000000,274.4521351000000,274.3523842000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,2,2,0,n,1,0.921723099999781,None,,,,,,,,,,,,,down,1,2.2361410999997100,None,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.4521351000000,,,,,,,,,274.43267860000000,274.4521351000000,275.8520861000000,275.8520861000000,276.3520764,276.3520764,277.1020759000000,277.1020759000000,277.60208200000000,277.60208200000000,277.60208200000000,277.60208200000000,277.60208200000000,277.60208200000000,277.60208200000000,277.60208200000000,3.2326889000000800,277.60208200000000,3.2496165000002300,277.8020609,277.8020609,277.8020609,277.8020609,277.8020609,277.8020609,277.8020609,278.5360276000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.921723099999781,None,278.53716870000000,278.55205790000000,278.55205790000000,280.8025918000000,down,1,2.2361410999997100,None,280.8028908000000,280.8186778000000,281.4019747000000,281.3022867000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,3,3,0,n,1,0.7241888999997170,None,,,,,,,,,,,,,down,1,0.7584690999997290,None,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4019747000000,,,,,,,,,281.3823916000000,281.4019747000000,282.80194570000000,282.80194570000000,283.3019703,283.3019703,284.0519585000000,284.0519585000000,284.55194470000000,284.55194470000000,284.55194470000000,284.55194470000000,284.55194470000000,284.55194470000000,284.55194470000000,284.55194470000000,3.2326684000004200,284.55194470000000,3.249545399999990,284.7519459,284.7519459,284.7519459,284.7519459,284.7519459,284.7519459,284.7519459,285.2858616000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7241888999997170,None,285.2869998000000,285.3019430000000,285.3019430000000,286.0691632000000,down,1,0.7584690999997290,None,286.0694676000000,286.0852595000000,286.6185869000000,286.56884860000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_015_M_HPY.png,1,1,6,6,up,O,O,O,O,N,O,3,n,4,4,0,n,1,0.8496876999997770,None,,,,,,,,,,,,,up,1,0.9196314999999230,None,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.6185869000000,,,,,,,,,286.6140968000000,286.6185869000000,288.06856050000000,288.06856050000000,288.56854380000000,288.56854380000000,289.3185381000000,289.3185381000000,289.8185318000000,289.8185318000000,289.8185318000000,289.8185318000000,289.8185318000000,289.8185318000000,289.8185318000000,289.8185318000000,3.23264109999991,289.8185318000000,3.2495867000002400,290.0185296000000,290.0185296000000,290.0185296000000,290.0185296000000,290.0185296000000,290.0185296000000,290.0185296000000,290.6690990000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8496876999997770,None,290.6702445000000,290.6851822000000,290.6851822000000,291.61902390000000,up,1,0.9196314999999230,None,291.6193132000000,291.6351601000000,292.1684892000000,292.11876170000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,5,5,0,x,1,1.3000594999998600,None,,,,,,,,,,,,,up,1,0.9673219000001150,None,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.1684892000000,,,,,,,,,292.16248220000000,292.1684892000000,293.6184623000000,293.6184623000000,294.1184558,294.1184558,294.8684346,294.8684346,295.3684422000000,295.3684422000000,295.3684422000000,295.3684422000000,295.3684422000000,295.3684422000000,295.3684422000000,295.3684422000000,3.2327190999999400,295.3684422000000,3.249636100000320,295.5684303000000,295.5684303000000,295.5684303000000,295.5684303000000,295.5684303000000,295.5684303000000,295.5684303000000,296.6691257000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.3000594999998600,None,296.6702571000000,296.6850722000000,296.6850722000000,297.66890600000000,up,1,0.9673219000001150,None,297.66919910000000,297.68506270000000,298.23505790000000,298.1686375000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,6,6,0,x,1,1.089971500000050,None,,,,,,,,,,,,,down,1,0.8929593000002570,None,,,,,,,,,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.23505790000000,,,,,,,,,298.21853420000000,298.23505790000000,299.66835600000000,299.66835600000000,300.16835850000000,300.16835850000000,300.9183025000000,300.9183025000000,301.4183144000000,301.4183144000000,301.4183144000000,301.4183144000000,301.4183144000000,301.4183144000000,301.4183144000000,301.4183144000000,3.232740599999940,301.4183144000000,3.249647200000250,301.6182960000000,301.6182960000000,301.6182960000000,301.6182960000000,301.6182960000000,301.6182960000000,301.6182960000000,302.51886590000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.089971500000050,None,302.52000290000000,302.5349772000000,302.5349772000000,303.43553480000000,down,1,0.8929593000002570,None,303.4358242000000,303.4516328000000,304.0016346000000,303.9352250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_026_M_NUT.png,0,1,3,0,down,O,O,O,X,O,O,1,x,7,7,0,x,1,0.8268880999999060,None,,,,,,,,,,,,,down,1,0.8735932999998110,None,,,,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0016346000000,,,,,,,,,303.9800315000000,304.0016346000000,305.43494020000000,305.43494020000000,305.93492540000000,305.93492540000000,306.68490950000000,306.68490950000000,307.18490810000000,307.18490810000000,307.18490810000000,307.18490810000000,307.18490810000000,307.18490810000000,307.18490810000000,307.18490810000000,3.2326900999996700,307.18490810000000,3.249575399999690,307.3849031,307.3849031,307.3849031,307.3849031,307.3849031,307.3849031,307.3849031,308.01879780000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8268880999999060,None,308.01994270000000,308.0348919000000,308.0348919000000,308.91872920000000,down,1,0.8735932999998110,None,308.9190208,308.93487110000000,309.5515274000000,309.4184755000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,8,8,0,n,1,1.5922505999997200,None,,,,,,,,,,,,,up,1,0.8950307000000070,None,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.5515274000000,,,,,,,,,309.5359292000000,309.5515274000000,310.91816470000000,310.91816470000000,311.4181622000000,311.4181622000000,312.1681598,312.1681598,312.6681614000000,312.6681614000000,312.6681614000000,312.6681614000000,312.6681614000000,312.6681614000000,312.6681614000000,312.6681614000000,3.2327276999999400,312.6681614000000,3.249667500000210,312.86812420000000,312.86812420000000,312.86812420000000,312.86812420000000,312.86812420000000,312.86812420000000,312.86812420000000,314.2687140000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.5922505999997200,None,314.26985650000000,314.28478680000000,314.28478680000000,315.1854076000000,up,1,0.8950307000000070,None,315.18570190000000,315.2014283000000,315.7514188,315.68510030000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandra_main],1,2025-09-18_16h29.15.506,Working memory task,2024.2.4,61.11726018658230,2025-09-18 16h29.29.296684 +0530,
