srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,text_3.stopped,key_resp_3.stopped,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block1.key_resp_3.rt,block1.key_resp_3.duration,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,key_resp_5.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block8.key_resp_5.rt,block8.key_resp_5.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017711699940264200,0.03428159991744910,0.03428159991744910,198.61476439994300,space,198.5635336000710,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.5282298999370,381.5445481999780,381.5445481999780,467.7770184999100,space,86.22785659995860,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,0,0,0,x,1,,,0.7856985999969770,None,,,,,,,,,,,None,0,,,,,,,,,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.8431466999460,,,,,,,,,467.8343953998990,467.8431466999460,469.2764533999140,469.2764533999140,469.7764477999880,469.7764477999880,470.5264386999190,470.5264386999190,471.02642769995100,471.02642769995100,471.02642769995100,471.02642769995100,471.02642769995100,471.02642769995100,471.02642769995100,471.02642769995100,3.2327237999998000,471.02642769995100,3.249623900046570,471.2264080999890,471.2264080999890,471.2264080999890,471.2264080999890,471.2264080999890,471.2264080999890,471.2264080999890,,471.82692619995200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7856985999969770,None,471.82811269990600,471.84308279992500,471.84308279992500,474.82636419998000,474.82636419998000,474.8099621000000,None,0,474.81156279996500,474.82636419998000,475.4263597999230,475.30995629995600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,1,1,0,n,1,,,0.5720166999381040,None,,,,,,,,,,,down,1,1.2682905999245100,None,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.4263597999230,,,,,,,,,475.408721899963,475.4263597999230,476.8263334999790,476.8263334999790,477.32634639996100,477.32634639996100,478.0763084999050,478.0763084999050,478.5763244999110,478.5763244999110,478.5763244999110,478.5763244999110,478.5763244999110,478.5763244999110,478.5763244999110,478.5763244999110,3.2326884999638400,478.5763244999110,3.2496141999727100,478.7762919999660,478.7762919999660,478.7762919999660,478.7762919999660,478.7762919999660,478.7762919999660,478.7762919999660,,479.16015739995100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5720166999381040,None,479.1613124998990,479.17629500001200,479.17629500001200,,,480.460141699994,down,1,480.46172699995800,480.4762754999100,481.0429371999340,480.9598479999700,1.2682905999245100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_031_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,2,2,0,x,1,,,0.5624012999469410,None,,,,,,,,,,,down,0,0.7549944999627770,None,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0429371999340,,,,,,,,,481.03282580000800,481.0429371999340,482.4595597999870,482.4595597999870,482.9595774000050,482.9595774000050,483.70955129992200,483.70955129992200,484.20954869990200,484.20954869990200,484.20954869990200,484.20954869990200,484.20954869990200,484.20954869990200,484.20954869990200,484.20954869990200,3.232737799989990,484.20954869990200,3.249613899970430,484.40953209996200,484.40953209996200,484.40953209996200,484.40953209996200,484.40953209996200,484.40953209996200,484.40953209996200,,484.7767876998990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5624012999469410,None,484.777966799913,484.79286539997000,484.79286539997000,,,485.5601080999480,down,0,485.56172959995500,485.57618799991900,486.1261843999380,486.0597685999240,0.7549944999627770,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,3,3,0,n,1,,,0.7425422000233080,None,,,,,,,,,,,up,1,1.0000454999972100,None,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.1261843999380,,,,,,,,,486.1062913999190,486.1261843999380,487.55949159991000,487.55949159991000,488.0594740000090,488.0594740000090,488.8094689999710,488.8094689999710,489.30945519998200,489.30945519998200,489.30945519998200,489.30945519998200,489.30945519998200,489.30945519998200,489.30945519998200,489.30945519998200,3.2326668000314400,489.30945519998200,3.2495555999921600,489.50945889996400,489.50945889996400,489.50945889996400,489.50945889996400,489.50945889996400,489.50945889996400,489.50945889996400,,490.0599656999110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7425422000233080,None,490.06110089994000,490.0761233000090,490.0761233000090,,,491.07673939992700,up,1,491.0783311999400,491.09276049991600,491.6260801999600,491.5763596999460,1.0000454999972100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,4,4,0,x,1,,,0.5938930000411350,None,,,,,,,,,,,up,1,0.6744110999861730,None,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.6260801999600,,,,,,,,,491.6209494000070,491.6260801999600,493.0760717999660,493.0760717999660,493.57608319993600,493.57608319993600,494.32605499995400,494.32605499995400,494.8260408999630,494.8260408999630,494.8260408999630,494.8260408999630,494.8260408999630,494.8260408999630,494.8260408999630,494.8260408999630,3.232609200058510,494.8260408999630,3.2495099999941900,495.0260487999770,495.0260487999770,495.0260487999770,495.0260487999770,495.0260487999770,495.0260487999770,495.0260487999770,,495.42657569993800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5938930000411350,None,495.4277163000080,495.44269659998800,495.44269659998800,,,496.1265740999950,up,1,496.1268601999620,496.1426741000030,496.6926713999130,496.626326699974,0.6744110999861730,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_026_M_NUT.png,0,1,3,0,down,O,O,O,X,O,O,1,x,5,5,0,x,1,,,0.6960963000310590,None,,,,,,,,,,,down,1,1.0273306999588400,None,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.6926713999130,,,,,,,,,496.67133749998200,496.6926713999130,498.12599049997500,498.12599049997500,498.62597759999300,498.62597759999300,499.37596749991600,499.37596749991600,499.87596279999700,499.87596279999700,499.87596279999700,499.87596279999700,499.87596279999700,499.87596279999700,499.87596279999700,499.87596279999700,3.232694000005720,499.87596279999700,3.249598399968820,500.07594479993000,500.07594479993000,500.07594479993000,500.07594479993000,500.07594479993000,500.07594479993000,500.07594479993000,,500.57655229989900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.6960963000310590,None,500.5776708999180,500.59261689998700,500.59261689998700,,,501.6265083999610,down,1,501.626801699982,501.6426020999210,502.20924289990200,502.1261706999500,1.0273306999588400,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,6,6,0,x,0,,,0.4768701000139120,None,,,,,,,,,,,down,1,0.9522063999902460,None,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.20924289990200,,,,,,,,,502.1901198999260,502.20924289990200,503.625880699954,503.625880699954,504.1258906999140,504.1258906999140,504.87587459990800,504.87587459990800,505.375872900011,505.375872900011,505.375872900011,505.375872900011,505.375872900011,505.375872900011,505.375872900011,505.375872900011,3.2326764999888800,505.375872900011,3.2495627000462300,505.57585689995900,505.57585689995900,505.57585689995900,505.57585689995900,505.57585689995900,505.57585689995900,505.57585689995900,,505.85975730000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,0,0.4768701000139120,None,505.8608912999040,505.8758651999520,505.8758651999520,,,506.8430306999940,down,1,506.8433170999630,506.85918369994000,507.4091696999970,507.3427652999530,0.9522063999902460,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,7,7,0,x,1,,,0.5559559999965130,None,,,,,,,,,,,down,1,1.6440980000188600,None,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.4091696999970,,,,,,,,,507.3915571999970,507.4091696999970,508.84248110000000,508.84248110000000,509.34247619996300,509.34247619996300,510.09244929999100,510.09244929999100,510.5924662000030,510.5924662000030,510.5924662000030,510.5924662000030,510.5924662000030,510.5924662000030,510.5924662000030,510.5924662000030,3.2327417000196900,510.5924662000030,3.2496414999477600,510.7924514999610,510.7924514999610,510.7924514999610,510.7924514999610,510.7924514999610,510.7924514999610,510.7924514999610,,511.15965029993100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5559559999965130,None,511.1607786999080,511.17579899996100,511.17579899996100,,,512.8263163999650,down,1,512.826606699964,512.8424143999580,513.3924108999780,513.3259990999940,1.6440980000188600,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natasha,1,2025-09-28_14h07.06.349,Working memory task,2024.2.4,60.63689351206440,2025-09-28 14h08.36.677030 +0530,
