srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,trials.key_resp_8.rt,trials.key_resp_8.duration,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,key_resp_2.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015589099959470300,0.032173799932934300,0.032173799932934300,2.218127099913550,space,2.16939439997077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.12953549996000,196.14584519993500,196.14584519993500,313.7945685000160,space,117.63237360003400,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,0,0,0,x,1,0.8375627000350510,None,,,,,,,,,,,,,down,1,1.2350966000231000,None,,,,,,,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.86066559993200,,,,,,,,,313.84985240001700,313.86066559993200,315.29397220001600,315.29397220001600,315.7939670999770,315.7939670999770,316.54395249998200,316.54395249998200,317.043950799969,317.043950799969,317.043950799969,317.043950799969,317.043950799969,317.043950799969,317.043950799969,317.043950799969,3.2326963000232400,317.043950799969,3.2495963000692400,317.2439416999700,317.2439416999700,317.2439416999700,317.2439416999700,317.2439416999700,317.2439416999700,317.2439416999700,317.894478400005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8375627000350510,None,317.895640200004,317.9106025999650,317.9106025999650,319.1610850999130,down,1,1.2350966000231000,None,319.16266989999000,319.1772466999250,319.72724509995900,319.66084019991100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,1,1,0,n,1,0.7472308001015340,None,,,,,,,,,,,,,up,1,1.2606252999976300,None,,,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.72724509995900,,,,,,,,,319.70821369998200,319.72724509995900,321.1605466000040,321.1605466000040,321.6605437999820,321.6605437999820,322.4105230999410,322.4105230999410,322.91054859990300,322.91054859990300,322.91054859990300,322.91054859990300,322.91054859990300,322.91054859990300,322.91054859990300,322.91054859990300,3.232742999913170,322.91054859990300,3.249774699914270,323.1105149999490,323.1105149999490,323.1105149999490,323.1105149999490,323.1105149999490,323.1105149999490,323.1105149999490,323.66116229991900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7472308001015340,None,323.66231229994400,323.6771723999410,323.6771723999410,324.94438839994800,up,1,1.2606252999976300,None,324.94468209997300,324.96047759999100,325.5771355999170,325.44404560001600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,2,2,0,x,1,0.5153747999574990,None,,,,,,,,,,,,,down,1,0.9028211999684570,None,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5771355999170,,,,,,,,,325.5631242999810,325.5771355999170,326.9437712999060,326.9437712999060,327.44376469997200,327.44376469997200,328.19378480000900,328.19378480000900,328.6937616999490,328.6937616999490,328.6937616999490,328.6937616999490,328.6937616999490,328.6937616999490,328.6937616999490,328.6937616999490,3.2327023000689200,328.6937616999490,3.2496206000214400,328.89376060001100,328.89376060001100,328.89376060001100,328.89376060001100,328.89376060001100,328.89376060001100,328.89376060001100,329.2110906000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5153747999574990,None,329.2122481999690,329.2271081999640,329.2271081999640,330.1443448999200,down,1,0.9028211999684570,None,330.1446329000170,330.16040860000100,330.710385399987,330.64397969993300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_026_M_NUT.png,0,1,3,0,down,O,O,O,X,O,O,1,x,3,3,0,x,1,0.8362693999661130,None,,,,,,,,,,,,,down,1,0.9933030999964100,None,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.710385399987,,,,,,,,,330.69108089990900,330.710385399987,332.1437087999660,332.1437087999660,332.6437086999650,332.6437086999650,333.39369329996400,333.39369329996400,333.8936853999040,333.8936853999040,333.8936853999040,333.8936853999040,333.8936853999040,333.8936853999040,333.8936853999040,333.8936853999040,3.2326737000839800,333.8936853999040,3.2496343000093500,334.0936876999910,334.0936876999910,334.0936876999910,334.0936876999910,334.0936876999910,334.0936876999910,334.0936876999910,334.74422379990600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8362693999661130,None,334.7453691000120,334.76030369999400,334.76030369999400,335.76091469998900,down,1,0.9933030999964100,None,335.76120939990500,335.776986700017,336.3269796000100,336.2605727999470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_015_M_HPY.png,1,1,6,6,up,O,O,O,O,N,O,3,n,4,4,0,n,1,0.9789120000787080,None,,,,,,,,,,,,,up,1,0.7636644000886010,None,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.3269796000100,,,,,,,,,336.30705059994900,336.3269796000100,337.7602917999030,337.7602917999030,338.2602790999230,338.2602790999230,339.0102674999510,339.0102674999510,339.51026709994800,339.51026709994800,339.51026709994800,339.51026709994800,339.51026709994800,339.51026709994800,339.51026709994800,339.51026709994800,3.23265449993778,339.51026709994800,3.2495448999106900,339.7102603999670,339.7102603999670,339.7102603999670,339.7102603999670,339.7102603999670,339.7102603999670,339.7102603999670,340.4941684999500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9789120000787080,None,340.49530269997200,340.5102448000110,340.5102448000110,341.2774323999180,up,1,0.7636644000886010,None,341.27772989997200,341.2935689999720,341.8435676000080,341.77716019994100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,5,5,0,x,0,0.6862519000424070,None,,,,,,,,,,,,,up,1,1.6179950999794500,None,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.8435676000080,,,,,,,,,341.8250071000080,341.8435676000080,343.2768715999560,343.2768715999560,343.7768567999590,343.7768567999590,344.52685379993600,344.52685379993600,345.0268446999840,345.0268446999840,345.0268446999840,345.0268446999840,345.0268446999840,345.0268446999840,345.0268446999840,345.0268446999840,3.2327222001040400,345.0268446999840,3.249656500061970,345.2268283999290,345.2268283999290,345.2268283999290,345.2268283999290,345.2268283999290,345.2268283999290,345.2268283999290,345.72738950001100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,0,0.6862519000424070,None,345.728513799957,345.74349389993600,345.74349389993600,347.37732729991000,up,1,1.6179950999794500,None,347.3776221999430,347.39347159990600,348.01013159996400,347.87705329991900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,6,6,0,n,1,0.8427555999951440,None,,,,,,,,,,,,,down,1,1.008081000065430,None,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.01013159996400,,,,,,,,,347.9987526999320,348.01013159996400,349.37677289999600,349.37677289999600,349.87677159998600,349.87677159998600,350.6267571999920,350.6267571999920,351.12674809992300,351.12674809992300,351.12674809992300,351.12674809992300,351.12674809992300,351.12674809992300,351.12674809992300,351.12674809992300,3.232731799944300,351.12674809992300,3.2496191998943700,351.32674329995600,351.32674329995600,351.32674329995600,351.32674329995600,351.32674329995600,351.32674329995600,351.32674329995600,351.9773256999910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8427555999951440,None,351.97881819994700,351.9934045999540,351.9934045999540,353.0106114000080,down,1,1.008081000065430,None,353.01090589992200,353.0267147999260,353.5767199000110,353.51033359998800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,7,7,0,n,1,0.857289099949412,None,,,,,,,,,,,,,up,1,0.9348541999934240,None,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5767199000110,,,,,,,,,353.55733360000900,353.5767199000110,355.01002499996700,355.01002499996700,355.5100111999780,355.5100111999780,356.2599984999980,356.2599984999980,356.76000139990400,356.76000139990400,356.76000139990400,356.76000139990400,356.76000139990400,356.76000139990400,356.76000139990400,356.76000139990400,3.2326920999912500,356.76000139990400,3.249595499946740,356.9599913000130,356.9599913000130,356.9599913000130,356.9599913000130,356.9599913000130,356.9599913000130,356.9599913000130,357.6271677999760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.857289099949412,None,357.6282828999680,357.64331149996700,357.64331149996700,358.59382359997800,up,1,0.9348541999934240,None,358.5941174000040,358.6099619999300,359.19328110001500,359.0935608999570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheetal3,1,2025-09-29_15h04.27.165,Working memory task,2024.2.4,60.373275893035000,2025-09-29 15h04.36.538582 +0530,
