srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005858700023964050,0.022430900018662200,0.022430900018662200,205.63876750005900,space,205.59802140004500,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.7498770999960,400.76618989999400,400.76618989999400,490.0486641000030,space,89.27729960007130,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,0,0,0,x,1,1.1861124000279200,None,,,,,,,,,,,,,down,1,1.577053000102750,None,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.11481669999200,,,,,,,,,490.09990340005600,490.11481669999200,491.54811940004600,491.54811940004600,492.04810510005300,492.04810510005300,492.798089500051,492.798089500051,493.2980974999960,493.2980974999960,493.2980974999960,493.2980974999960,493.2980974999960,493.2980974999960,493.2980974999960,493.2980974999960,3.2327466000570000,493.2980974999960,3.249689600081180,493.49809930007900,493.49809930007900,493.49809930007900,493.49809930007900,493.49809930007900,493.49809930007900,493.49809930007900,494.49867080000700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.1861124000279200,None,494.49981569999400,494.51473310007700,494.51473310007700,496.09861260000600,down,1,1.577053000102750,None,496.10017069999600,496.1147201000710,496.66470920003500,496.59831050003400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,1,1,0,n,1,1.131577100022700,None,,,,,,,,,,,,,down,1,1.5664017000235600,None,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.66470920003500,,,,,,,,,496.64590910007200,496.66470920003500,498.0979923000560,498.0979923000560,498.5980115000860,498.5980115000860,499.34800020000000,499.34800020000000,499.84799610008500,499.84799610008500,499.84799610008500,499.84799610008500,499.84799610008500,499.84799610008500,499.84799610008500,499.84799610008500,3.2326618999941300,499.84799610008500,3.249588400009090,500.047989099985,500.047989099985,500.047989099985,500.047989099985,500.047989099985,500.047989099985,500.047989099985,500.9818802000960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.131577100022700,None,500.98301239998500,500.9979698000240,500.9979698000240,502.56517930002900,down,1,1.5664017000235600,None,502.56547260005000,502.5812768000180,503.1312673999930,503.0648645000770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,2,2,0,n,1,0.921029300079681,None,,,,,,,,,,,,,down,1,1.1389813999412600,None,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.1312673999930,,,,,,,,,503.1135532000340,503.1312673999930,504.56458570004900,504.56458570004900,505.0645810000130,505.0645810000130,505.8145651000090,505.8145651000090,506.31455730006600,506.31455730006600,506.31455730006600,506.31455730006600,506.31455730006600,506.31455730006600,506.31455730006600,506.31455730006600,3.2326979000354200,506.31455730006600,3.2495878000045200,506.51455580000800,506.51455580000800,506.51455580000800,506.51455580000800,506.51455580000800,506.51455580000800,506.51455580000800,507.2484242999930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.921029300079681,None,507.2495571000040,507.26454750006100,507.26454750006100,508.41502870002300,down,1,1.1389813999412600,None,508.4153212000380,508.431166900089,508.98118510004100,508.91480000002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,3,3,0,n,1,0.9196876999922100,None,,,,,,,,,,,,,up,1,0.889853100059554,None,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.98118510004100,,,,,,,,,508.96107840002500,508.98118510004100,510.4144798000340,510.4144798000340,510.9144843000690,510.9144843000690,511.66447220009300,511.66447220009300,512.1644732999850,512.1644732999850,512.1644732999850,512.1644732999850,512.1644732999850,512.1644732999850,512.1644732999850,512.1644732999850,3.2327521999832200,512.1644732999850,3.249670200049880,512.36446479999,512.36446479999,512.36446479999,512.36446479999,512.36446479999,512.36446479999,512.36446479999,513.0983233000150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9196876999922100,None,513.099469400011,513.114425900043,513.114425900043,514.0149525000020,up,1,0.889853100059554,None,514.0152460000250,514.0311121999990,514.5811102000300,514.5146834000480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,4,4,0,n,1,0.8795972000807520,None,,,,,,,,,,,,,down,1,1.8921093000099100,None,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.5811102000300,,,,,,,,,514.567823600024,514.5811102000300,516.0144164999950,516.0144164999950,516.5144062000330,516.5144062000330,517.2643932000500,517.2643932000500,517.7643811000740,517.7643811000740,517.7643811000740,517.7643811000740,517.7643811000740,517.7643811000740,517.7643811000740,517.7643811000740,3.2327706998912600,517.7643811000740,3.2496282999636600,517.9643777000020,517.9643777000020,517.9643777000020,517.9643777000020,517.9643777000020,517.9643777000020,517.9643777000020,518.6482859000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8795972000807520,None,518.649399899994,518.6643678999970,518.6643678999970,520.5648852000010,down,1,1.8921093000099100,None,520.5651726000940,520.581005300046,521.1310060999820,521.0646064000900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,5,5,0,n,1,0.9057495999149980,None,,,,,,,,,,,,,up,1,0.7085279000457380,None,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.1310060999820,,,,,,,,,521.1143772000210,521.1310060999820,522.5643365000140,522.5643365000140,523.064299800084,523.064299800084,523.81430800003,523.81430800003,524.3142909000160,524.3142909000160,524.3142909000160,524.3142909000160,524.3142909000160,524.3142909000160,524.3142909000160,524.3142909000160,3.2327072999905800,524.3142909000160,3.2496345000108700,524.5142772999830,524.5142772999830,524.5142772999830,524.5142772999830,524.5142772999830,524.5142772999830,524.5142772999830,525.2314703000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9057495999149980,None,525.2325944000620,525.2476041000340,525.2476041000340,525.9647767000130,up,1,0.7085279000457380,None,525.9650649999970,525.9809170000950,526.5309181000340,526.4645229000600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,6,6,0,n,1,1.0898017999716100,None,,,,,,,,,,,,,up,1,0.7410715000005440,None,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.5309181000340,,,,,,,,,526.5124828000550,526.5309181000340,527.9642218000950,527.9642218000950,528.4642174000620,528.4642174000620,529.2142077999890,529.2142077999890,529.7141893000810,529.7141893000810,529.7141893000810,529.7141893000810,529.7141893000810,529.7141893000810,529.7141893000810,529.7141893000810,3.2327739000320400,529.7141893000810,3.249660100089390,529.9141879000240,529.9141879000240,529.9141879000240,529.9141879000240,529.9141879000240,529.9141879000240,529.9141879000240,530.814792899997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0898017999716100,None,530.8159129000270,530.8308431000910,530.8308431000910,531.581348799984,up,1,0.7410715000005440,None,531.5816406999950,531.5974902000740,532.1474765000170,532.0810639000270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,7,7,0,x,1,1.2174415999325000,None,,,,,,,,,,,,,up,1,0.719745000009425,None,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.1474765000170,,,,,,,,,532.1261575000830,532.1474765000170,533.5807853000010,533.5807853000010,534.0807861000070,534.0807861000070,534.8307631000640,534.8307631000640,535.3307741000320,535.3307741000320,535.3307741000320,535.3307741000320,535.3307741000320,535.3307741000320,535.3307741000320,535.3307741000320,3.2327316999435400,535.3307741000320,3.2496731999563100,535.5307653000350,535.5307653000350,535.5307653000350,535.5307653000350,535.5307653000350,535.5307653000350,535.5307653000350,536.5646678000920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.2174415999325000,None,536.5657924000410,536.5807631000640,536.5807631000640,537.3146192000710,up,1,0.719745000009425,None,537.3149087000640,537.3307638000700,537.8807622999880,537.8143408000470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhawna,1,2025-09-29_17h18.59.934,Working memory task,2024.2.4,60.62149150666920,2025-09-29 17h20.24.900862 +0530,
