srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013301700120791800,0.02988120005466040,0.02988120005466040,181.35403560008900,space,181.25174360000500,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.23994430014900,417.256240000017,417.256240000017,568.8543179000260,space,151.58595219999600,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,0,0,0,n,1,,,0.8337082001380620,None,,,,,,,,,,,down,1,0.9994014000985770,None,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.9870940002150,,,,,,,,,568.9684773001350,568.9870940002150,570.3537412001750,570.3537412001750,570.8537375000310,570.8537375000310,571.6037252000530,571.6037252000530,572.1037217001430,572.1037217001430,572.1037217001430,572.1037217001430,572.1037217001430,572.1037217001430,572.1037217001430,572.1037217001430,3.232718100072820,572.1037217001430,3.2496315999887900,572.3037134001500,572.3037134001500,572.3037134001500,572.3037134001500,572.3037134001500,572.3037134001500,572.3037134001500,,572.9543259001800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8337082001380620,None,572.9555449001490,572.9704195000230,572.9704195000230,573.9709699000230,down,1,0.9994014000985770,None,573.972887000069,573.9870228001380,574.5370207000520,574.470604200149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,1,1,0,x,0,,,0.7775443999562410,None,,,,,,,,,,,down,1,1.9133933000266600,None,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5370207000520,,,,,,,,,574.5277323001060,574.5370207000520,575.9703131001440,575.9703131001440,576.4703003000470,576.4703003000470,577.2202984001490,577.2202984001490,577.7203087001110,577.7203087001110,577.7203087001110,577.7203087001110,577.7203087001110,577.7203087001110,577.7203087001110,577.7203087001110,3.2326328000053800,577.7203087001110,3.249535499839110,577.9202634000690,577.9202634000690,577.9202634000690,577.9202634000690,577.9202634000690,577.9202634000690,577.9202634000690,,578.5041547000870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,0,0.7775443999562410,None,578.5053238000260,578.520283000078,578.520283000078,580.4374754000460,down,1,1.9133933000266600,None,580.4377721000930,580.4535714001400,581.0035836000460,580.9371768999850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,2,2,0,n,0,,,0.8473110999912020,None,,,,,,,,,,,up,1,2.2677557999268200,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0035836000460,,,,,,,,,580.985796400113,581.0035836000460,582.4368738001210,582.4368738001210,582.9368793000470,582.9368793000470,583.6868582000030,583.6868582000030,584.186855400214,584.186855400214,584.186855400214,584.186855400214,584.186855400214,584.186855400214,584.186855400214,584.186855400214,3.2326893000863500,584.186855400214,3.24959750007838,584.3868444000840,584.3868444000840,584.3868444000840,584.3868444000840,584.3868444000840,584.3868444000840,584.3868444000840,,585.0374395002150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,0,0.8473110999912020,None,585.0385967001790,585.0535200000740,585.0535200000740,587.3373734999910,up,1,2.2677557999268200,None,587.3376633999870,587.3534764000220,587.9034647000950,587.837045500055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,3,3,0,x,1,,,0.9474353999830780,None,,,,,,,,,,,down,1,1.428392200032250,None,,,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.9034647000950,,,,,,,,,587.8859859001820,587.9034647000950,589.3367642001250,589.3367642001250,589.8367600000930,589.8367600000930,590.5867533001580,590.5867533001580,591.0867436002010,591.0867436002010,591.0867436002010,591.0867436002010,591.0867436002010,591.0867436002010,591.0867436002010,591.0867436002010,3.2326795998960700,591.0867436002010,3.2496048999019000,591.286711800145,591.286711800145,591.286711800145,591.286711800145,591.286711800145,591.286711800145,591.286711800145,,592.0373047001190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9474353999830780,None,592.0384455001910,592.0533952000550,592.0533952000550,593.4872648001180,down,1,1.428392200032250,None,593.487553599989,593.5033637001180,594.0533648000560,593.9869690001940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_142_F_HPY.png,1,0,7,7,up,O,O,N,O,O,O,4,n,4,4,0,n,1,,,0.9412573000881820,None,,,,,,,,,,,up,1,0.910619999980554,None,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0533648000560,,,,,,,,,594.0468790000310,594.0533648000560,595.4866656002120,595.4866656002120,595.9866646002050,595.9866646002050,596.7366510999860,596.7366510999860,597.2366330001970,597.2366330001970,597.2366330001970,597.2366330001970,597.2366330001970,597.2366330001970,597.2366330001970,597.2366330001970,3.232685600174590,597.2366330001970,3.2495742000173800,597.4366374001840,597.4366374001840,597.4366374001840,597.4366374001840,597.4366374001840,597.4366374001840,597.4366374001840,,598.187203100184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9412573000881820,None,598.1883429000150,598.2032960001380,598.2032960001380,599.1205257000400,up,1,0.910619999980554,None,599.1208187001760,599.1366120001770,599.7199463001450,599.6202468001280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,5,5,0,x,1,,,0.8841846000868830,None,,,,,,,,,,,down,1,1.6077252000104600,None,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.7199463001450,,,,,,,,,599.6995566000700,599.7199463001450,601.1199120001400,601.1199120001400,601.6199000000490,601.6199000000490,602.3698917999860,602.3698917999860,602.8698682000400,602.8698682000400,602.8698682000400,602.8698682000400,602.8698682000400,602.8698682000400,602.8698682000400,602.8698682000400,3.232672299956900,602.8698682000400,3.249559999909250,603.0698765001730,603.0698765001730,603.0698765001730,603.0698765001730,603.0698765001730,603.0698765001730,603.0698765001730,,603.7705219001510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8841846000868830,None,603.7716427000710,603.7865393999960,603.7865393999960,605.4037219001910,down,1,1.6077252000104600,None,605.4040134001990,605.4198390000970,605.96997440001,605.9034396000210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,6,6,0,n,1,,,0.8402516001369800,None,,,,,,,,,,,up,1,0.7979137001093480,None,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.96997440001,,,,,,,,,605.9515804999970,605.96997440001,607.4031446001030,607.4031446001030,607.9031349001450,607.9031349001450,608.6531263000800,608.6531263000800,609.1531239000620,609.1531239000620,609.1531239000620,609.1531239000620,609.1531239000620,609.1531239000620,609.1531239000620,609.1531239000620,3.232710200129080,609.1531239000620,3.249604400014510,609.3531121001580,609.3531121001580,609.3531121001580,609.3531121001580,609.3531121001580,609.3531121001580,609.3531121001580,,610.0036364002150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8402516001369800,None,610.0047661000860,610.019767699996,610.019767699996,610.8202990000140,up,1,0.7979137001093480,None,610.8205910001420,610.8364075000860,611.3864253000360,611.3199853000700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,7,7,0,n,1,,,0.8555733000393960,None,,,,,,,,,,,up,1,0.8605843000113960,None,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.3864253000360,,,,,,,,,611.377284700051,611.3864253000360,612.8197210000360,612.8197210000360,613.3197100001850,613.3197100001850,614.06970490003,614.06970490003,614.5696992999870,614.5696992999870,614.5696992999870,614.5696992999870,614.5696992999870,614.5696992999870,614.5696992999870,614.5696992999870,3.2327108001336500,614.5696992999870,3.2496046000160300,614.7696905001070,614.7696905001070,614.7696905001070,614.7696905001070,614.7696905001070,614.7696905001070,614.7696905001070,,615.4368892000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8555733000393960,None,615.4383563001170,615.4530217000280,615.4530217000280,616.3201971000530,up,1,0.8605843000113960,None,616.3204884000590,616.336330300197,616.8863123999910,616.819921300048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhavana,1,2025-10-01_15h59.44.938,Working memory task,2024.2.4,60.589536133108100,2025-10-01 16h00.04.800419 +0530,
