srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_3.keys,key_resp_3.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.rt,key_resp_3.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,feedback.started,msg1.started,text_3.started,key_resp_3.started,msg1.stopped,text_3.stopped,key_resp_3.stopped,feedback.stopped,trials.key_resp_3.keys,trials.key_resp_3.corr,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_3.rt,trials.key_resp_3.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback3.started,text_7.started,text_8.started,key_resp_7.started,text_7.stopped,Feedback3.stopped,trials_2.key_resp_7.keys,trials_2.key_resp_7.corr,trials_2.key_resp_7.rt,trials_2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block5.key_resp_2.rt,block5.key_resp_2.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,key_resp_5.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013761700014583800,0.030325900006573600,0.030325900006573600,154.11973010000700,space,154.07591269997600,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.4574251000010,359.47375289999800,359.47375289999800,477.8722078000140,space,118.39184860000400,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_036_F_NUT.png,0,0,2,1,down,O,X,O,O,O,O,2,x,0,0,0,x,1,down,1,0.9597463000100110,None,0.8450673999905120,None,,,,,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.9382902000220,,,,,,,,,477.923949500022,477.9382902000220,479.37159110000400,479.37159110000400,479.8715783000230,479.8715783000230,480.62157200000400,480.62157200000400,481.1215685000060,481.1215685000060,481.1215685000060,481.1215685000060,481.1215685000060,481.1215685000060,481.1215685000060,481.1215685000060,3.2326717999822000,481.1215685000060,3.249578199989630,481.32155400002400,481.32155400002400,481.32155400002400,481.32155400002400,481.32155400002400,481.32155400002400,481.32155400002400,,482.08886070002300,,,482.09024750001800,482.1048885000060,482.5881990000200,482.5881990000200,482.6048682000260,,,483.4387129000100,,,483.4389965000160,483.4548521999970,484.0048500999980,483.93849749999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9597463000100110,None,down,1,0.8450673999905120,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,1,1,0,x,1,down,1,0.9012848999991550,None,1.2928333999880100,None,,,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.0048500999980,,,,,,,,,483.9928803000080,484.0048500999980,485.4381471000090,485.4381471000090,485.9381383,485.9381383,486.6881241000080,486.6881241000080,487.1881284000120,487.1881284000120,487.1881284000120,487.1881284000120,487.1881284000120,487.1881284000120,487.1881284000120,487.1881284000120,3.232724000001330,487.1881284000120,3.249623600015180,487.3881143000040,487.3881143000040,487.3881143000040,487.3881143000040,487.3881143000040,487.3881143000040,487.3881143000040,,488.10529240002500,,,488.1066641000220,488.12143800000200,488.6047555000110,488.6047555000110,488.6214277000110,,,489.905307500012,,,489.9055928000020,489.92140660001300,490.471403500007,490.40495810000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9012848999991550,None,down,1,1.2928333999880100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,2,2,0,n,1,None,0,0.9708784999966160,None,,,,,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.471403500007,,,,,,,,,490.4567505000160,490.471403500007,491.9046997000110,491.9046997000110,492.40467350001600,492.40467350001600,493.15467090002500,493.15467090002500,493.65466960001500,493.65466960001500,493.65466960001500,493.65466960001500,493.65466960001500,493.65466960001500,493.65466960001500,493.65466960001500,3.2326748999767000,493.65466960001500,3.2495888999837900,493.85465750002200,493.85465750002200,493.85465750002200,493.85465750002200,493.85465750002200,493.85465750002200,493.85465750002200,,494.6384763000240,,,494.6398460000060,494.6546373000020,495.13795610002100,495.13795610002100,495.1546289000250,498.1379045000070,498.1379045000070,498.12149340001600,,,498.1231253000150,498.1379045000070,498.68790840002500,498.62157230000600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9708784999966160,None,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,3,3,0,n,1,down,0,0.9776199999905660,None,1.7022514000127600,None,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.68790840002500,,,,,,,,,498.6772148000020,498.68790840002500,500.13788830000000,500.13788830000000,500.63787260002600,500.63787260002600,501.3878701000070,501.3878701000070,501.8878690999990,501.8878690999990,501.8878690999990,501.8878690999990,501.8878690999990,501.8878690999990,501.8878690999990,501.8878690999990,3.232690200005890,501.8878690999990,3.2495959000079900,502.0878686000070,502.0878686000070,502.0878686000070,502.0878686000070,502.0878686000070,502.0878686000070,502.0878686000070,,502.87177590001400,,,502.8731410000180,502.8878463000000,503.37115990000900,503.37115990000900,503.3878345999980,,,505.08834580000300,,,505.0886322000010,505.10447050002400,505.6377969000020,505.5880477000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9776199999905660,None,down,0,1.7022514000127600,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,4,4,0,n,1,up,1,0.9311491999833380,None,0.8019878000195600,None,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.6377969000020,,,,,,,,,505.6324065000230,505.6377969000020,507.0877677000240,507.0877677000240,507.5877486000250,507.5877486000250,508.33775050001000,508.33775050001000,508.83775000000600,508.83775000000600,508.83775000000600,508.83775000000600,508.83775000000600,508.83775000000600,508.83775000000600,508.83775000000600,3.23270429999684,508.83775000000600,3.2496074000082400,509.0377288000020,509.0377288000020,509.0377288000020,509.0377288000020,509.0377288000020,509.0377288000020,509.0377288000020,,509.77163299999700,,,509.7730039000160,509.7877184000100,510.27104469999900,510.27104469999900,510.2877092999990,,,511.08829840002,,,511.08989070000800,511.1043443000240,511.6543636000130,511.5879607000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9311491999833380,None,up,1,0.8019878000195600,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,5,5,0,n,1,down,1,0.7722839000052770,None,1.00861619997886,None,,,,,,,,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.6543636000130,,,,,,,,,511.6423401000210,511.6543636000130,513.0876592000130,513.0876592000130,513.5876482000170,513.5876482000170,514.3376484000180,514.3376484000180,514.8376404000160,514.8376404000160,514.8376404000160,514.8376404000160,514.8376404000160,514.8376404000160,514.8376404000160,514.8376404000160,3.2326493999862600,514.8376404000160,3.249546000006380,515.037619300012,515.037619300012,515.037619300012,515.037619300012,515.037619300012,515.037619300012,515.037619300012,,515.6215132000220,,,515.6228361000250,515.6376200000230,516.1209295000010,516.1209295000010,516.137605099997,,,517.1381788000000,,,517.1384720000210,517.154248900013,517.7542495000230,517.637850900006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7722839000052770,None,down,1,1.00861619997886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,6,6,0,n,1,up,1,0.7777240000141320,None,1.0382907000021100,None,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.7542495000230,,,,,,,,,517.7463635000170,517.7542495000230,519.1375274000170,519.1375274000170,519.6375555999980,519.6375555999980,520.3875284000240,520.3875284000240,520.8875229000110,520.8875229000110,520.8875229000110,520.8875229000110,520.8875229000110,520.8875229000110,520.8875229000110,520.8875229000110,3.232622799987440,520.8875229000110,3.249542299978200,521.087523299997,521.087523299997,521.087523299997,521.087523299997,521.087523299997,521.087523299997,521.087523299997,,521.6714134000070,,,521.6727405000130,521.6875095000140,522.1708245000050,522.1708245000050,522.1874981000150,,,523.221339700016,,,523.2216200000260,523.237478199997,523.8041463000120,523.7210443000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7777240000141320,None,up,1,1.0382907000021100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,7,7,0,x,1,down,1,1.1422588999848800,None,2.3010583000141200,None,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.8041463000120,,,,,,,,,523.7964120999970,523.8041463000120,525.2207796000000,525.2207796000000,525.7207377000010,525.7207377000010,526.4707278000130,526.4707278000130,526.970748599997,526.970748599997,526.970748599997,526.970748599997,526.970748599997,526.970748599997,526.970748599997,526.970748599997,3.2327140000124900,526.970748599997,3.249626900011210,527.1707388000210,527.1707388000210,527.1707388000210,527.1707388000210,527.1707388000210,527.1707388000210,527.1707388000210,,528.1213147000240,,,528.1226505000090,528.1373938000180,528.6206897000080,528.6206897000080,528.6373893000130,,,530.9378585000230,,,530.9381365000150,530.9539829000130,531.520666299999,531.4376078000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.1422588999848800,None,down,1,2.3010583000141200,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkita,1,2025-08-28_10h52.12.847,Working memory task,2024.2.4,60.62755583067300,2025-08-28 10h52.26.177679 +0530,
