srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,key_resp_2.stopped,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,key_resp_5.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0076802996918559100,0.02425039978697900,0.02425039978697900,864.9501213999470,space,864.910232400056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.1407189997800,1061.1570156998900,1061.1570156998900,1172.589035099840,space,111.41786660021200,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,0,0,0,x,1,0.9762508999556300,None,,,,,,,,,,,,,up,1,0.9596135998144750,None,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.7217946997800,,,,,,,,,1172.701063899790,1172.7217946997800,1174.08844079962,1174.08844079962,1174.5884348996900,1174.5884348996900,1175.338400799780,1175.338400799780,1175.8384052999300,1175.8384052999300,1175.8384052999300,1175.8384052999300,1175.8384052999300,1175.8384052999300,1175.8384052999300,1175.8384052999300,3.2327129002660500,1175.8384052999300,3.249620399903510,1176.0384048000000,1176.0384048000000,1176.0384048000000,1176.0384048000000,1176.0384048000000,1176.0384048000000,1176.0384048000000,1176.8222777997100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9762508999556300,None,1176.8234435999800,1176.8383917999500,1176.8383917999500,1177.805575300010,up,1,0.9596135998144750,None,1177.8071689000400,1177.8217171998700,1178.3716972000000,1178.3053126996400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,1,1,0,n,1,1.0038756001740700,None,,,,,,,,,,,,,up,1,1.1064263000153000,None,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.3716972000000,,,,,,,,,1178.3659659996600,1178.3716972000000,1179.8050102000100,1179.8050102000100,1180.3049951996700,1180.3049951996700,1181.054985600060,1181.054985600060,1181.5549800000200,1181.5549800000200,1181.5549800000200,1181.5549800000200,1181.5549800000200,1181.5549800000200,1181.5549800000200,1181.5549800000200,3.2327195000834800,1181.5549800000200,3.2496076999232200,1181.7549771000600,1181.7549771000600,1181.7549771000600,1181.7549771000600,1181.7549771000600,1181.7549771000600,1181.7549771000600,1182.5721863997200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0038756001740700,None,1182.5733461999300,1182.5882937996600,1182.5882937996600,1183.7054963996600,up,1,1.1064263000153000,None,1183.705799399880,1183.721617099830,1184.2716013998700,1184.205203099640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,2,2,0,n,1,0.9037350998260080,None,,,,,,,,,,,,,down,1,1.3137957002036300,None,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.2716013998700,,,,,,,,,1184.255839099640,1184.2716013998700,1185.704910499980,1185.704910499980,1186.2048964998700,1186.2048964998700,1186.9548716996800,1186.9548716996800,1187.454861999960,1187.454861999960,1187.454861999960,1187.454861999960,1187.454861999960,1187.454861999960,1187.454861999960,1187.454861999960,3.2326911999844000,1187.454861999960,3.2495873998850600,1187.6548512997100,1187.6548512997100,1187.6548512997100,1187.6548512997100,1187.6548512997100,1187.6548512997100,1187.6548512997100,1188.3720752997300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9037350998260080,None,1188.37328889966,1188.3882046998500,1188.3882046998500,1189.7054616999800,down,1,1.3137957002036300,None,1189.7057612999300,1189.7215089998200,1190.2715105996500,1190.2051055999500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,3,3,0,n,1,0.8873803000897170,None,,,,,,,,,,,,,up,1,0.97207420039922,None,,,,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.2715105996500,,,,,,,,,1190.2525921999500,1190.2715105996500,1191.7048182999700,1191.7048182999700,1192.2048017997300,1192.2048017997300,1192.9547903998800,1192.9547903998800,1193.4547710996100,1193.4547710996100,1193.4547710996100,1193.4547710996100,1193.4547710996100,1193.4547710996100,1193.4547710996100,1193.4547710996100,3.2326398002915100,1193.4547710996100,3.2495419001206800,1193.6547848996700,1193.6547848996700,1193.6547848996700,1193.6547848996700,1193.6547848996700,1193.6547848996700,1193.6547848996700,1194.355424899610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8873803000897170,None,1194.3565720999600,1194.3714220998800,1194.3714220998800,1195.3552723997300,up,1,0.97207420039922,None,1195.3555727000300,1195.3713966999200,1195.9213875997800,1195.8549850997500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,4,4,0,x,1,1.005859199911360,None,,,,,,,,,,,,,down,1,1.1727601997554300,None,,,,,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.9213875997800,,,,,,,,,1195.9054952999600,1195.9213875997800,1197.3546977997800,1197.3546977997800,1197.8546886998200,1197.8546886998200,1198.604680699760,1198.604680699760,1199.1046992996700,1199.1046992996700,1199.1046992996700,1199.1046992996700,1199.1046992996700,1199.1046992996700,1199.1046992996700,1199.1046992996700,3.2327217999845700,1199.1046992996700,3.249699699692430,1199.3046744996700,1199.3046744996700,1199.3046744996700,1199.3046744996700,1199.3046744996700,1199.3046744996700,1199.3046744996700,1200.1218591998300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,1.005859199911360,None,1200.1230007996800,1200.138004699720,1200.138004699720,1201.3219014997600,down,1,1.1727601997554300,None,1201.3222015998300,1201.337996199730,1201.9046402997300,1201.8215962997600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,5,5,0,n,1,1.0154035002924500,None,,,,,,,,,,,,,down,1,1.1099364999681700,None,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.9046402997300,,,,,,,,,1201.897708399690,1201.9046402997300,1203.3212832999400,1203.3212832999400,1203.821272699630,1203.821272699630,1204.5712583996400,1204.5712583996400,1205.0712485997900,1205.0712485997900,1205.0712485997900,1205.0712485997900,1205.0712485997900,1205.0712485997900,1205.0712485997900,1205.0712485997900,3.2326603000983600,1205.0712485997900,3.2495535002090000,1205.2712471997400,1205.2712471997400,1205.2712471997400,1205.2712471997400,1205.2712471997400,1205.2712471997400,1205.2712471997400,1206.0884631997900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0154035002924500,None,1206.0895994999400,1206.1045659999400,1206.1045659999400,1207.2217911998700,down,1,1.1099364999681700,None,1207.2220907998300,1207.2378799999100,1207.7878843997600,1207.7214885996700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,6,6,0,n,1,0.7633469998836520,None,,,,,,,,,,,,,down,0,0.7798068001866340,None,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.7878843997600,,,,,,,,,1207.7799794999900,1207.7878843997600,1209.221172399820,1209.221172399820,1209.7211736999500,1209.7211736999500,1210.4711556998100,1210.4711556998100,1210.9711305997300,1210.9711305997300,1210.9711305997300,1210.9711305997300,1210.9711305997300,1210.9711305997300,1210.9711305997300,1210.9711305997300,3.2326666000299200,1210.9711305997300,3.2495435997843700,1211.171146699690,1211.171146699690,1211.171146699690,1211.171146699690,1211.171146699690,1211.171146699690,1211.171146699690,1211.7383917998500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7633469998836520,None,1211.7395425997700,1211.754469699690,1211.754469699690,1212.538264699750,down,0,0.7798068001866340,None,1212.5399148999700,1212.554458499890,1213.121118699670,1213.038079299960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
1,DST_031_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,7,7,0,x,1,0.7824077997356650,None,,,,,,,,,,,,,up,1,0.7427209001034500,None,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.121118699670,,,,,,,,,1213.0994575000400,1213.121118699670,1214.5377579997300,1214.5377579997300,1215.0377572998400,1215.0377572998400,1215.7877388000500,1215.7877388000500,1216.2877368996900,1216.2877368996900,1216.2877368996900,1216.2877368996900,1216.2877368996900,1216.2877368996900,1216.2877368996900,1216.2877368996900,3.232772500254210,1216.2877368996900,3.249678600113840,1216.4877231996500,1216.4877231996500,1216.4877231996500,1216.4877231996500,1216.4877231996500,1216.4877231996500,1216.4877231996500,1217.0717332996400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7824077997356650,None,1217.0728640998700,1217.0877210996100,1217.0877210996100,1217.8382657999200,up,1,0.7427209001034500,None,1217.8398763998400,1217.8543671998200,1218.4043641998400,1218.3380016996500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srushti,1,2025-11-07_14h44.15.198,Working memory task,2024.2.4,60.388880354862000,2025-11-07 14h44.32.966427 +0530,
