srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,key_resp_2.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007383599993772810,0.023902699991595,0.023902699991595,17.0261786999763,space,16.99395319999890,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_015_M_HPY.png,1,1,6,6,up,O,O,O,O,N,O,3,n,0,0,0,n,1,0.6442276000161660,None,,,,,,,,,,,,,up,1,0.6249369999859480,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.67058089998300,,,,,,,,,207.65539199998600,207.67058089998300,209.10389400000000,209.10389400000000,209.60387870000000,209.60387870000000,210.3538728999560,210.3538728999560,210.85386769997400,210.85386769997400,210.85386769997400,210.85386769997400,210.85386769997400,210.85386769997400,210.85386769997400,210.85386769997400,3.23270059999777,210.85386769997400,3.249601099989380,211.05384549999100,211.05384549999100,211.05384549999100,211.05384549999100,211.05384549999100,211.05384549999100,211.05384549999100,211.50444029999200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6442276000161660,None,211.50560470001100,211.5205239999920,211.5205239999920,212.15435139997900,up,1,0.6249369999859480,None,212.15592679998400,212.170515100006,212.78717540000800,212.65409669996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,1,1,0,n,1,0.49835369997890700,None,,,,,,,,,,,,,up,1,0.7097431000438520,None,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.78717540000800,,,,,,,,,212.77475599997000,212.78717540000800,214.1538045000050,214.1538045000050,214.6537928999750,214.6537928999750,215.40375140000800,215.40375140000800,215.9037470999760,215.9037470999760,215.9037470999760,215.9037470999760,215.9037470999760,215.9037470999760,215.9037470999760,215.9037470999760,3.232737999991510,215.9037470999760,3.2496075000381100,216.10376540001000,216.10376540001000,216.10376540001000,216.10376540001000,216.10376540001000,216.10376540001000,216.10376540001000,216.4044256999620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.49835369997890700,None,216.40558279998400,216.42043469997600,216.42043469997600,217.13762509997500,up,1,0.7097431000438520,None,217.13791489996900,217.15375359996700,217.70375359995500,217.63735849998200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,2,2,0,x,1,0.5712367999949490,None,,,,,,,,,,,,,down,1,0.6264954999787730,None,,,,,,,,,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.70375359995500,,,,,,,,,217.68790349998700,217.70375359995500,219.13705809996500,219.13705809996500,219.63704699999700,219.63704699999700,220.3870326000030,220.3870326000030,220.88703859999100,220.88703859999100,220.88703859999100,220.88703859999100,220.88703859999100,220.88703859999100,220.88703859999100,220.88703859999100,3.232712499971970,220.88703859999100,3.249618899950290,221.08701839996500,221.08701839996500,221.08701839996500,221.08701839996500,221.08701839996500,221.08701839996500,221.08701839996500,221.47088919999100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5712367999949490,None,221.4720471999610,221.48701209999900,221.48701209999900,222.1209022999970,down,1,0.6264954999787730,None,222.12119059998100,222.1370004999920,222.72032209998000,222.62061290000600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_142_F_HPY.png,1,0,7,7,up,O,O,N,O,O,O,4,n,3,3,0,n,1,0.7316773000056860,None,,,,,,,,,,,,,up,1,1.8307841999921900,None,,,,,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.72032209998000,,,,,,,,,222.70097070001100,222.72032209998000,224.1202934999600,224.1202934999600,224.62028759997300,224.62028759997300,225.370276200003,225.370276200003,225.87028400000400,225.87028400000400,225.87028400000400,225.87028400000400,225.87028400000400,225.87028400000400,225.87028400000400,225.87028400000400,3.2326628000009800,225.87028400000400,3.2495832999702500,226.0702697999660,226.0702697999660,226.0702697999660,226.0702697999660,226.0702697999660,226.0702697999660,226.0702697999660,226.6041525999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7316773000056860,None,226.60528819996400,226.6202670999920,226.6202670999920,228.45423370000200,up,1,1.8307841999921900,None,228.4545269999650,228.4702016999950,229.02021409996100,228.95381539996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,4,4,0,x,1,0.7348140000249260,None,,,,,,,,,,,,,down,1,0.8156019000452940,None,,,,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.02021409996100,,,,,,,,,229.0027751000020,229.02021409996100,230.45350239996300,230.45350239996300,230.9535101999650,230.9535101999650,231.70349449996100,231.70349449996100,232.2034744999840,232.2034744999840,232.2034744999840,232.2034744999840,232.2034744999840,232.2034744999840,232.2034744999840,232.2034744999840,3.232566600025170,232.2034744999840,3.249465200002310,232.40348479995700,232.40348479995700,232.40348479995700,232.40348479995700,232.40348479995700,232.40348479995700,232.40348479995700,232.95402479998300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7348140000249260,None,232.9551926999700,232.97015249996900,232.97015249996900,233.78735900000900,down,1,0.8156019000452940,None,233.78765299997800,233.80346490000400,234.37012569996300,234.2870707999680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,5,5,0,x,1,0.6571257999748920,None,,,,,,,,,,,,,down,1,0.6139064999879340,None,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.37012569996300,,,,,,,,,234.3584497999980,234.37012569996300,235.7867605999930,235.7867605999930,236.28675689996500,236.28675689996500,237.03674449998700,237.03674449998700,237.5367394000060,237.5367394000060,237.5367394000060,237.5367394000060,237.5367394000060,237.5367394000060,237.5367394000060,237.5367394000060,3.232684299990070,237.5367394000060,3.2495747999637400,237.73670829995500,237.73670829995500,237.73670829995500,237.73670829995500,237.73670829995500,237.73670829995500,237.73670829995500,238.20392439997500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.6571257999748920,None,238.20505799999200,238.22007280000300,238.22007280000300,238.8372859999650,down,1,0.6139064999879340,None,238.83757529995600,238.85338049999000,239.42004689999200,239.33697840001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_031_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,6,6,0,x,1,0.5027528000064190,None,,,,,,,,,,,,,up,1,0.6017557000159290,None,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.42004689999200,,,,,,,,,239.4097952999870,239.42004689999200,240.8366810999580,240.8366810999580,241.3366621999890,241.3366621999890,242.08665999997200,242.08665999997200,242.58665640000300,242.58665640000300,242.58665640000300,242.58665640000300,242.58665640000300,242.58665640000300,242.58665640000300,242.58665640000300,3.232668599986940,242.58665640000300,3.2495837999740600,242.78664169996000,242.78664169996000,242.78664169996000,242.78664169996000,242.78664169996000,242.78664169996000,242.78664169996000,243.1038850999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5027528000064190,None,243.10503470001300,243.11997459997700,243.11997459997700,243.73715459997800,up,1,0.6017557000159290,None,243.73744190001200,243.75330300000500,244.30328719998900,244.23688609997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,7,7,0,n,1,0.8830591999576430,None,,,,,,,,,,,,,up,1,0.5994632999645550,None,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.30328719998900,,,,,,,,,244.28361459996100,244.30328719998900,245.73658470000400,245.73658470000400,246.23657810001200,246.23657810001200,246.98652529995900,246.98652529995900,247.48654730001,247.48654730001,247.48654730001,247.48654730001,247.48654730001,247.48654730001,247.48654730001,247.48654730001,3.2326961000217100,247.48654730001,3.2495812000124700,247.68653269996900,247.68653269996900,247.68653269996900,247.68653269996900,247.68653269996900,247.68653269996900,247.68653269996900,248.37048179999700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8830591999576430,None,248.37160929996800,248.38653509999900,248.38653509999900,248.9871109999950,up,1,0.5994632999645550,None,248.98739809996900,249.00320219999400,249.58650789997800,249.48678019997900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,8,8,0,n,1,0.656882899987977,None,,,,,,,,,,,,,down,1,0.5580201999982820,None,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.58650789997800,,,,,,,,,249.56715199997400,249.58650789997800,250.98648169997600,250.98648169997600,251.48648029996500,251.48648029996500,252.2364862000100,252.2364862000100,252.7364734999720,252.7364734999720,252.7364734999720,252.7364734999720,252.7364734999720,252.7364734999720,252.7364734999720,252.7364734999720,3.2326710000052100,252.7364734999720,3.24959060002584,252.93646789999900,252.93646789999900,252.93646789999900,252.93646789999900,252.93646789999900,252.93646789999900,252.93646789999900,253.4036541999670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.656882899987977,None,253.4047850999630,253.4197929999790,253.4197929999790,253.98698159999900,down,1,0.5580201999982820,None,253.9872695999800,254.00310999999100,254.5531125999990,254.4867149000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvira6,1,2025-08-29_14h41.23.172,Working memory task,2024.2.4,60.01676869408140,2025-08-29 14h41.33.457470 +0530,
