srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_12.stopped,text_13.started,key_resp_9.started,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block7.key_resp_2.rt,block7.key_resp_2.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007391899940557778,0.0239593000151217,0.0239593000151217,782.3956276000245,space,782.3544918999542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.6700490999501,,,,,,,,,782.666755800019,782.6700490999501,783.9110264999326,783.9110264999326,784.4110154999653,784.4110154999653,785.1609690999612,785.1609690999612,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,785.6658558000345,3.2488269000314176,3.2706674999790266,785.8610656999517,785.8610656999517,785.8610656999517,785.8610656999517,785.8610656999517,785.8610656999517,785.8610656999517,787.8605556000257,787.8450111999409,None,0,787.8555416000308,787.8605556000257,788.3463285999605,788.3463285999605,788.3606836999534,791.3441643000115,791.3441643000115,791.3286539999535,None,0,791.3386722999858,791.3441643000115,791.9083804000402,791.8285548000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.9083804000402,,,,,,,,,791.9058643999742,791.9083804000402,793.3443294999888,793.3443294999888,793.860918099992,793.860918099992,794.5942910999293,794.5942910999293,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,795.0956178000197,3.2325617999304086,3.2508057999657467,795.2942693999503,795.2942693999503,795.2942693999503,795.2942693999503,795.2942693999503,795.2942693999503,795.2942693999503,797.2942169000162,797.2784972999943,None,0,797.28282209998,797.2942169000162,797.7774517999496,797.7774517999496,797.7938462999882,,,800.7790257999441,None,0,800.7793193999678,800.795396200032,,801.2941732000327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,2,2,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.360363899963,,,,,,,,,801.3579124000389,801.360363899963,802.7941503999755,802.7941503999755,803.2939795999555,803.2939795999555,804.043986500008,804.043986500008,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,804.5435658999486,3.248428100021556,3.2652452000183985,804.7438254000153,804.7438254000153,804.7438254000153,804.7438254000153,804.7438254000153,804.7438254000153,804.7438254000153,806.7440876000328,806.728370100027,None,0,806.7325384999858,806.7440876000328,807.2440971999895,807.2440971999895,807.2440971999895,810.2439302999992,810.2439302999992,810.227970500011,None,0,810.228619499947,810.2439302999992,810.7929499000311,810.7279586000368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.7929499000311,,,,,,,,,810.7904978999868,810.7929499000311,812.2451881000306,812.2451881000306,812.74387450004,812.74387450004,813.4937938000076,813.4937938000076,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,813.9934568000026,3.2490428999299183,3.26528159994632,814.193740000017,814.193740000017,814.193740000017,814.193740000017,814.193740000017,814.193740000017,814.193740000017,816.195110599976,816.1781680999557,None,0,816.1825087999459,816.195110599976,816.693829099997,816.693829099997,816.7104507000186,819.693475499982,819.693475499982,819.6774442000315,None,0,819.6779239999596,819.693475499982,820.2460730000166,820.1777718999656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.2460730000166,,,,,,,,,820.242654099944,820.2460730000166,821.6936866999604,821.6936866999604,822.1801090999506,822.1801090999506,822.9301434999797,822.9301434999797,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,823.4467668000143,3.252475699991919,3.2687728999881074,823.643186799949,823.643186799949,823.643186799949,823.643186799949,823.643186799949,823.643186799949,823.643186799949,825.6436032999773,825.6278575999895,None,0,825.6340017999755,825.6436032999773,826.1264732999261,826.1264732999261,826.1431618999923,829.1433597999858,829.1433597999858,829.1274086999474,None,0,829.1280373999616,829.1433597999858,829.7145717999665,829.6281311999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.7145717999665,,,,,,,,,829.7121438999893,829.7145717999665,831.1434517999878,831.1434517999878,831.643466199981,831.643466199981,832.3937139000045,832.3937139000045,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,832.8933331000153,3.248813100042753,3.266068400000222,833.0933707000222,833.0933707000222,833.0933707000222,833.0933707000222,833.0933707000222,833.0933707000222,833.0933707000222,835.0930181000149,835.076719500008,None,0,835.0789943999844,835.0930181000149,835.5763111999258,835.5763111999258,835.5930956000229,838.576540100039,838.576540100039,838.5605997999664,None,0,838.5612703999504,838.576540100039,839.1471638999647,839.060875199968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,6,6,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.1471638999647,,,,,,,,,839.1459407999646,839.1471638999647,840.5768084999872,840.5768084999872,841.0765995000256,841.0765995000256,841.8265829000156,841.8265829000156,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,842.3266461000312,3.2332354999380186,3.2506623999215662,842.5261752000079,842.5261752000079,842.5261752000079,842.5261752000079,842.5261752000079,842.5261752000079,842.5261752000079,844.5265624999302,844.5108780999435,None,0,844.514989499934,844.5265624999302,845.0260882999282,845.0260882999282,845.0260882999282,848.0100664999336,848.0100664999336,847.9945350999478,None,0,847.9955474999733,848.0100664999336,848.5821585999802,848.4945701999823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,7,7,0,x,1,up,0,1.355690800002776,None,1.3525131000205874,None,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.5821585999802,,,,,,,,,848.5801863999804,848.5821585999802,850.0261727999896,850.0261727999896,850.5264655000065,850.5264655000065,851.2765182999428,851.2765182999428,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,851.7763619000325,3.248747600009665,3.2660043999785557,851.9763366000261,851.9763366000261,851.9763366000261,851.9763366000261,851.9763366000261,851.9763366000261,851.9763366000261,,853.1449435999384,x,1,853.1545836000005,853.1593767999439,853.6599253999302,853.6599253999302,853.6599253999302,,,855.0268836999312,up,0,855.0271936999634,855.042667199974,855.6111847999273,855.5272710999707,1.355690800002776,None,1.3525131000205874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,8,8,0,x,1,None,0,1.6505720000714064,None,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.6111847999273,,,,,,,,,855.6097023999318,855.6111847999273,857.0259561999701,857.0259561999701,857.5266253999434,857.5266253999434,858.2765903000254,858.2765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,858.7765903000254,3.2331057999981567,3.25073379999958,858.9760421999963,858.9760421999963,858.9760421999963,858.9760421999963,858.9760421999963,858.9760421999963,858.9760421999963,,860.4453954999335,x,1,860.4463955999818,860.4593711999478,860.9591365000233,860.9591365000233,860.9591365000233,863.9594685999909,863.9594685999909,863.9435571000213,None,0,863.944203699939,863.9594685999909,864.5175013999688,864.4437882000348,1.6505720000714064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP10,001,2026-01-12_15h31.01.057,WM-Letters,2024.2.4,60.64608705787517,2026-01-12 15h31.27.882104 +0530,
