srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,text_13.stopped,key_resp_9.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,text_3.stopped,key_resp_3.stopped,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block1.key_resp_3.rt,block1.key_resp_3.duration,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030393999768421054,0.019608399947173893,0.019608399947173893,4009.0069014000474,n,4008.972073400044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4009.220707100001,,,,,,,,,4009.2146555000218,4009.220707100001,4010.5206783999456,4010.5206783999456,4011.0206707000034,4011.0206707000034,4011.7706561000086,4011.7706561000086,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,4012.2706611000467,3.2470345000037923,3.264024299918674,4012.4706354000373,4012.4706354000373,4012.4706354000373,4012.4706354000373,4012.4706354000373,4012.4706354000373,4012.4706354000373,4014.470616000006,4014.454226300004,None,0,4014.460882800049,4014.470616000006,4014.9539384000236,4014.9539384000236,4014.9705841999967,4017.953888899996,4017.953888899996,4017.9374972999794,None,0,4017.940472800052,4017.953888899996,4018.503912999993,4018.437494199956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018.503912999993,,,,,,,,,4018.493338900036,4018.503912999993,4019.9538613000186,4019.9538613000186,4020.4538503000513,4020.4538503000513,4021.2038476000307,4021.2038476000307,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,4021.7038302000146,3.2329090000130236,3.249779299949296,4021.9038269999437,4021.9038269999437,4021.9038269999437,4021.9038269999437,4021.9038269999437,4021.9038269999437,4021.9038269999437,4023.9037856999785,4023.8873907000525,None,0,4023.8895609000465,4023.9037856999785,4024.3871310999384,4024.3871310999384,4024.4037723999936,4027.3870737999678,4027.3870737999678,4027.3706684999634,None,0,4027.370941799949,4027.3870737999678,4027.937057400006,4027.8706501999404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,2,2,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4027.937057400006,,,,,,,,,4027.919066200033,4027.937057400006,4029.387039000052,4029.387039000052,4029.8870057000313,4029.8870057000313,4030.637045499985,4030.637045499985,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,4031.137011099956,3.232919500092976,3.249872900079936,4031.3369994999375,4031.3369994999375,4031.3369994999375,4031.3369994999375,4031.3369994999375,4031.3369994999375,4031.3369994999375,4033.336971999961,4033.3205803999444,None,0,4033.3219478999963,4033.336971999961,4033.8203003000235,4033.8203003000235,4033.8369639000157,4036.8202210000018,4036.8202210000018,4036.803851100034,None,0,4036.8041176999686,4036.8202210000018,4037.3702373999404,4037.3038339000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4037.3702373999404,,,,,,,,,4037.3521936000325,4037.3702373999404,4038.8201902,4038.8201902,4039.3202003999613,4039.3202003999613,4040.0701882999856,4040.0701882999856,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,4040.5701905000024,3.232908000005409,3.2497984999790788,4040.770185200032,4040.770185200032,4040.770185200032,4040.770185200032,4040.770185200032,4040.770185200032,4040.770185200032,4042.7701402000384,4042.7538113000337,None,0,4042.7551603999455,4042.7701402000384,4043.253430300043,4043.253430300043,4043.2700929000275,4046.253402699949,4046.253402699949,4046.2370237000287,None,0,4046.2373011000454,4046.253402699949,4046.8034193000058,4046.736997799948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4046.8034193000058,,,,,,,,,4046.7887901000213,4046.8034193000058,4048.253388299956,4048.253388299956,4048.753387099947,4048.753387099947,4049.5033759999787,4049.5033759999787,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,4050.0033593999688,3.232869799947366,3.2497745000291616,4050.2033581000287,4050.2033581000287,4050.2033581000287,4050.2033581000287,4050.2033581000287,4050.2033581000287,4050.2033581000287,4052.2033301000483,4052.1869366000174,None,0,4052.188297900022,4052.2033301000483,4052.6866507999366,4052.6866507999366,4052.703318999964,4055.6866069999523,4055.6866069999523,4055.6702252000105,None,0,4055.6704958999762,4055.6866069999523,4056.236589599983,4056.1701965000248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056.236589599983,,,,,,,,,4056.2234488000395,4056.236589599983,4057.6865527000045,4057.6865527000045,4058.1865603999468,4058.1865603999468,4058.936552900006,4058.936552900006,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,4059.436543500051,3.2329293000511825,3.2498510000295937,4059.636516800034,4059.636516800034,4059.636516800034,4059.636516800034,4059.636516800034,4059.636516800034,4059.636516800034,4061.636509199976,4061.6201383000007,None,0,4061.6204596000025,4061.636509199976,4062.119831499993,4062.119831499993,4062.136501500034,4065.119786299998,4065.119786299998,4065.103385400027,None,0,4065.1036544999806,4065.119786299998,4065.6697717000498,4065.603381299996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,6,6,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065.6697717000498,,,,,,,,,4065.6540373000316,4065.6697717000498,4067.119740299997,4067.119740299997,4067.6197197999572,4067.6197197999572,4068.36972409999,4068.36972409999,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,4068.8697276000166,3.232891899999231,3.249824700062163,4069.06971229997,4069.06971229997,4069.06971229997,4069.06971229997,4069.06971229997,4069.06971229997,4069.06971229997,4071.069688800024,4071.0532996000256,None,0,4071.054691700032,4071.069688800024,4071.5530108000385,4071.5530108000385,4071.569677200052,4074.552959199995,4074.552959199995,4074.5365533999866,None,0,4074.5368204000406,4074.552959199995,4075.1029485999607,4075.0365406000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,7,7,0,x,1,up,0,1.6305611999705434,None,2.10370590002276,None,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075.1029485999607,,,,,,,,,4075.0854649000103,4075.1029485999607,4076.5529341000365,4076.5529341000365,4077.052915200009,4077.052915200009,4077.8028983999975,4077.8028983999975,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,4078.302903200034,3.2329057999886572,3.249803200014867,4078.502893900033,4078.502893900033,4078.502893900033,4078.502893900033,4078.502893900033,4078.502893900033,4078.502893900033,,4079.9367887999397,x,1,4079.9423019000096,4079.9528790999902,4080.436199399992,4080.436199399992,4080.452865500003,,,4082.5533571999986,up,0,4082.5536444999743,4082.569494599942,4083.1194933999795,4083.0531089999713,1.6305611999705434,None,2.10370590002276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,8,8,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.1194933999795,,,,,,,,,4083.1033493999857,4083.1194933999795,4084.552801499958,4084.552801499958,4085.052789999987,4085.052789999987,4085.8027689999435,4085.8027689999435,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,4086.302781300037,3.232740799896419,3.2496841999236494,4086.5027597999433,4086.5027597999433,4086.5027597999433,4086.5027597999433,4086.5027597999433,4086.5027597999433,4086.5027597999433,4088.5027271000436,4088.486342799966,None,0,4088.4908806999447,4088.5027271000436,4088.986058200011,4088.986058200011,4089.0027290999424,4091.9860090999864,4091.9860090999864,4091.969608000014,None,0,4091.9698766999645,4091.9860090999864,4092.536017799983,4092.4696125000482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP13,001,2026-01-13_10h51.10.913,WM-Letters,2024.2.4,60.628437996956926,2026-01-13 10h51.23.164119 +0530,
