srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_12.stopped,text_13.started,key_resp_9.started,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,text_3.stopped,key_resp_3.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015363299986347556,0.03192259999923408,0.03192259999923408,22.65078889997676,space,22.611305599915795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,0,0,0,n,1,2.046190100023523,None,None,0,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.86487029993441,,,,,,,,,22.856756199966185,22.86487029993441,24.164852699963376,24.164852699963376,24.664838299970143,24.664838299970143,25.4148176999297,25.4148176999297,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,25.914813500014134,3.2473489000694826,3.2642757000867277,26.114794999943115,26.114794999943115,26.114794999943115,26.114794999943115,26.114794999943115,26.114794999943115,26.114794999943115,27.965394699946046,n,1,2.046190100023523,None,27.972649900009856,27.981440200004727,28.464756999979727,28.464756999979727,28.481430999934673,31.464998199953698,31.464998199953698,31.452356799971312,None,0,31.458027399959974,31.464998199953698,32.01213889999781,31.951925899949856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,1,1,0,n,1,2.051965899998322,None,up,0,0.811949499999173,None,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01213889999781,,,,,,,,,32.007996000000276,32.01213889999781,33.46825799997896,33.46825799997896,33.96876739989966,33.96876739989966,34.718441399978474,34.718441399978474,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,35.218286099960096,3.236127799958922,3.2531886999495327,35.414697399945,35.414697399945,35.414697399945,35.414697399945,35.414697399945,35.414697399945,35.414697399945,37.28333799995016,n,1,2.051965899998322,None,37.28835069993511,37.29797009995673,37.79836619994603,37.79836619994603,37.79836619994603,,,38.61756359995343,up,0,38.6184334999416,38.631250299979,39.19403179991059,39.11644809995778,0.811949499999173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,2,2,0,x,1,0.9687412999337539,None,up,1,0.841567000024952,None,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.19403179991059,,,,,,,,,39.192796999937855,39.19403179991059,40.631905199959874,40.631905199959874,41.131678899982944,41.131678899982944,41.88136329990812,41.88136329990812,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,42.38175840000622,3.2475479999557137,3.2650799000402912,42.58153069997206,42.58153069997206,42.58153069997206,42.58153069997206,42.58153069997206,42.58153069997206,42.58153069997206,43.36659339990001,x,1,0.9687412999337539,None,43.370398800005205,43.38153869996313,43.88183949992526,43.88183949992526,43.88183949992526,,,44.731996699934825,up,1,44.735192799940705,44.74785749998409,45.28720129991416,45.23247129993979,0.841567000024952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,3,3,0,n,0,1.1648869999917224,None,None,0,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.28720129991416,,,,,,,,,45.28527489991393,45.28720129991416,46.73157830000855,46.73157830000855,47.23157399997581,47.23157399997581,47.981566199916415,47.981566199916415,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,48.48156340001151,3.2329246000153944,3.2501694000093266,48.681543799932115,48.681543799932115,48.681543799932115,48.681543799932115,48.681543799932115,48.681543799932115,48.681543799932115,49.648813999956474,n,0,1.1648869999917224,None,49.65441429999191,49.66462960001081,50.147892399923876,50.147892399923876,50.16458129999228,53.148389199981466,53.148389199981466,53.13296179997269,None,0,53.14095119992271,53.148389199981466,53.688994199968874,53.632185700000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,4,4,0,n,1,1.9473577999742702,None,up,1,0.7646995999384671,None,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.688994199968874,,,,,,,,,53.68641949992161,53.688994199968874,55.14807070000097,55.14807070000097,55.64808789989911,55.64808789989911,56.39811119996011,56.39811119996011,56.898191699991,56.898191699991,56.898191699991,56.898191699991,56.898191699991,56.898191699991,56.898191699991,56.898191699991,56.898191699991,3.2327858000062406,3.250109800021164,57.09826359990984,57.09826359990984,57.09826359990984,57.09826359990984,57.09826359990984,57.09826359990984,57.09826359990984,58.8502390999347,n,1,1.9473577999742702,None,58.86078439990524,58.88112939998973,59.36489620001521,59.36489620001521,59.38150819996372,,,60.13306349993218,up,1,60.137006799923256,60.148022899986245,60.70353099994827,60.632348599960096,0.7646995999384671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,5,5,0,n,1,1.380930499988608,None,up,1,1.3814479999709874,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.70353099994827,,,,,,,,,60.699616999947466,60.70353099994827,62.14817049994599,62.14817049994599,62.64814009994734,62.64814009994734,63.39812169992365,63.39812169992365,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,63.89813819993287,3.2483661000151187,3.2658028999576345,64.09809869993478,64.09809869993478,64.09809869993478,64.09809869993478,64.09809869993478,64.09809869993478,64.09809869993478,65.28346720000263,n,1,1.380930499988608,None,65.28665979998186,65.29763629997615,65.79763829999138,65.79763829999138,65.79763829999138,,,67.18366069998592,up,1,67.18430069996975,67.19760710000992,67.75228199991398,67.6819634999847,1.3814479999709874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,6,6,0,x,1,1.139966499991715,None,down,1,0.7353101000189781,None,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.75228199991398,,,,,,,,,67.74914609990083,67.75228199991398,69.1982488000067,69.1982488000067,69.69820340001024,69.69820340001024,70.4480016999878,70.4480016999878,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,70.9479827999603,3.2476505000377074,3.2650213000597432,71.14797049993649,71.14797049993649,71.14797049993649,71.14797049993649,71.14797049993649,71.14797049993649,71.14797049993649,72.09980319999158,x,1,1.139966499991715,None,72.10569279990159,72.11422419990413,72.61472889990546,72.61472889990546,72.61472889990546,,,73.36666449997574,down,1,73.36758859991096,73.3813490999164,73.93742500001099,73.86566379992291,0.7353101000189781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,7,7,0,n,1,0.9860455000307411,None,up,1,0.7299857999896631,None,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.93742500001099,,,,,,,,,73.93351639993489,73.93742500001099,75.3812797999708,75.3812797999708,75.88153209991287,75.88153209991287,76.63146519998554,76.63146519998554,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,77.13245609996375,3.248172099934891,3.265995599911548,77.33093369996641,77.33093369996641,77.33093369996641,77.33093369996641,77.33093369996641,77.33093369996641,77.33093369996641,78.13166600000113,n,1,0.9860455000307411,None,78.13310049998108,78.14761039998848,78.6307568999473,78.6307568999473,78.64909989992157,,,79.36618040001485,up,1,79.3668746999465,79.38077439996414,79.92006769997533,79.86556750000454,0.7299857999896631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,8,8,0,x,1,1.0684726999606937,None,down,1,0.7491868999786675,None,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.92006769997533,,,,,,,,,79.91695869993418,79.92006769997533,81.38101479993202,81.38101479993202,81.88124109990895,81.88124109990895,82.63122400001157,82.63122400001157,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,83.13121039990801,3.2483459999784827,3.26590830006171,83.3312327999156,83.3312327999156,83.3312327999156,83.3312327999156,83.3312327999156,83.3312327999156,83.3312327999156,84.21665039996151,x,1,1.0684726999606937,None,84.22127229999751,84.23087239998858,84.73105999990366,84.73105999990366,84.73105999990366,,,85.48348890000489,down,1,85.48429559997749,85.49773709999863,86.03649389999919,85.98183579999022,0.7491868999786675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP19_WM-Letters,001,2026-01-15_14h56.34.503,WM-Letters,2024.2.4,60.611680948277495,2026-01-15 14h58.49.873293 +0530,
