srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_12.stopped,text_13.started,key_resp_9.started,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,text_3.stopped,key_resp_3.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013720299932174385,0.03027959994506091,0.03027959994506091,371.46046520001255,space,371.4117241000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.67421119997744,,,,,,,,,371.6667022999609,371.67421119997744,372.9741834999295,372.9741834999295,373.47415619995445,373.47415619995445,374.2112294000108,374.2112294000108,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,374.70774849993177,3.2343033999204636,3.2476203999249265,374.9085623999126,374.9085623999126,374.9085623999126,374.9085623999126,374.9085623999126,374.9085623999126,374.9085623999126,376.9240609999979,376.9078310999321,None,0,376.91490679990966,376.9240609999979,377.4074260999914,377.4074260999914,377.42409959994256,380.4076310999226,380.4076310999226,380.3947190999752,None,0,380.3980827999767,380.4076310999226,380.97034799994435,380.89283699996304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,1,1,0,n,1,None,0,1.9210287999594584,None,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.97034799994435,,,,,,,,,380.9662061999552,380.97034799994435,382.4079562999541,382.4079562999541,382.90793929994106,382.90793929994106,383.6579598999815,383.6579598999815,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,384.1592118999688,3.2334100999869406,3.251607099897228,384.3577862000093,384.3577862000093,384.3577862000093,384.3577862000093,384.3577862000093,384.3577862000093,384.3577862000093,,386.0917502999073,n,1,386.0982475000201,386.10975359997246,386.59077629994135,386.59077629994135,386.6259828999173,389.591346399975,389.591346399975,389.5757919999305,None,0,389.5768359999638,389.591346399975,390.1348418999696,390.0757887000218,1.9210287999594584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,2,2,0,n,1,down,1,1.3311696999007836,None,2.3227012999122962,None,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.1348418999696,,,,,,,,,390.13222869997844,390.1348418999696,391.591385699925,391.591385699925,392.0914029999403,392.0914029999403,392.84137579996604,392.84137579996604,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,393.34095119999256,3.2329816999845207,3.249787800014019,393.5573750999756,393.5573750999756,393.5573750999756,393.5573750999756,393.5573750999756,393.5573750999756,393.5573750999756,,394.67602819995955,n,1,394.68042400002014,394.6908631999977,395.19125289993826,395.19125289993826,395.19125289993826,,,397.5247829,down,1,397.52662179991603,397.5406430999283,398.0846700000111,398.0250147000188,1.3311696999007836,None,2.3227012999122962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,3,3,0,x,1,down,1,1.0284866999136284,None,1.6581715000793338,None,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0846700000111,,,,,,,,,398.0821016000118,398.0846700000111,399.52439069992397,399.52439069992397,400.02460339991376,400.02460339991376,400.7743013999425,400.7743013999425,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,401.27434259990696,3.2329329000785947,3.2503444000612944,401.474304299918,401.474304299918,401.474304299918,401.474304299918,401.474304299918,401.474304299918,401.474304299918,,402.31023189995904,x,1,402.31559289991856,402.32380539993756,402.82425529998727,402.82425529998727,402.82425529998727,,,404.49147100001574,down,1,404.4917735999916,404.5072135999799,405.06304679997265,404.9916567999171,1.0284866999136284,None,1.6581715000793338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,4,4,0,n,1,down,1,0.8062931000022218,None,1.422598300036043,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.06304679997265,,,,,,,,,405.0605581999989,405.06304679997265,406.49091049993876,406.49091049993876,406.99088049994316,406.99088049994316,407.7411497000139,407.7411497000139,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,408.2409142999677,3.2330686999484897,3.250202600029297,408.4406826000195,408.4406826000195,408.4406826000195,408.4406826000195,408.4406826000195,408.4406826000195,408.4406826000195,,409.05871209991165,n,1,409.06142509996425,409.07398549991194,409.5739941999782,409.5739941999782,409.5739941999782,,,411.00902549992315,down,1,411.009756000014,411.02365310001187,411.579976500012,411.5084219999844,0.8062931000022218,None,1.422598300036043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,5,5,0,n,1,down,0,1.207984899985604,None,1.2021568999625742,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.579976500012,,,,,,,,,411.57600379991345,411.579976500012,413.0241235999856,413.0241235999856,413.5241707999958,413.5241707999958,414.27414749993477,414.27414749993477,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,414.77536019997206,3.248408899991773,3.26656059990637,414.97413599991705,414.97413599991705,414.97413599991705,414.97413599991705,414.97413599991705,414.97413599991705,414.97413599991705,,415.99189710000064,n,1,415.9933592999587,416.00712470000144,416.50727419997565,416.50727419997565,416.50727419997565,,,417.72567229997367,down,0,417.7303450999316,417.7402673999313,418.2909513999475,418.2246391000226,1.207984899985604,None,1.2021568999625742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,6,6,0,n,1,up,1,0.8991796000627801,None,1.3544280999340117,None,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.2909513999475,,,,,,,,,418.28772469994146,418.2909513999475,419.740629500011,419.740629500011,420.2408099999884,420.2408099999884,420.99026709992904,420.99026709992904,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,421.4902421999723,3.248417600058019,3.2649482000852004,421.67505999992136,421.67505999992136,421.67505999992136,421.67505999992136,421.67505999992136,421.67505999992136,421.67505999992136,,422.393313699984,n,1,422.398809999926,422.4070872999728,422.90729349991307,422.90729349991307,422.90729349991307,,,424.27582639991306,up,1,424.2806732999161,424.2901558999438,424.8343974999152,424.7743646999588,0.8991796000627801,None,1.3544280999340117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,7,7,0,x,1,down,0,0.8001919999951497,None,0.8377836000872776,None,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.8343974999152,,,,,,,,,424.8303355999524,424.8343974999152,426.29177479993086,426.29177479993086,426.79061959998216,426.79061959998216,427.5406029999722,427.5406029999722,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,428.02707559999544,3.23436360002961,3.251509299967438,428.2400863999501,428.2400863999501,428.2400863999501,428.2400863999501,428.2400863999501,428.2400863999501,428.2400863999501,,428.84062959998846,x,1,428.84208879992366,428.85685310000554,429.3405536999926,429.3405536999926,429.3572438999545,,,430.1911313999444,down,0,430.19287309993524,430.2066700999858,430.76198640000075,430.6916258999845,0.8001919999951497,None,0.8377836000872776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,8,8,0,x,1,down,1,0.6803761000046507,None,1.084882099996321,None,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.76198640000075,,,,,,,,,430.7605606999714,430.76198640000075,432.1899115999695,432.1899115999695,432.69055209995713,432.69055209995713,433.4399498999119,433.4399498999119,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,433.93988610000815,3.2327367999823764,3.2490015999646857,434.140302099986,434.140302099986,434.140302099986,434.140302099986,434.140302099986,434.140302099986,434.140302099986,,434.6255108999321,x,1,434.6296862999443,434.64004430000205,435.1405111999484,435.1405111999484,435.1405111999484,,,436.2414004999446,down,1,436.24310039996635,436.2564962999895,436.79579489992466,436.74170399992727,0.6803761000046507,None,1.084882099996321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP22,001,2026-01-16_16h38.58.395,WM-Letters,2024.2.4,60.64156348497845,2026-01-16 16h39.16.758865 +0530,
