srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block1.key_resp_2.rt,block1.key_resp_2.duration,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,text_8.stopped,key_resp_7.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,block12.key_resp_5.rt,block12.key_resp_5.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044784999918192625,0.02106130006723106,0.02106130006723106,1325.1163268999662,space,1325.0846279999241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.4324598999228,,,,,,,,,1325.4242972999346,1325.4324598999228,1326.6157770999707,1326.6157770999707,1327.1157708999235,1327.1157708999235,1327.8657577999402,1327.8657577999402,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,1328.3657100999262,3.2327012000605464,3.249702800065279,1328.5657452999149,1328.5657452999149,1328.5657452999149,1328.5657452999149,1328.5657452999149,1328.5657452999149,1328.5657452999149,1330.565697700018,1330.549343999941,None,0,1330.5562088000588,1330.565697700018,1331.0490510999225,1331.0490510999225,1331.0657045000698,1334.0489900999237,1334.0489900999237,1334.0325760999694,None,0,1334.0355829000473,1334.0489900999237,1334.6156431001145,1334.5325782999862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.6156431001145,,,,,,,,,1334.608973900089,1334.6156431001145,1336.0489543001167,1336.0489543001167,1336.5489330999553,1336.5489330999553,1337.2989280999172,1337.2989280999172,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,1337.7989159999415,3.2328832000494003,3.2497608000412583,1337.9989116000943,1337.9989116000943,1337.9989116000943,1337.9989116000943,1337.9989116000943,1337.9989116000943,1337.9989116000943,1339.9988786999602,1339.9824797001202,None,0,1339.983804800082,1339.9988786999602,1340.4822058000136,1340.4822058000136,1340.4988677001093,1343.4821544999722,1343.4821544999722,1343.4657646999694,None,0,1343.4660338999238,1343.4821544999722,1344.0488179000095,1343.965746199945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,2,2,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.0488179000095,,,,,,,,,1344.0411414001137,1344.0488179000095,1345.482125800103,1345.482125800103,1345.9821099000983,1345.9821099000983,1346.7321027999278,1346.7321027999278,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,1347.2320966001134,3.2329158999491483,3.2498258999548852,1347.4320914000273,1347.4320914000273,1347.4320914000273,1347.4320914000273,1347.4320914000273,1347.4320914000273,1347.4320914000273,1349.4320569001138,1349.4156704000197,None,0,1349.4180636999663,1349.4320569001138,1349.9153784001246,1349.9153784001246,1349.9320563001093,1352.9153348000254,1352.9153348000254,1352.8989466000348,None,0,1352.8992167999968,1352.9153348000254,1353.4819861999713,1353.39891540003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,3,3,0,x,1,None,0,1.6693347999826074,None,,,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.4819861999713,,,,,,,,,1353.4720038999803,1353.4819861999713,1354.915292300051,1354.915292300051,1355.4152756000403,1355.4152756000403,1356.1652712000068,1356.1652712000068,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,1356.6652609000448,3.232902300078422,3.249799899989739,1356.865256600082,1356.865256600082,1356.865256600082,1356.865256600082,1356.865256600082,1356.865256600082,1356.865256600082,,1358.349097300088,x,1,1358.35316170007,1358.3652365999296,1358.8485602000728,1358.8485602000728,1358.8652276999783,1361.8485224000178,1361.8485224000178,1361.8322342999745,None,0,1361.832513500005,1361.8485224000178,1362.415167100029,1362.3321833000518,1.6693347999826074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.415167100029,,,,,,,,,1362.4042986000422,1362.415167100029,1363.848478199914,1363.848478199914,1364.3484642000403,1364.3484642000403,1365.0984613001347,1365.0984613001347,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,1365.5984475000296,3.2326561000663787,3.2495327999349684,1365.7984424000606,1365.7984424000606,1365.7984424000606,1365.7984424000606,1365.7984424000606,1365.7984424000606,1365.7984424000606,1367.79841389996,1367.7820860999636,None,0,1367.7858991001267,1367.79841389996,1368.28173050005,1368.28173050005,1368.2984045001213,1371.281685099937,1371.281685099937,1371.2652809000574,None,0,1371.265552900033,1371.281685099937,1371.8483384000137,1371.7652728999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371.8483384000137,,,,,,,,,1371.8347279001027,1371.8483384000137,1373.2816298999824,1373.2816298999824,1373.7816345000174,1373.7816345000174,1374.5316212999169,1374.5316212999169,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,1375.0316073999275,3.232829699991271,3.249719899846241,1375.2316159999464,1375.2316159999464,1375.2316159999464,1375.2316159999464,1375.2316159999464,1375.2316159999464,1375.2316159999464,1377.2315796001349,1377.2151790999342,None,0,1377.2174698000308,1377.2315796001349,1377.7149185000453,1377.7149185000453,1377.7315635001287,1380.7148440999445,1380.7148440999445,1380.6985432000365,None,0,1380.6988278999925,1380.7148440999445,1381.2814929001033,1381.1984123999719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,6,6,0,x,1,up,0,0.8224063999950886,None,2.945554600097239,None,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381.2814929001033,,,,,,,,,1381.2697719999123,1381.2814929001033,1382.7147938001435,1382.7147938001435,1383.2148146999534,1383.2148146999534,1383.9647929000203,1383.9647929000203,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,1384.464799700072,3.232924599898979,3.2498796998988837,1384.664771700045,1384.664771700045,1384.664771700045,1384.664771700045,1384.664771700045,1384.664771700045,1384.664771700045,,1385.2988138000946,x,1,1385.3023936999962,1385.31480069994,1385.7980943000875,1385.7980943000875,1385.8147436000872,,,1388.7487391000614,up,0,1388.749044300057,1388.764707900118,1389.3313766999636,1389.2484345999546,0.8224063999950886,None,2.945554600097239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,7,7,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389.3313766999636,,,,,,,,,1389.3117192999925,1389.3313766999636,1390.7480262001045,1390.7480262001045,1391.2479914000724,1391.2479914000724,1391.9980093000922,1391.9980093000922,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,1392.4979793000966,3.2325719001237303,3.2495220999699086,1392.6979849000927,1392.6979849000927,1392.6979849000927,1392.6979849000927,1392.6979849000927,1392.6979849000927,1392.6979849000927,1394.6979813999496,1394.6815756999422,None,0,1394.6841408000328,1394.6979813999496,1395.1812704999465,1395.1812704999465,1395.197943800129,1398.181210000068,1398.181210000068,1398.164885400096,None,0,1398.1651606999803,1398.181210000068,1398.7478797000367,1398.6648132000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,8,8,0,x,1,None,0,1.6114559001289308,None,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.7478797000367,,,,,,,,,1398.7368415999226,1398.7478797000367,1400.181195100071,1400.181195100071,1400.681186000118,1400.681186000118,1401.4311691001058,1401.4311691001058,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,1401.9311683000997,3.23290630010888,3.2498314999975264,1402.1311687999405,1402.1311687999405,1402.1311687999405,1402.1311687999405,1402.1311687999405,1402.1311687999405,1402.1311687999405,,1403.5483836000785,x,1,1403.5520441001281,1403.5645029000007,1404.0477869000752,1404.0477869000752,1404.0644563999958,1407.0477402999531,1407.0477402999531,1407.031329400139,None,0,1407.0315944000613,1407.0477402999531,1407.5977296000347,1407.531329400139,1.6114559001289308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP25,001,2026-01-19_15h40.30.499,WM-Letters,2024.2.4,60.65936737266644,2026-01-19 15h40.50.072817 +0530,
