srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,text_8.stopped,key_resp_7.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018271500011906028,0.0348433000035584,0.0348433000035584,390.7137148999609,space,390.6506859001238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.9955734999385,,,,,,,,,390.9917458000127,390.9955734999385,392.2288581999019,392.2288581999019,392.7288760000374,392.7288760000374,393.4788605000358,393.4788605000358,393.978847600054,393.978847600054,393.978847600054,393.978847600054,393.978847600054,393.978847600054,393.978847600054,393.978847600054,393.978847600054,3.2484170999377966,3.265332099981606,394.1788431999739,394.1788431999739,394.1788431999739,394.1788431999739,394.1788431999739,394.1788431999739,394.1788431999739,396.17882889998145,396.16243449994363,None,0,396.1692530999426,396.17882889998145,396.6621411999222,396.6621411999222,396.67880330001935,399.66209660004824,399.66209660004824,399.64567240001634,None,0,399.64864949998446,399.66209660004824,400.22876379988156,400.145685599884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.22876379988156,,,,,,,,,400.21311119990423,400.22876379988156,401.6620674999431,401.6620674999431,402.1620590998791,402.1620590998791,402.91205339995213,402.91205339995213,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,403.41204579989426,3.2329195998609066,3.24984039994888,403.61204340006225,403.61204340006225,403.61204340006225,403.61204340006225,403.61204340006225,403.61204340006225,403.61204340006225,405.612003599992,405.5956256000791,None,0,405.59696429991163,405.612003599992,406.0953333999496,406.0953333999496,406.1120013000909,409.09526890004054,409.09526890004054,409.078868499957,None,0,409.079137200024,409.09526890004054,409.6619325999636,409.5788137000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,2,2,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.6619325999636,,,,,,,,,409.651138599962,409.6619325999636,411.0952395000495,411.0952395000495,411.5952264999505,411.5952264999505,412.3452306999825,412.3452306999825,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,412.8452212000266,3.2329134000465274,3.2498278999701142,413.0452451000456,413.0452451000456,413.0452451000456,413.0452451000456,413.0452451000456,413.0452451000456,413.0452451000456,415.0451996999327,415.0287991000805,None,0,415.0310889000539,415.0451996999327,415.5285213000607,415.5285213000607,415.5451911999844,418.5284660998732,418.5284660998732,418.51206710003316,None,0,418.5123403999023,418.5284660998732,419.07846119999886,419.0120576999616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.07846119999886,,,,,,,,,419.07505739992484,419.07846119999886,420.5284426000435,420.5284426000435,421.0284319999628,421.0284319999628,421.77841740008444,421.77841740008444,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,422.2784210999962,3.2329235000070184,3.249789400026202,422.47841360000893,422.47841360000893,422.47841360000893,422.47841360000893,422.47841360000893,422.47841360000893,422.47841360000893,424.4783709999174,424.461997800041,None,0,424.4642266998999,424.4783709999174,424.9617045999039,424.9617045999039,424.9783753999509,427.9616586000193,427.9616586000193,427.945269000018,None,0,427.9455400998704,427.9616586000193,428.5283194000367,428.44526299997233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.5283194000367,,,,,,,,,428.51475139986724,428.5283194000367,429.96164759993553,429.96164759993553,430.4616187000647,430.4616187000647,431.21161079988815,431.21161079988815,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,431.7116006000433,3.2329139998182654,3.249793699942529,431.91159819997847,431.91159819997847,431.91159819997847,431.91159819997847,431.91159819997847,431.91159819997847,431.91159819997847,433.9115718000103,433.89518049987964,None,0,433.8976090999786,433.9115718000103,434.3948911000043,434.3948911000043,434.41156519996,437.3948528999463,437.3948528999463,437.3784471000545,None,0,437.3787205000408,437.3948528999463,437.96151429996826,437.87846189993434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.96151429996826,,,,,,,,,437.9513435000554,437.96151429996826,439.39481489988975,439.39481489988975,439.89480219990946,439.89480219990946,440.64479009993374,440.64479009993374,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,441.14479140006006,3.2329120999202132,3.2498532000463456,441.3447700000834,441.3447700000834,441.3447700000834,441.3447700000834,441.3447700000834,441.3447700000834,441.3447700000834,443.34475159994327,443.32837549992837,None,0,443.3304330999963,443.34475159994327,443.8280728000682,443.8280728000682,443.84475170006044,446.8280267000664,446.8280267000664,446.81168739986606,None,0,446.8119673000183,446.8280267000664,447.3946924000047,447.3116287998855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,6,6,0,x,1,down,1,2.0561430000234395,None,2.1810163999907672,None,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.3946924000047,,,,,,,,,447.38220379990526,447.3946924000047,448.8280058000237,448.8280058000237,449.3279925000388,449.3279925000388,450.0779726000037,450.0779726000037,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,450.57797580002807,3.2329033000860363,3.2498042001388967,450.77797079994343,450.77797079994343,450.77797079994343,450.77797079994343,450.77797079994343,450.77797079994343,450.77797079994343,,452.6451373999007,x,1,452.6502485999372,452.6612790999934,453.1445949000772,453.1445949000772,453.16127349995077,,,455.32857170002535,down,1,455.3301607000176,455.3445584999863,455.91122230002657,455.8281425999012,2.0561430000234395,None,2.1810163999907672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,7,7,0,n,1,down,0,1.483967199921608,None,1.135392300086096,None,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.91122230002657,,,,,,,,,455.89340789988637,455.91122230002657,457.327860099962,457.327860099962,457.8278798998799,457.8278798998799,458.5778363000136,458.5778363000136,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,459.07785269990563,3.2325818999670446,3.2494641998782754,459.2778282999061,459.2778282999061,459.2778282999061,459.2778282999061,459.2778282999061,459.2778282999061,459.2778282999061,,460.578352099983,n,1,460.57969300006516,460.5944787999615,461.07780690002255,461.07780690002255,461.09447999997064,,,462.2283189999871,down,0,462.23069110000506,462.2444281000644,462.8111316000577,462.7280480999034,1.483967199921608,None,1.135392300086096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,8,8,0,n,1,up,1,1.4244190000463277,None,1.3157110000029206,None,,,,,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.8111316000577,,,,,,,,,462.79901969991624,462.8111316000577,464.22776879998855,464.22776879998855,464.72774989996105,464.72774989996105,465.4777359000873,465.4777359000873,465.977730399929,465.977730399929,465.977730399929,465.977730399929,465.977730399929,465.977730399929,465.977730399929,465.977730399929,465.977730399929,3.232736499980092,3.2496251000557095,466.1777156998869,466.1777156998869,466.1777156998869,466.1777156998869,466.1777156998869,466.1777156998869,466.1777156998869,,467.41165459994227,n,1,467.4130249998998,467.42767699994147,467.9110357000027,467.9110357000027,467.9276954000816,,,469.228259800002,up,1,469.22983730002306,469.24434640002437,469.81099919998087,469.72794350003824,1.4244190000463277,None,1.3157110000029206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP26,001,2026-01-20_13h10.06.361,WM-Letters,2024.2.4,60.64270355166122,2026-01-20 13h10.24.746568 +0530,
