srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_9.keys,key_resp_9.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,key_resp_2.stopped,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,key_resp_5.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,text_13.stopped,key_resp_9.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010960299987345934,0.027514200191944838,0.027514200191944838,993.4447951000184,space,993.4143417999148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,0,0,0,x,0,1.5486618999857455,None,up,1,2.1228962999302894,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.6775118999649,,,,,,,,,993.6635110999923,993.6775118999649,994.9441662000027,994.9441662000027,995.4441566001624,995.4441566001624,996.1941584001761,996.1941584001761,996.694143100176,996.694143100176,996.694143100176,996.694143100176,996.694143100176,996.694143100176,996.694143100176,996.694143100176,996.694143100176,3.2326650000177324,3.2495913000311702,996.8941274001263,996.8941274001263,996.8941274001263,996.8941274001263,996.8941274001263,996.8941274001263,996.8941274001263,998.2446910000872,x,0,1.5486618999857455,None,998.2513900999911,998.2607885000762,998.7441015001386,998.7441015001386,998.7607681001537,1000.8779211000074,up,1,2.1228962999302894,None,1000.8803371000104,1000.8940651000012,1001.4440552000888,1001.3776184001472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,1,1,0,x,1,2.1081900999415666,None,down,1,1.4194066000636667,None,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.4440552000888,,,,,,,,,1001.4376005001832,1001.4440552000888,1002.8773647001944,1002.8773647001944,1003.3773976000957,1003.3773976000957,1004.1273505000863,1004.1273505000863,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,1004.6273392001167,3.2327348000835627,3.2496400999370962,1004.8273390000686,1004.8273390000686,1004.8273390000686,1004.8273390000686,1004.8273390000686,1004.8273390000686,1004.8273390000686,1006.7445080000907,x,1,2.1081900999415666,None,1006.7500110000838,1006.7606369999703,1007.2439616001211,1007.2439616001211,1007.2606263000052,1008.677772300085,down,1,1.4194066000636667,None,1008.6780507001095,1008.693937700009,1009.2439334001392,1009.1775281000882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,2,2,0,None,0,,,down,0,1.2713591000065207,None,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.2439334001392,,,,,,,,,1009.2340102000162,1009.2439334001392,1010.6772334000561,1010.6772334000561,1011.1772154001519,1011.1772154001519,1011.9272102001123,1011.9272102001123,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,1012.427209299989,3.232747199945152,3.249646699987352,1012.6271985999774,1012.6271985999774,1012.6271985999774,1012.6271985999774,1012.6271985999774,1012.6271985999774,1012.6271985999774,1014.6107856000308,None,0,,,1014.6146772000939,1014.6271722000092,1015.1104998001829,1015.1104998001829,1015.1271577000152,1016.3943076999858,down,0,1.2713591000065207,None,1016.3966455000918,1016.4104770000558,1016.96046880004,1016.8940741000697,1014.6271722000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,3,3,0,x,1,0.6126054001506418,None,up,1,1.1400864000897855,None,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.96046880004,,,,,,,,,1016.9502748001833,1016.96046880004,1018.3937816000544,1018.3937816000544,1018.8937652001623,1018.8937652001623,1019.6437572001014,1019.6437572001014,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,1020.1437535001896,3.2327656000852585,3.2496631001122296,1020.343750400003,1020.343750400003,1020.343750400003,1020.343750400003,1020.343750400003,1020.343750400003,1020.343750400003,1020.760917800013,x,1,0.6126054001506418,None,1020.7634972999804,1020.7770664000418,1021.2603658000007,1021.2603658000007,1021.2770523000509,1022.4108745001722,up,1,1.1400864000897855,None,1022.4124823000748,1022.427022300195,1022.9770243000239,1022.9105968000367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,4,4,0,x,1,0.7836869000457227,None,down,1,1.137632800033316,None,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.9770243000239,,,,,,,,,1022.9695107999723,1022.9770243000239,1024.410323700169,1024.410323700169,1024.9103151001036,1024.9103151001036,1025.6602986999787,1025.6602986999787,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,1026.1603083000518,3.2327370999846607,3.2496032998897135,1026.3602870001923,1026.3602870001923,1026.3602870001923,1026.3602870001923,1026.3602870001923,1026.3602870001923,1026.3602870001923,1026.9608704000711,x,1,0.7836869000457227,None,1026.9611919000745,1026.9769596999977,1027.4602801001165,1027.4602801001165,1027.4769566999748,1028.6108015000354,down,1,1.137632800033316,None,1028.6110874000005,1028.6269386999775,1029.1769392001443,1029.1105631999671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,5,5,0,n,1,0.8373344000428915,None,up,1,1.3364679999649525,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.1769392001443,,,,,,,,,1029.1667138000485,1029.1769392001443,1030.6102405001875,1030.6102405001875,1031.1102236001752,1031.1102236001752,1031.8602116000839,1031.8602116000839,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,1032.3602158001158,3.2327279997989535,3.249634400010109,1032.5601969000418,1032.5601969000418,1032.5601969000418,1032.5601969000418,1032.5601969000418,1032.5601969000418,1032.5601969000418,1033.2107305000536,n,1,0.8373344000428915,None,1033.2120835001115,1033.2268203999847,1033.710192500148,1033.710192500148,1033.726841900032,1035.0606736000627,up,1,1.3364679999649525,None,1035.0609511001967,1035.0768373999745,1035.6268270001747,1035.5604371000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,6,6,0,x,0,1.155043400125578,None,down,1,1.229742299998179,None,,,,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.6268270001747,,,,,,,,,1035.6164979001042,1035.6268270001747,1037.0601347000338,1037.0601347000338,1037.56012070016,1037.56012070016,1038.3101033000275,1038.3101033000275,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,1038.810106500052,3.232748500071466,3.249674999853596,1039.0101226000115,1039.0101226000115,1039.0101226000115,1039.0101226000115,1039.0101226000115,1039.0101226000115,1039.0101226000115,1039.977307900088,x,0,1.155043400125578,None,1039.9807597000618,1039.993393599987,1040.476738500176,1040.476738500176,1040.4934086999856,1041.7106045000255,down,1,1.229742299998179,None,1041.71088600019,1041.7267334000207,1042.2767172001768,1042.210315000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,7,7,0,x,1,0.80115249985829,None,down,1,0.9363690000027418,None,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.2767172001768,,,,,,,,,1042.2658099001274,1042.2767172001768,1043.7100196999963,1043.7100196999963,1044.2100050000008,1044.2100050000008,1044.9599933000281,1044.9599933000281,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,1045.460000200197,3.232710399897769,3.2496274998411536,1045.659982400015,1045.659982400015,1045.659982400015,1045.659982400015,1045.659982400015,1045.659982400015,1045.659982400015,1046.2771964999847,x,1,0.80115249985829,None,1046.280641300138,1046.2933100000955,1046.7766370000318,1046.7766370000318,1046.7932984000072,1047.727152200183,down,1,0.9363690000027418,None,1047.7274335999973,1047.743300500093,1048.293283100007,1048.2268544000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,8,8,0,n,1,0.8041711000259966,None,down,1,1.228198800003156,None,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.293283100007,,,,,,,,,1048.2819608000573,1048.293283100007,1049.7265874000732,1049.7265874000732,1050.226580500137,1050.226580500137,1050.9765723000746,1050.9765723000746,1051.4765625,1051.4765625,1051.4765625,1051.4765625,1051.4765625,1051.4765625,1051.4765625,1051.4765625,1051.4765625,3.232728000031784,3.2496350000146776,1051.6765556000173,1051.6765556000173,1051.6765556000173,1051.6765556000173,1051.6765556000173,1051.6765556000173,1051.6765556000173,1052.2937417000066,n,1,0.8041711000259966,None,1052.2950963000767,1052.3098834000994,1052.7932106000371,1052.7932106000371,1052.8098799001891,1054.027091700118,down,1,1.228198800003156,None,1054.0273744000588,1054.0431858999655,1054.593184700003,1054.5267672000919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP30,001,2026-01-21_15h35.25.446,WM-Letters,2024.2.4,61.124657024909865,2026-01-21 15h35.39.277498 +0530,
