srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_12.stopped,text_13.started,key_resp_9.started,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,key_resp_5.stopped,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,block12.key_resp_5.rt,block12.key_resp_5.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007370000006631017,0.02392899990081787,0.02392899990081787,452.00196949997917,space,451.9596951000858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.2649045998696,,,,,,,,,452.2617597999051,452.2649045998696,453.5177519998979,453.5177519998979,454.01754149980843,454.01754149980843,454.76750690001063,454.76750690001063,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,455.2720979999285,3.2488917999435216,3.2706202999688685,455.4673168999143,455.4673168999143,455.4673168999143,455.4673168999143,455.4673168999143,455.4673168999143,455.4673168999143,457.458797799889,457.438205299899,None,0,457.4528734998312,457.458797799889,457.9543641000055,457.9543641000055,457.97067499998957,460.95065349992365,460.95065349992365,460.9350236998871,None,0,460.9445921999868,460.95065349992365,461.5053246000316,461.43420209991746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.5053246000316,,,,,,,,,461.50270329997875,461.5053246000316,462.95076829986647,462.95076829986647,463.450781499967,463.450781499967,464.20066299987957,464.20066299987957,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,464.70055079995655,3.2456406999845058,3.262856800109148,464.9005587999709,464.9005587999709,464.9005587999709,464.9005587999709,464.9005587999709,464.9005587999709,464.9005587999709,466.9004647999536,466.8844245998189,None,0,466.8868178999983,466.9004647999536,467.38379190000705,467.38379190000705,467.40043399995193,470.3836827999912,470.3836827999912,470.3675088000018,None,0,470.36793980002403,470.3836827999912,470.93591340002604,470.86728929984383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,2,2,0,n,1,None,0,0.6077193999662995,None,,,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.93591340002604,,,,,,,,,470.93327799998224,470.93591340002604,472.3840560999233,472.3840560999233,472.883826199919,472.883826199919,473.6335697998293,473.6335697998293,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,474.13380099995993,3.232671500183642,3.2499651000835,474.3338018998038,474.3338018998038,474.3338018998038,474.3338018998038,474.3338018998038,474.3338018998038,474.3338018998038,,474.7520591998473,n,1,474.75985909998417,474.76679839985445,475.2667832998559,475.2667832998559,475.2667832998559,478.2672219998203,478.2672219998203,478.2515861999709,None,0,478.25243989983574,478.2672219998203,478.81924690003507,478.75160189997405,0.6077193999662995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.81924690003507,,,,,,,,,478.8149541998282,478.81924690003507,480.2671852998901,480.2671852998901,480.7671138998121,480.7671138998121,481.5170183000155,481.5170183000155,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,482.0170088999439,3.248197500128299,3.2656460001599044,482.21703369985335,482.21703369985335,482.21703369985335,482.21703369985335,482.21703369985335,482.21703369985335,482.21703369985335,484.2167463998776,484.20105189993046,None,0,484.2104209000245,484.2167463998776,484.7002524000127,484.7002524000127,484.71690849983133,487.70020229998045,487.70020229998045,487.68416459998116,None,0,487.6847615998704,487.70020229998045,488.2721406999044,488.1843781999778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,4,4,0,None,0,up,0,,,0.807370699942112,None,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.2721406999044,,,,,,,,,488.269547799835,488.2721406999044,489.7002651998773,489.7002651998773,490.2003526999615,490.2003526999615,490.95020479988307,490.95020479988307,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,491.4501868998632,3.232425899943337,3.2496881999541074,491.65016199997626,491.65016199997626,491.65016199997626,491.65016199997626,491.65016199997626,491.65016199997626,491.65016199997626,493.6501440999564,493.63456909987144,None,0,493.64142819982953,493.6501440999564,494.15028409985825,494.15028409985825,494.15028409985825,,,494.9671455998905,up,0,494.96744509995915,494.98315649991855,495.57025439990684,495.4678401998244,,,0.807370699942112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.57025439990684,,,,,,,,,495.56628939998336,495.57025439990684,496.96656359988265,496.96656359988265,497.4669114998542,497.4669114998542,498.21689059981145,498.21689059981145,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,498.7168647998478,3.2331278000492603,3.250520800007507,498.9168574998621,498.9168574998621,498.9168574998621,498.9168574998621,498.9168574998621,498.9168574998621,498.9168574998621,500.91638129996136,500.9011460999027,None,0,500.9053417998366,500.91638129996136,501.41630889987573,501.41630889987573,501.41630889987573,504.41676209983416,504.41676209983416,504.4009269999806,None,0,504.40168849984184,504.41676209983416,504.9867412999738,504.90093659982085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,6,6,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.9867412999738,,,,,,,,,504.9837162999902,504.9867412999738,506.41675459989347,506.41675459989347,506.9167082000058,506.9167082000058,507.6663652998395,507.6663652998395,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,508.1678964998573,3.249060200061649,3.2669412000104785,508.3664816999808,508.3664816999808,508.3664816999808,508.3664816999808,508.3664816999808,508.3664816999808,508.3664816999808,510.3666811999865,510.3510356999468,None,0,510.35519749997184,510.3666811999865,510.8666532000061,510.8666532000061,510.8666532000061,513.8664898998104,513.8664898998104,513.8506053998135,None,0,513.8512831998523,513.8664898998104,514.4357197999489,514.3508276999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,7,7,0,n,1,None,0,0.20404700003564358,None,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.4357197999489,,,,,,,,,514.4315857000183,514.4357197999489,515.8666415000334,515.8666415000334,516.366623400012,516.366623400012,517.116595899919,517.116595899919,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,517.6165592998732,3.248826300026849,3.2662104999180883,517.816550699994,517.816550699994,517.816550699994,517.816550699994,517.816550699994,517.816550699994,517.816550699994,,517.835239399923,n,1,517.8427333999425,517.8496701000258,518.3498730999418,518.3498730999418,518.3498730999418,521.3498264998198,521.3498264998198,521.3340675998479,None,0,521.3349399999715,521.3498264998198,521.9182178999763,521.8341075999197,0.20404700003564358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,8,8,0,x,1,up,0,0.3814291001763195,None,0.613649999955669,None,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.9182178999763,,,,,,,,,521.9147001998499,521.9182178999763,523.349687299924,523.349687299924,523.8496562999208,523.8496562999208,524.5997742000036,524.5997742000036,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,525.0997574999928,3.2478453998919576,3.2651760999578983,525.2997765999753,525.2997765999753,525.2997765999753,525.2997765999753,525.2997765999753,525.2997765999753,525.2997765999753,,525.4851686998736,x,1,525.4903366998769,525.4993406999856,525.9996801998932,525.9996801998932,525.9996801998932,,,526.6193946998101,up,0,526.6202677998226,526.6330754000228,527.1906789999921,527.117297800025,0.3814291001763195,None,0.613649999955669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,9,9,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.1906789999921,,,,,,,,,527.1865818998776,527.1906789999921,528.6330403999891,528.6330403999891,529.1330895000137,529.1330895000137,529.8831163998693,529.8831163998693,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,530.3825560000259,3.246932800160721,3.2633567000739276,530.5828998000361,530.5828998000361,530.5828998000361,530.5828998000361,530.5828998000361,530.5828998000361,530.5828998000361,532.582638700027,532.56692319992,None,0,532.572251399979,532.582638700027,533.0661936998367,533.0661936998367,533.0828495000023,536.0661442999262,536.0661442999262,536.0506680000108,None,0,536.0515814998653,536.0661442999262,536.6169269999955,536.5506809998769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,10,0,1,x,0,up,0,0.49582900013774633,None,0.18921349989250302,None,,,,,,,,,,,,,,,,,1,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.6169269999955,,,,,,,,,536.6131277999375,536.6169269999955,538.0664462998975,538.0664462998975,538.566430100007,538.566430100007,539.3165125998203,539.3165125998203,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,539.8328066000249,3.2491197001654655,3.2664799001067877,540.0160768998321,540.0160768998321,540.0160768998321,540.0160768998321,540.0160768998321,540.0160768998321,540.0160768998321,,540.334335600026,x,0,540.3377224998549,540.3494700998999,540.8495457998943,540.8495457998943,540.8495457998943,,,541.0501310999971,up,0,541.0504457999486,541.0656653000042,541.6155816998798,541.5497492998838,0.49582900013774633,None,0.18921349989250302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP31,001,2026-01-22_11h26.18.477,WM-Letters,2024.2.4,61.186928519975496,2026-01-22 11h26.32.011043 +0530,
