srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,text_3.stopped,key_resp_3.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,text_8.stopped,key_resp_7.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,key_resp_5.stopped,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045606999192386866,0.021133000031113625,0.021133000031113625,501.2312570998911,space,501.19000719999894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.5635213998612,,,,,,,,,501.5439116000198,501.5635213998612,502.74683750001714,502.74683750001714,503.2468206998892,503.2468206998892,503.99681699997745,503.99681699997745,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,504.4968136998359,3.248838299885392,3.2657536999322474,504.69680240005255,504.69680240005255,504.69680240005255,504.69680240005255,504.69680240005255,504.69680240005255,504.69680240005255,506.6967768999748,506.6803836999461,None,0,506.6876981998794,506.6967768999748,507.180106600048,507.180106600048,507.196765499888,510.18004680005834,510.18004680005834,510.163668199908,None,0,510.1667018998414,510.18004680005834,510.7300469998736,510.663647999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_016_M_NUT.png,0,1,A,H,down,O,K,O,H,O,N,1,n,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.7300469998736,,,,,,,,,510.7255679999944,510.7300469998736,512.1800273999106,512.1800273999106,512.6800067999866,512.6800067999866,513.4299999000505,513.4299999000505,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,513.9299981999211,3.2329190000891685,3.249813799979165,514.1299870999064,514.1299870999064,514.1299870999064,514.1299870999064,514.1299870999064,514.1299870999064,514.1299870999064,516.1299644999672,516.1136113998946,None,0,516.1156259998679,516.1299644999672,516.6132966000587,516.6132966000587,516.6299532998819,519.6132137998939,519.6132137998939,519.5968156000599,None,0,519.5970866999123,519.6132137998939,520.1798719998915,520.0967850999441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,2,2,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.1798719998915,,,,,,,,,520.1659323000349,520.1798719998915,521.6131922998466,521.6131922998466,522.1131772999652,522.1131772999652,522.8631865999196,522.8631865999196,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,523.3631670000032,3.2328685000538826,3.249870500061661,523.5631589998957,523.5631589998957,523.5631589998957,523.5631589998957,523.5631589998957,523.5631589998957,523.5631589998957,525.5631480999291,525.5467782998458,None,0,525.5481308999006,525.5631480999291,526.0464818999171,526.0464818999171,526.0631361999549,529.0464003998786,529.0464003998786,529.0300234998576,None,0,529.0303005999885,529.0464003998786,529.6130778999068,529.5300040999427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.6130778999068,,,,,,,,,529.6082627000287,529.6130778999068,531.0463902000338,531.0463902000338,531.5463840998709,531.5463840998709,532.2963747999165,532.2963747999165,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,532.7963656999636,3.2328887002076954,3.2497885001357645,532.9963624000084,532.9963624000084,532.9963624000084,532.9963624000084,532.9963624000084,532.9963624000084,532.9963624000084,534.9963366000447,534.9799393999856,None,0,534.9821150999051,534.9963366000447,535.479657900054,535.479657900054,535.4963195999153,538.4796078000218,538.4796078000218,538.4632288999856,None,0,538.4634944999125,538.4796078000218,539.0462700999342,538.9631898000371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,4,4,0,x,0,None,0,0.3661177000030875,None,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0462700999342,,,,,,,,,539.0330204998609,539.0462700999342,540.4795754998922,540.4795754998922,540.9795563998632,540.9795563998632,541.7295510000549,541.7295510000549,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,542.2295494999271,3.2329235998913646,3.2498856999445707,542.4295462998562,542.4295462998562,542.4295462998562,542.4295462998562,542.4295462998562,542.4295462998562,542.4295462998562,,542.596861799946,x,0,542.5982225998305,542.6128870998509,543.0962068999652,543.0962068999652,543.1128582998645,546.0961541999131,546.0961541999131,546.0797562999651,None,0,546.0800254000351,546.0961541999131,546.66280179983,546.5798225000035,0.3661177000030875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,5,5,0,n,1,down,0,0.8453712998889387,None,2.817556200083345,None,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.66280179983,,,,,,,,,546.6477280999534,546.66280179983,548.0961199998856,548.0961199998856,548.5961205000058,548.5961205000058,549.3461139998399,549.3461139998399,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,549.8460965000559,3.232526999898255,3.2494353998918086,550.0460840000305,550.0460840000305,550.0460840000305,550.0460840000305,550.0460840000305,550.0460840000305,550.0460840000305,,550.6966484000441,n,1,550.7017721000593,550.7127563999966,551.196076599881,551.196076599881,551.2127361998428,,,554.0298754000105,down,0,554.0301576999482,554.0460297998507,554.5960200999398,554.5296215000562,0.8453712998889387,None,2.817556200083345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,6,6,0,x,1,up,0,1.1924140001647174,None,0.6313779000192881,None,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.5960200999398,,,,,,,,,554.5903177000582,554.5960200999398,556.0293344999664,556.0293344999664,556.529312599916,556.529312599916,557.2793117000256,557.2793117000256,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,557.7793095998932,3.232758600031957,3.249656999949366,557.979263599962,557.979263599962,557.979263599962,557.979263599962,557.979263599962,557.979263599962,557.979263599962,,558.9799232999794,x,1,558.9812798998319,558.9959515999071,559.4792736000381,559.4792736000381,559.4959307999816,,,560.1131902998313,up,0,560.1134712998755,560.1292625998612,560.6959226999898,560.6128602998797,1.1924140001647174,None,0.6313779000192881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,7,7,0,n,1,down,0,1.5539141001645476,None,1.9471098999492824,None,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.6959226999898,,,,,,,,,560.6788271998521,560.6959226999898,562.1125582000241,562.1125582000241,562.6125525999814,562.6125525999814,563.3625407998916,563.3625407998916,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,563.8625387998763,3.2326689001638442,3.249616299988702,564.0625322000124,564.0625322000124,564.0625322000124,564.0625322000124,564.0625322000124,564.0625322000124,564.0625322000124,,565.4297231999226,n,1,565.4310876999516,565.4458446998615,565.9291407000273,565.9291407000273,565.9458355000243,,,567.87977400003,down,0,567.8800594999921,567.8957972999196,568.4624560999218,568.379418599885,1.5539141001645476,None,1.9471098999492824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,8,8,0,x,1,up,1,1.0940553999971598,None,0.7177765001542866,None,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.4624560999218,,,,,,,,,568.4514381999616,568.4624560999218,569.8791042999364,569.8791042999364,570.379096499877,570.379096499877,571.1290604998358,571.1290604998358,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,571.6290497998707,3.232612500200048,3.249504600185901,571.8290484999306,571.8290484999306,571.8290484999306,571.8290484999306,571.8290484999306,571.8290484999306,571.8290484999306,,572.7296215000097,x,1,572.7309824998956,572.7457314999774,573.2290608000476,573.2290608000476,573.2457183999941,,,573.9629426000174,up,1,573.9645310000051,573.9790431000292,574.5456983998884,574.4626307999715,1.0940553999971598,None,0.7177765001542866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP32,001,2026-01-22_16h25.34.878,WM-Letters,2024.2.4,61.09955989331814,2026-01-22 16h26.06.205162 +0530,
