srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,text_13.stopped,key_resp_9.stopped,key_resp_5.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017588800052180886,0.034153399989008904,0.034153399989008904,442.2869764000643,space,442.1553536001593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.5773555999622,,,,,,,,,442.57053410005756,442.5773555999622,443.7940014998894,443.7940014998894,444.2939973999746,444.2939973999746,445.0439758999273,445.0439758999273,445.543986100005,445.543986100005,445.543986100005,445.543986100005,445.543986100005,445.543986100005,445.543986100005,445.543986100005,445.543986100005,3.2403300998266786,3.2572524999268353,445.74397050007246,445.74397050007246,445.74397050007246,445.74397050007246,445.74397050007246,445.74397050007246,445.74397050007246,447.7439367000479,447.7275566000026,None,0,447.73485530004837,447.7439367000479,448.22727179992944,448.22727179992944,448.2439202000387,451.22721539996564,451.22721539996564,451.2108316998929,None,0,451.213913399959,451.22721539996564,451.79386719991453,451.7108127998654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.79386719991453,,,,,,,,,451.7819300999399,451.79386719991453,453.22718769987114,453.22718769987114,453.7271521000657,453.7271521000657,454.47714370000176,454.47714370000176,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,454.9771328999195,3.232880000025034,3.2497660999652,455.17713189986534,455.17713189986534,455.17713189986534,455.17713189986534,455.17713189986534,455.17713189986534,455.17713189986534,457.17709750006907,457.1606995998882,None,0,457.16203979984857,457.17709750006907,457.6604345999658,457.6604345999658,457.6770951000508,460.66038740007207,460.66038740007207,460.6440073000267,None,0,460.6442799998913,460.66038740007207,461.22704769996926,461.1439373998437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,2,2,0,x,0,up,1,1.547960099996999,None,1.0321311000734568,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.22704769996926,,,,,,,,,461.21824690001085,461.22704769996926,462.6603595998604,462.6603595998604,463.1603536999319,463.1603536999319,463.9103381000459,463.9103381000459,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,464.4103461999912,3.232964600203559,3.2498997000511736,464.6103216998745,464.6103216998745,464.6103216998745,464.6103216998745,464.6103216998745,464.6103216998745,464.6103216998745,,465.960899699945,x,0,465.96227629994974,465.97697289986536,466.4603058998473,466.4603058998473,466.47696050000377,,,467.49415809987113,up,1,467.49740300001577,467.5102790999226,468.0769360999111,467.9938670999836,1.547960099996999,None,1.0321311000734568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0769360999111,,,,,,,,,468.0589765999466,468.0769360999111,469.4935822999105,469.4935822999105,469.993576399982,469.993576399982,470.74355189991184,470.74355189991184,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,471.24355160002597,3.232708199881017,3.2495987999718636,471.4435326999519,471.4435326999519,471.4435326999519,471.4435326999519,471.4435326999519,471.4435326999519,471.4435326999519,473.44351519993506,473.4270911999047,None,0,473.4293442000635,473.44351519993506,473.92684319987893,473.92684319987893,473.9434950998984,476.9267804999836,476.9267804999836,476.91038969997317,None,0,476.9126009000465,476.9267804999836,477.49344239989296,477.41040389984846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.49344239989296,,,,,,,,,477.4789119998459,477.49344239989296,478.92675259988755,478.92675259988755,479.4267007999588,479.4267007999588,480.1767358998768,480.1767358998768,480.676731799962,480.676731799962,480.676731799962,480.676731799962,480.676731799962,480.676731799962,480.676731799962,480.676731799962,480.676731799962,3.2329450000543147,3.249856000067666,480.87671549990773,480.87671549990773,480.87671549990773,480.87671549990773,480.87671549990773,480.87671549990773,480.87671549990773,482.87669429997914,482.8602982000448,None,0,482.86262879986316,482.87669429997914,483.3600302999839,483.3600302999839,483.37667949986644,486.36388550000265,486.36388550000265,486.347657199949,None,0,486.34803749993443,486.36388550000265,486.90833600005135,486.8474748998415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,5,5,0,x,1,up,1,1.1487637001555413,None,2.1878365001175553,None,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.90833600005135,,,,,,,,,486.90416139992885,486.90833600005135,488.3635495000053,488.3635495000053,488.8639215999283,488.8639215999283,489.6134925999213,489.6134925999213,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,490.1134609999135,3.2364229999948293,3.2534229999873787,490.31046619988047,490.31046619988047,490.31046619988047,490.31046619988047,490.31046619988047,490.31046619988047,490.31046619988047,,491.27877069986425,x,1,491.28675889992155,491.29329900001176,491.79322339990176,491.79322339990176,491.79322339990176,,,493.9948503000196,up,1,493.99799140007235,494.01004229998216,494.5793985000346,494.4948197999038,1.1487637001555413,None,2.1878365001175553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,6,6,0,n,1,down,0,1.904415600001812,None,1.126147200120613,None,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.5793985000346,,,,,,,,,494.5761275999248,494.5793985000346,495.9967554998584,495.9967554998584,496.4969881998841,496.4969881998841,497.247092399979,497.247092399979,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,497.7468341998756,3.235269899945706,3.25227850000374,497.9432798998896,497.9432798998896,497.9432798998896,497.9432798998896,497.9432798998896,497.9432798998896,497.9432798998896,,499.6607409999706,n,1,499.66217649984173,499.6782680999022,500.15982309984975,500.15982309984975,500.1932534999214,,,501.2942139999941,down,0,501.29591470002197,501.30984920007177,501.8605885999277,501.79365989984944,1.904415600001812,None,1.126147200120613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,7,7,0,x,0,down,0,1.1169547999743372,None,1.093984899809584,None,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.8605885999277,,,,,,,,,501.8563957998995,501.8605885999277,503.2933221999556,503.2933221999556,503.7938399000559,503.7938399000559,504.54349379986525,504.54349379986525,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,505.0434644999914,3.232598700094968,3.249859099974856,505.2434755999129,505.2434755999129,505.2434755999129,505.2434755999129,505.2434755999129,505.2434755999129,505.2434755999129,,506.1619543998968,x,0,506.17099669994786,506.1766933000181,506.6769824998919,506.6769824998919,506.6769824998919,,,507.7786685000174,down,0,507.77953649987467,507.7935148999095,508.3477783999406,508.2775022999849,1.1169547999743372,None,1.093984899809584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,8,8,0,x,1,down,1,1.6618226000573486,None,2.562421699985862,None,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.3477783999406,,,,,,,,,508.3446448999457,508.3477783999406,509.79297589999624,509.79297589999624,510.2935194999445,510.2935194999445,511.0434620999731,511.0434620999731,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,511.5434278000612,3.248073299881071,3.2654297999106348,511.7434580998961,511.7434580998961,511.7434580998961,511.7434580998961,511.7434580998961,511.7434580998961,511.7434580998961,,513.2120079998858,x,1,513.2163027999923,513.2263571999501,513.7266528999899,513.7266528999899,513.7266528999899,,,516.2954561000224,down,1,516.2981044999324,516.3096139999107,516.8675378998742,516.7946500999387,1.6618226000573486,None,2.562421699985862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP34,001,2026-01-23_15h58.36.411,WM-Letters,2024.2.4,60.65153082233227,2026-01-23 15h59.11.627685 +0530,
