srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,Prac1.thisRepN,Prac1.thisTrialN,Prac1.thisN,Prac1.thisIndex,Prac2.thisRepN,Prac2.thisTrialN,Prac2.thisN,Prac2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,key_resp_2.started,p_port.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,Prac1.key_resp_2.keys,Prac1.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,Prac1.key_resp_8.keys,Prac1.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,Prac1.key_resp_2.rt,Prac1.key_resp_2.duration,Prac1.key_resp_8.rt,Prac1.key_resp_8.duration,reset_accu.started,reset_accu.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,key_resp_5.started,p_port_2.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,Prac2.key_resp_5.keys,Prac2.key_resp_5.corr,Prac2.key_resp_5.rt,Prac2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,Prac2.key_resp_9.keys,Prac2.key_resp_9.corr,Prac2.key_resp_9.rt,Prac2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,key_resp_5.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,FB1.started,FB1.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,text_8.stopped,key_resp_7.stopped,FB2.started,FB2.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,text_3.stopped,key_resp_3.stopped,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,FB3.started,FB3.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,FB4.started,FB4.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,FB5.started,FB5.stopped,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,FB6.started,FB6.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,FB7.started,FB7.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,FB8.started,FB8.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,FB9.started,FB9.stopped,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,FB10.started,FB10.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block11.key_resp_2.rt,block11.key_resp_2.duration,FB11.started,FB11.stopped,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,FB12.started,FB12.stopped,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019698700169101357,0.036270700162276626,0.036270700162276626,790.3195855000522,space,790.2573951000813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_097_M_NUT.png,0,1,Y,Y,up,N,O,W,Z,O,O,1,n,0,0,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.6391287001316,,,,,,,,,790.6286155001726,790.6391287001316,791.8224363999907,791.8224363999907,792.3224361999892,792.3224361999892,793.0724063001107,793.0724063001107,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,793.5724198000971,3.2361621998716146,3.2530888998880982,793.7724057000596,793.7724057000596,793.7724057000596,793.7724057000596,793.7724057000596,793.7724057000596,793.7724057000596,795.7723801000975,795.7560014000628,None,0,795.7630618000403,795.7723801000975,796.2557037000079,796.2557037000079,796.2723606000654,799.255659500137,799.255659500137,799.2392502001021,None,0,799.2422393001616,799.255659500137,799.8056354001164,799.7392227000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_026_M_NUT.png,0,1,K,A,down,K,O,O,X,O,H,1,x,1,1,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.8056354001164,,,,,,,,,799.799700899981,799.8056354001164,801.2556223000865,801.2556223000865,801.7556140001398,801.7556140001398,802.5055830001365,802.5055830001365,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,803.0055754000787,3.2328975000418723,3.2498651000205427,803.2055811001919,803.2055811001919,803.2055811001919,803.2055811001919,803.2055811001919,803.2055811001919,803.2055811001919,805.205534200184,805.1891300000716,None,0,805.1913382001221,805.205534200184,805.6888528000563,805.6888528000563,805.7055236999877,808.6888173001353,808.6888173001353,808.6724141000304,None,0,808.6726872001309,808.6888173001353,809.2554738000035,809.1724123000167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_116_M_NUT.png,0,1,Z,B,down,O,O,W,N,Z,O,1,n,2,2,0,n,1,None,0,1.5543512001167983,None,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.2554738000035,,,,,,,,,809.2451018001884,809.2554738000035,810.6887795000803,810.6887795000803,811.1887693000026,811.1887693000026,811.9387586000375,811.9387586000375,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,812.4387605001684,3.2329333999659866,3.249844399979338,812.6387504001614,812.6387504001614,812.6387504001614,812.6387504001614,812.6387504001614,812.6387504001614,812.6387504001614,,814.0059481000062,n,1,814.011737300083,814.0220602999907,814.5053872000426,814.5053872000426,814.5220272999723,817.505338500021,817.505338500021,817.488998600049,None,0,817.4892641000915,817.505338500021,818.0719920000993,817.9889402000699,1.5543512001167983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_183_F_NUT.png,0,0,H,J,down,O,O,Z,V,O,X,2,x,3,3,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0719920000993,,,,,,,,,818.0640346000437,818.0719920000993,819.5052928000223,819.5052928000223,820.0052902000025,820.0052902000025,820.7552753000055,820.7552753000055,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,821.2552672000602,3.232617200119421,3.249554800102487,821.4552597000729,821.4552597000729,821.4552597000729,821.4552597000729,821.4552597000729,821.4552597000729,821.4552597000729,823.4552317000926,823.4388557001948,None,0,823.4434087001719,823.4552317000926,823.9385569000151,823.9385569000151,823.9552217000164,826.9385163001716,826.9385163001716,826.9221527001355,None,0,826.9224284000229,826.9385163001716,827.5051544001326,827.4221463000868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_086_M_NUT.png,0,1,G,G,up,O,V,N,O,Z,O,1,n,4,4,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.5051544001326,,,,,,,,,827.4851397001185,827.5051544001326,828.9384738001972,828.9384738001972,829.438463400118,829.438463400118,830.188454600051,830.188454600051,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,830.6884375000373,3.2328687000554055,3.249796099960804,830.8884396001231,830.8884396001231,830.8884396001231,830.8884396001231,830.8884396001231,830.8884396001231,830.8884396001231,832.8884011001792,832.8719707999844,None,0,832.8733114001807,832.8884011001792,833.3717239000835,833.3717239000835,833.3883876001928,836.3716804999858,836.3716804999858,836.3552399000619,None,0,836.355509800138,836.3716804999858,836.9383457000367,836.8552739000879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_142_F_NUT.png,0,0,B,M,down,O,W,O,O,K,X,2,x,5,5,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.9383457000367,,,,,,,,,836.9248035000637,836.9383457000367,838.3716443001758,838.3716443001758,838.8716291000601,838.8716291000601,839.6216216001194,839.6216216001194,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,840.1216108000372,3.2329539000056684,3.249874400207773,840.3215985000134,840.3215985000134,840.3215985000134,840.3215985000134,840.3215985000134,840.3215985000134,840.3215985000134,842.3215787000954,842.3051926000044,None,0,842.3074951001909,842.3215787000954,842.8048943001777,842.8048943001777,842.8215660001151,845.8048461000435,845.8048461000435,845.7884145001881,None,0,845.7886824000161,845.8048461000435,846.3548511001281,846.2884202001151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_036_F_NUT.png,0,0,J,J,up,V,X,O,O,O,K,2,x,6,6,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.3548511001281,,,,,,,,,846.3433583001606,846.3548511001281,847.8048114001285,847.8048114001285,848.3048076000996,848.3048076000996,849.054786400171,849.054786400171,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,849.5547869000584,3.2328846999444067,3.249800099991262,849.7547797001898,849.7547797001898,849.7547797001898,849.7547797001898,849.7547797001898,849.7547797001898,849.7547797001898,851.7547613000497,851.7383453000803,None,0,851.7396981001366,851.7547613000497,852.2380783001427,852.2380783001427,852.2547373999842,855.2380272001028,855.2380272001028,855.2216475000605,None,0,855.2219165000133,855.2380272001028,855.8046798000578,855.7216237001121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_029_F_NUT.png,0,0,T,T,up,H,O,O,X,O,W,2,x,7,7,0,x,1,None,0,1.8795946000609547,None,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.8046798000578,,,,,,,,,855.7923702001572,855.8046798000578,857.2379799000919,857.2379799000919,857.7379703000188,857.7379703000188,858.4879622000735,858.4879622000735,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,858.9879485000856,3.2329195998609066,3.24980999995023,859.1879473000299,859.1879473000299,859.1879473000299,859.1879473000299,859.1879473000299,859.1879473000299,859.1879473000299,,860.8718471000902,x,1,860.8743732001167,860.8878872999921,861.3712512999773,861.3712512999773,861.3879015001003,864.3711970001459,864.3711970001459,864.3547928000335,None,0,864.3550627999939,864.3711970001459,864.9211806000676,864.8547953001689,1.8795946000609547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
1,DST_017_F_NUT.png,0,0,D,D,up,Z,O,N,H,O,O,2,n,8,8,0,None,0,None,0,,,,,,,,,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.9211806000676,,,,,,,,,864.9141667999793,864.9211806000676,866.3711439999752,866.3711439999752,866.8711355000269,866.8711355000269,867.6211247001775,867.6211247001775,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,868.1211099000648,3.2325717001222074,3.2494842000305653,868.3211090001278,868.3211090001278,868.3211090001278,868.3211090001278,868.3211090001278,868.3211090001278,868.3211090001278,870.3210801000241,870.3047816001344,None,0,870.3073591000866,870.3210801000241,870.8044088000897,870.8044088000897,870.821077800123,873.8043669001199,873.8043669001199,873.7879857001826,None,0,873.7882587001659,873.8043669001199,874.371029500151,874.2879701000638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACsWMP35,001,2026-01-23_17h45.59.585,WM-Letters,2024.2.4,61.117036020835315,2026-01-23 17h46.15.265154 +0530,
