srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,key_resp_5.stopped,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014873300096951400,0.03139880008529870,0.03139880008529870,167.5348939000400,space,167.4836292999100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1421223001090,341.1584432000530,341.1584432000530,457.69016660004900,space,116.51558530004700,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,0,0,0,n,1,,,0.4867494000354780,None,,,,,,,,,,,up,1,0.529988499940373,None,,,,,,,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.75629470008400,,,,,,,,,457.7428229000650,457.75629470008400,459.18959630001300,459.18959630001300,459.68959530000600,459.68959530000600,460.4395932001060,460.4395932001060,460.9395598000850,460.9395598000850,460.9395598000850,460.9395598000850,460.9395598000850,460.9395598000850,460.9395598000850,460.9395598000850,3.232774500036610,460.9395598000850,3.2496341000078200,461.13956230005700,461.13956230005700,461.13956230005700,461.13956230005700,461.13956230005700,461.13956230005700,461.13956230005700,,461.44018990011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.4867494000354780,None,461.4413607000610,461.4562054000560,461.4562054000560,461.9900483000090,up,1,0.529988499940373,None,461.99163860001100,462.006213100045,462.55621720000600,462.4898432000770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_183_F_NUT.png,0,0,8,7,down,O,O,O,O,O,X,2,x,1,1,0,x,1,,,0.7187020999845120,None,,,,,,,,,,,down,1,0.6968596000224350,None,,,,,,,,,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.55621720000600,,,,,,,,,462.54170970001700,462.55621720000600,463.98951840004900,463.98951840004900,464.4895068000770,464.4895068000770,465.23949060007,465.23949060007,465.7394898000640,465.7394898000640,465.7394898000640,465.7394898000640,465.7394898000640,465.7394898000640,465.7394898000640,465.7394898000640,3.2327466000570000,465.7394898000640,3.2496465999865900,465.9394790000520,465.9394790000520,465.9394790000520,465.9394790000520,465.9394790000520,465.9394790000520,465.9394790000520,,466.4733292000600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7187020999845120,None,466.4744645000900,466.48944780009300,466.48944780009300,467.190026700031,down,1,0.6968596000224350,None,467.1903186000420,467.20611910009800,467.73945260001300,467.68972750008100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,2,2,0,x,1,,,0.9034199999878180,None,,,,,,,,,,,up,1,0.921051999903284,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.73945260001300,,,,,,,,,467.73524960002400,467.73945260001300,469.18942120007700,469.18942120007700,469.6894131000150,469.6894131000150,470.43940000003200,470.43940000003200,470.939387200051,470.939387200051,470.939387200051,470.939387200051,470.939387200051,470.939387200051,470.939387200051,470.939387200051,3.232682300033050,470.939387200051,3.249591900035740,471.13939080003200,471.13939080003200,471.13939080003200,471.13939080003200,471.13939080003200,471.13939080003200,471.13939080003200,,471.8566547000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9034199999878180,None,471.8578061000440,471.87271770008400,471.87271770008400,472.80651140003500,up,1,0.921051999903284,None,472.80681150010800,472.8226845000170,473.43933430011400,473.30628290004100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,3,3,0,n,1,,,0.6224952999036760,None,,,,,,,,,,,up,1,0.49218230007682000,None,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.43933430011400,,,,,,,,,473.42771610000600,473.43933430011400,474.8059879000070,474.8059879000070,475.30597380001600,475.30597380001600,476.0559589000190,476.0559589000190,476.55596140003800,476.55596140003800,476.55596140003800,476.55596140003800,476.55596140003800,476.55596140003800,476.55596140003800,476.55596140003800,3.232748500071470,476.55596140003800,3.2496701000491200,476.75595160003300,476.75595160003300,476.75595160003300,476.75595160003300,476.75595160003300,476.75595160003300,476.75595160003300,,477.18990660004800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6224952999036760,None,477.19103870005300,477.20594110002300,477.20594110002300,477.7064967000620,up,1,0.49218230007682000,None,477.7067979000280,477.7226042000110,478.27259140007700,478.20619240007400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,4,4,0,n,1,,,0.8982485999586060,None,,,,,,,,,,,up,1,0.5650783000746740,None,,,,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.27259140007700,,,,,,,,,478.2525705000150,478.27259140007700,479.7058908001050,479.7058908001050,480.20588680007500,480.20588680007500,480.9558709000700,480.9558709000700,481.4558644000210,481.4558644000210,481.4558644000210,481.4558644000210,481.4558644000210,481.4558644000210,481.4558644000210,481.4558644000210,3.2326688000466700,481.4558644000210,3.2496115000685700,481.6558675999990,481.6558675999990,481.6558675999990,481.6558675999990,481.6558675999990,481.6558675999990,481.6558675999990,,482.35644560004600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8982485999586060,None,482.35757600003900,482.37251320004,482.37251320004,482.9397398000580,up,1,0.5650783000746740,None,482.9400322000730,482.95584510010700,483.5225159000840,483.4394511000720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,5,5,0,n,1,,,0.9772656999994070,None,,,,,,,,,,,down,1,1.2332153000170400,None,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.5225159000840,,,,,,,,,483.5143353000750,483.5225159000840,484.9391334000980,484.9391334000980,485.4391258000400,485.4391258000400,486.1891152000750,486.1891152000750,486.6891033001010,486.6891033001010,486.6891033001010,486.6891033001010,486.6891033001010,486.6891033001010,486.6891033001010,486.6891033001010,3.2326733000809300,486.6891033001010,3.2495623000431800,486.889098500018,486.889098500018,486.889098500018,486.889098500018,486.889098500018,486.889098500018,486.889098500018,,487.6730113000380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9772656999994070,None,487.67412990005700,487.6890761000100,487.6890761000100,488.9231673000610,down,1,1.2332153000170400,None,488.923468300025,488.9390531000680,489.48903510009400,489.4226287000350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,6,6,0,x,1,,,0.7856073000002650,None,,,,,,,,,,,down,1,0.6342020999873060,None,,,,,,,,,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.48903510009400,,,,,,,,,489.4715575000740,489.48903510009400,490.9223345000060,490.9223345000060,491.4223257000560,491.4223257000560,492.17229890008500,492.17229890008500,492.6723105000570,492.6723105000570,492.6723105000570,492.6723105000570,492.6723105000570,492.6723105000570,492.6723105000570,492.6723105000570,3.232451800024140,492.6723105000570,3.2493400999810500,492.8723000000460,492.8723000000460,492.8723000000460,492.8723000000460,492.8723000000460,492.8723000000460,492.8723000000460,,493.4728351000230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7856073000002650,None,493.47397380007900,493.48897120007300,493.48897120007300,494.1395417000170,down,1,0.6342020999873060,None,494.13984200009100,494.15562640002500,494.7222967001140,494.6392268000640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,7,7,0,x,1,,,0.8573894000146540,None,,,,,,,,,,,down,1,0.5422493000514810,None,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.7222967001140,,,,,,,,,494.704264900065,494.7222967001140,496.1389369000680,496.1389369000680,496.638919500052,496.638919500052,497.38891520001900,497.38891520001900,497.8888753000650,497.8888753000650,497.8888753000650,497.8888753000650,497.8888753000650,497.8888753000650,497.8888753000650,497.8888753000650,3.2326683999272100,497.8888753000650,3.2495678999694100,498.0888929000360,498.0888929000360,498.0888929000360,498.0888929000360,498.0888929000360,498.0888929000360,498.0888929000360,,498.7561039000280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8573894000146540,None,498.75723360001600,498.772216900019,498.772216900019,499.3227218000680,down,1,0.5422493000514810,None,499.32301690010400,499.338839400094,499.88885570003200,499.8224338000870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati,1,2025-09-02_17h43.34.443,Working memory task,2024.2.4,60.61439964229130,2025-09-02 17h43.48.652985 +0530,
