srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,key_resp_5.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block7.key_resp_2.rt,block7.key_resp_2.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,text_8.stopped,key_resp_7.stopped,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00937699992209673,0.02595779998227950,0.02595779998227950,152.49642059998600,space,152.4558962000300,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_026_M_NUT.png,0,1,3,0,down,O,O,O,X,O,O,1,x,0,0,0,x,1,,,0.9251440000953150,None,,,,,,,,,,,down,1,1.8794854999287100,None,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.66907289996700,,,,,,,,,418.6527113999470,418.66907289996700,420.10238329996400,420.10238329996400,420.60234320000700,420.60234320000700,421.35236080002500,421.35236080002500,421.8523517999570,421.8523517999570,421.8523517999570,421.8523517999570,421.8523517999570,421.8523517999570,421.8523517999570,421.8523517999570,3.2326939000049600,421.8523517999570,3.2495703999884400,422.0523510000200,422.0523510000200,422.0523510000200,422.0523510000200,422.0523510000200,422.0523510000200,422.0523510000200,,422.78619589994200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.9251440000953150,None,422.78736179997200,422.80234739999300,422.80234739999300,424.6861833999870,down,1,1.8794854999287100,None,424.68775569996800,424.7023038000330,425.25229919992900,425.18591869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,1,1,0,x,1,,,0.8143660000059750,None,,,,,,,,,,,up,1,1.6529624999966500,None,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.25229919992900,,,,,,,,,425.23119279998400,425.25229919992900,426.6856034999950,426.6856034999950,427.18560129997800,427.18560129997800,427.93558890000000,427.93558890000000,428.4355885999980,428.4355885999980,428.4355885999980,428.4355885999980,428.4355885999980,428.4355885999980,428.4355885999980,428.4355885999980,3.232711600023320,428.4355885999980,3.2496136999689000,428.6355745999610,428.6355745999610,428.6355745999610,428.6355745999610,428.6355745999610,428.6355745999610,428.6355745999610,,429.25281460001100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8143660000059750,None,429.2539669999390,429.26890399993900,429.26890399993900,430.9360696999360,up,1,1.6529624999966500,None,430.93635909992700,430.95220870000800,431.5522016999310,431.4358045000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_142_F_HPY.png,1,0,7,7,up,O,O,N,O,O,O,4,n,2,2,0,n,1,,,0.6687303999206050,None,,,,,,,,,,,up,1,1.4478974000085100,None,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.5522016999310,,,,,,,,,431.538385599968,431.5522016999310,432.93550299992800,432.93550299992800,433.4355027999260,433.4355027999260,434.1854759999550,434.1854759999550,434.68550639995400,434.68550639995400,434.68550639995400,434.68550639995400,434.68550639995400,434.68550639995400,434.68550639995400,434.68550639995400,3.2327220999868600,434.68550639995400,3.2497076999861700,434.8854896000120,434.8854896000120,434.8854896000120,434.8854896000120,434.8854896000120,434.8854896000120,434.8854896000120,,435.3693563999840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6687303999206050,None,435.37048169993800,435.3854723999980,435.3854723999980,436.83599199994900,up,1,1.4478974000085100,None,436.836283099954,436.85209900001100,437.4021015999610,437.3356890999710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,3,3,0,n,1,,,0.5526765999384220,None,,,,,,,,,,,up,1,0.8808847999898720,None,,,,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.4021015999610,,,,,,,,,437.38112259993800,437.4021015999610,438.83537879993700,438.83537879993700,439.3353822999630,439.3353822999630,440.08537230000400,440.08537230000400,440.5853758000300,440.5853758000300,440.5853758000300,440.5853758000300,440.5853758000300,440.5853758000300,440.5853758000300,440.5853758000300,3.2326820000307600,440.5853758000300,3.249566000071350,440.7857509999300,440.7857509999300,440.7857509999300,440.7857509999300,440.7857509999300,440.7857509999300,440.7857509999300,,441.1526457000290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5526765999384220,None,441.1537648999370,441.1687105000020,441.1687105000020,442.0525242999430,up,1,0.8808847999898720,None,442.0528139999370,442.0686992999400,442.6186826999770,442.552259100019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,4,4,0,n,1,,,0.6712908999761570,None,,,,,,,,,,,down,1,0.7795511999865990,None,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.6186826999770,,,,,,,,,442.61050960002500,442.6186826999770,444.05199449998300,444.05199449998300,444.5519914999600,444.5519914999600,445.30197879998000,445.30197879998000,445.8019672000080,445.8019672000080,445.8019672000080,445.8019672000080,445.8019672000080,445.8019672000080,445.8019672000080,445.8019672000080,3.2327596000395700,445.8019672000080,3.2496611000970000,446.00196359993400,446.00196359993400,446.00196359993400,446.00196359993400,446.00196359993400,446.00196359993400,446.00196359993400,,446.48582219996000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6712908999761570,None,446.4869546999690,446.5019549999850,446.5019549999850,447.2858120999300,down,1,0.7795511999865990,None,447.2861072999660,447.3019428999400,447.8519420999800,447.7855312000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,5,5,0,x,1,,,0.7347918000305070,None,,,,,,,,,,,down,1,1.184800999937580,None,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.8519420999800,,,,,,,,,447.83852799993500,447.8519420999800,449.28524440003100,449.28524440003100,449.7852348999590,449.7852348999590,450.5352266000120,450.5352266000120,451.0352192999560,451.0352192999560,451.0352192999560,451.0352192999560,451.0352192999560,451.0352192999560,451.0352192999560,451.0352192999560,3.232719099964020,451.0352192999560,3.249621299910360,451.23521569999900,451.23521569999900,451.23521569999900,451.23521569999900,451.23521569999900,451.23521569999900,451.23521569999900,,451.78574109997100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7347918000305070,None,451.7868588999850,451.80187610001300,451.80187610001300,453.0023642999590,down,1,1.184800999937580,None,453.00265519996200,453.018518100027,453.56847639998900,453.50212059996600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,6,6,0,n,1,,,0.6977293000090870,None,,,,,,,,,,,down,0,0.5256251000100750,None,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.56847639998900,,,,,,,,,453.55042430001800,453.56847639998900,455.0018054000100,455.0018054000100,455.50181659997900,455.50181659997900,456.2517946999290,456.2517946999290,456.7517919000240,456.7517919000240,456.7517919000240,456.7517919000240,456.7517919000240,456.7517919000240,456.7517919000240,456.7517919000240,3.2327439000364400,456.7517919000240,3.249649400007910,456.95178769994500,456.95178769994500,456.95178769994500,456.95178769994500,456.95178769994500,456.95178769994500,456.95178769994500,,457.45239009999200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6977293000090870,None,457.45350750000200,457.468451899942,457.468451899942,458.0023623999440,down,0,0.5256251000100750,None,458.0039659999310,458.01844090002100,458.56843789992900,458.5020367000250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,7,7,0,x,1,,,0.8423509999411180,None,,,,,,,,,,,down,1,0.887885499978438,None,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.56843789992900,,,,,,,,,458.55227550002700,458.56843789992900,460.0017395999750,460.0017395999750,460.5017333999280,460.5017333999280,461.25172059994700,461.25172059994700,461.75171829992900,461.75171829992900,461.75171829992900,461.75171829992900,461.75171829992900,461.75171829992900,461.75171829992900,461.75171829992900,3.2326580999651900,461.75171829992900,3.2495535999769300,461.9517099999360,461.9517099999360,461.9517099999360,461.9517099999360,461.9517099999360,461.9517099999360,461.9517099999360,,462.60229399998200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8423509999411180,None,462.603414000012,462.6183367000190,462.6183367000190,463.51885939994800,down,1,0.887885499978438,None,463.52041490003500,463.53502439998600,464.0850135999500,464.01862839993600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
1,DST_142_F_NUT.png,0,0,9,3,down,O,O,O,O,O,X,2,x,8,8,0,x,1,,,0.8938227000180630,None,,,,,,,,,,,down,1,0.704319900018163,None,,,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0850135999500,,,,,,,,,464.06746689998500,464.0850135999500,465.51831640000500,465.51831640000500,466.0183058999250,466.0183058999250,466.7683002999980,466.7683002999980,467.2682952999600,467.2682952999600,467.2682952999600,467.2682952999600,467.2682952999600,467.2682952999600,467.2682952999600,467.2682952999600,3.2327491000760300,467.2682952999600,3.24964690010529,467.4683259000300,467.4683259000300,467.4683259000300,467.4683259000300,467.4683259000300,467.4683259000300,467.4683259000300,,468.16883610002700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8938227000180630,None,468.1699585999600,468.1849437999770,468.1849437999770,468.9021142999410,down,1,0.704319900018163,None,468.9024023999230,468.918265699991,469.53492509992800,469.40183370001600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prajaktha,1,2025-09-26_16h06.59.551,Working memory task,2024.2.4,60.61667769062380,2025-09-26 16h07.16.377018 +0530,
