srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,text_3.stopped,key_resp_3.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,text_8.stopped,key_resp_7.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,key_resp_5.stopped,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00851469999179244,0.025082299951463900,0.025082299951463900,134.9832101999780,space,134.89212400000500,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.603145299945,339.6194527000190,339.6194527000190,418.03534840000800,space,78.40157409990210,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,0,0,0,n,1,,,0.9434407000662760,None,,,,,,,,,,,down,0,0.9536725000943990,None,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.16812179994300,,,,,,,,,418.15123159997200,418.16812179994300,419.53477189992600,419.53477189992600,420.0347666000020,420.0347666000020,420.7847574999320,420.7847574999320,421.28475089999800,421.28475089999800,421.28475089999800,421.28475089999800,421.28475089999800,421.28475089999800,421.28475089999800,421.28475089999800,3.2327065999852500,421.28475089999800,3.2496288999682300,421.48473709996300,421.48473709996300,421.48473709996300,421.48473709996300,421.48473709996300,421.48473709996300,421.48473709996300,,422.2353274000340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9434407000662760,None,422.23647440003700,422.25141299993300,422.25141299993300,423.21856509998900,down,0,0.9536725000943990,None,423.2201964999550,423.23469980002800,423.78471939999100,423.71831000002600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,1,1,0,n,1,,,0.9010016999673100,None,,,,,,,,,,,up,1,1.1594795000273700,None,,,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.78471939999100,,,,,,,,,423.7651549000290,423.78471939999100,425.2180144999880,425.2180144999880,425.7180089999460,425.7180089999460,426.46799829998100,426.46799829998100,426.96798920002800,426.96798920002800,426.96798920002800,426.96798920002800,426.96798920002800,426.96798920002800,426.96798920002800,426.96798920002800,3.2327325999504000,426.96798920002800,3.2496307999827000,427.16797850001600,427.16797850001600,427.16797850001600,427.16797850001600,427.16797850001600,427.16797850001600,427.16797850001600,,427.8851357999960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9010016999673100,None,427.8862694000130,427.90130509994900,427.90130509994900,429.06846520002,up,1,1.1594795000273700,None,429.07006549998200,429.08461729995900,429.68460109992900,429.56821569998300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,2,2,0,x,1,,,0.7469548999797550,None,,,,,,,,,,,up,0,1.1481926999986200,None,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.68460109992900,,,,,,,,,429.6692356999270,429.68460109992900,431.0679138000120,431.0679138000120,431.5679104999870,431.5679104999870,432.31789559999000,432.31789559999000,432.8178879999320,432.8178879999320,432.8178879999320,432.8178879999320,432.8178879999320,432.8178879999320,432.8178879999320,432.8178879999320,3.2327083999989600,432.8178879999320,3.249627299956050,433.0178752000210,433.0178752000210,433.0178752000210,433.0178752000210,433.0178752000210,433.0178752000210,433.0178752000210,,433.56844279996600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7469548999797550,None,433.5695698999330,433.58453739993300,433.58453739993300,434.73503520002100,up,0,1.1481926999986200,None,434.7366675999950,434.7511874999620,435.3178433999420,435.23477620002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_031_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,3,3,0,x,1,,,0.8964413999347020,None,,,,,,,,,,,up,1,1.1878497999860000,None,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.3178433999420,,,,,,,,,435.31056180002600,435.3178433999420,436.7344657999930,436.7344657999930,437.23445640003800,437.23445640003800,437.98446049995300,437.98446049995300,438.4844597999470,438.4844597999470,438.4844597999470,438.4844597999470,438.4844597999470,438.4844597999470,438.4844597999470,438.4844597999470,3.232728200033310,438.4844597999470,3.24962479993701,438.6844518999570,438.6844518999570,438.6844518999570,438.6844518999570,438.6844518999570,438.6844518999570,438.6844518999570,,439.38498259999300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8964413999347020,None,439.38611940003500,439.4010838000100,439.4010838000100,440.6015935000030,up,1,1.1878497999860000,None,440.6031649999790,440.617758300039,441.18441869993700,441.10135230002900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_142_F_HPY.png,1,0,7,7,up,O,O,N,O,O,O,4,n,4,4,0,n,1,,,0.8538391999900340,None,,,,,,,,,,,up,1,1.1224359000334500,None,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.18441869993700,,,,,,,,,441.17677000002000,441.18441869993700,442.6010423999980,442.6010423999980,443.1010406999850,443.1010406999850,443.85101230000100,443.85101230000100,444.3510074999650,444.3510074999650,444.3510074999650,444.3510074999650,444.3510074999650,444.3510074999650,444.3510074999650,444.3510074999650,3.2327204999746800,444.3510074999650,3.2495940000517300,444.55099789996200,444.55099789996200,444.55099789996200,444.55099789996200,444.55099789996200,444.55099789996200,444.55099789996200,,445.21822309994600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8538391999900340,None,445.219347700011,445.2343276999890,445.2343276999890,446.36817569995800,up,1,1.1224359000334500,None,446.3684652999510,446.384314200026,446.93428539997000,446.86789779993700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,5,5,0,n,1,,,0.7194300999399280,None,,,,,,,,,,,down,1,1.2411208000266900,None,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.93428539997000,,,,,,,,,446.9164119999620,446.93428539997000,448.36760959995400,448.36760959995400,448.8676157000010,448.8676157000010,449.6175695999990,449.6175695999990,450.1175941999540,450.1175941999540,450.1175941999540,450.1175941999540,450.1175941999540,450.1175941999540,450.1175941999540,450.1175941999540,3.232728900038640,450.1175941999540,3.2496359000215300,450.3175961000380,450.3175961000380,450.3175961000380,450.3175961000380,450.3175961000380,450.3175961000380,450.3175961000380,,450.85143709997600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7194300999399280,None,450.8525716000000,450.8675768999380,450.8675768999380,452.11809959996000,down,1,1.2411208000266900,None,452.11839199997500,452.13422889995900,452.71755529998300,452.6178164000160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_137_F_HPY.png,1,0,5,5,up,N,O,O,O,O,O,4,n,6,6,0,n,1,,,0.7614355999976400,None,,,,,,,,,,,up,1,1.1937716000247700,None,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.71755529998300,,,,,,,,,452.7044404000040,452.71755529998300,454.11752530001100,454.11752530001100,454.61750269995500,454.61750269995500,455.3675267000220,455.3675267000220,455.867499499931,455.867499499931,455.867499499931,455.867499499931,455.867499499931,455.867499499931,455.867499499931,455.867499499931,3.2327032999601200,455.867499499931,3.2496002999832900,456.06749869999500,456.06749869999500,456.06749869999500,456.06749869999500,456.06749869999500,456.06749869999500,456.06749869999500,,456.6347140999280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7614355999976400,None,456.63585680001400,456.65082019998200,456.65082019998200,457.8513224000340,up,1,1.1937716000247700,None,457.85161719995100,457.8674662000270,458.4174606000310,458.35106919996900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,7,7,0,n,1,,,0.6844617000315340,None,,,,,,,,,,,up,1,0.7846702999668200,None,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.4174606000310,,,,,,,,,458.39659110002700,458.4174606000310,459.85076449997700,459.85076449997700,460.35076059994800,460.35076059994800,461.100745899952,461.100745899952,461.60073990002300,461.60073990002300,461.60073990002300,461.60073990002300,461.60073990002300,461.60073990002300,461.60073990002300,461.60073990002300,3.232725100009700,461.60073990002300,3.249619200010780,461.80073300004000,461.80073300004000,461.80073300004000,461.80073300004000,461.80073300004000,461.80073300004000,461.80073300004000,,462.30126310000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6844617000315340,None,462.3023782999950,462.31739240000000,462.31739240000000,463.1178741999900,up,1,0.7846702999668200,None,463.1181691000240,463.1340413999280,463.7007109000120,463.6176397999520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ananya,1,2025-09-27_14h42.19.532,Working memory task,2024.2.4,61.165221958994600,2025-09-27 14h43.22.615080 +0530,
