srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_2.rt,key_resp_2.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_8.rt,trials.key_resp_8.duration,trials.key_resp_2.rt,trials.key_resp_2.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,text_8.stopped,key_resp_7.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,text_3.stopped,key_resp_3.stopped,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,key_resp_5.stopped,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block10.key_resp_5.rt,block10.key_resp_5.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015926299965940400,0.03250510001089420,0.03250510001089420,984.0536994000430,space,984.0104006000330,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.5650563000200,1160.5813597999500,1160.5813597999500,1259.6970908000400,space,99.10980820003900,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_031_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,0,0,0,x,1,,,,,0.6646258999826390,None,,,,,,,,,up,1,0.9491043000016360,None,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.7631734999600,,,,,,,,,1259.7526851999600,1259.7631734999600,1261.1965017999800,1261.1965017999800,1261.6964750000000,1261.6964750000000,1262.4464705999700,1262.4464705999700,1262.9464609000100,1262.9464609000100,1262.9464609000100,1262.9464609000100,1262.9464609000100,1262.9464609000100,1262.9464609000100,1262.9464609000100,3.2326948998961600,1262.9464609000100,3.249589999904860,1263.1464571000500,1263.1464571000500,1263.1464571000500,1263.1464571000500,1263.1464571000500,1263.1464571000500,1263.1464571000500,,1263.6136435000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.6646258999826390,None,1263.614784299980,1263.629786800010,1263.629786800010,1264.5803246999900,up,1,0.9491043000016360,None,1264.581870600000,1264.596441600010,1265.1464329999900,1265.0800244000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,1,1,0,n,1,,,,,0.8092640000395480,None,,,,,,,,,down,1,0.7684273000340910,None,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.1464329999900,,,,,,,,,1265.1289601000000,1265.1464329999900,1266.5797350000400,1266.5797350000400,1267.0797326000200,1267.0797326000200,1267.8297190000300,1267.8297190000300,1268.329703800030,1268.329703800030,1268.329703800030,1268.329703800030,1268.329703800030,1268.329703800030,1268.329703800030,1268.329703800030,3.2326818000292400,1268.329703800030,3.2495709999930100,1268.5297099000300,1268.5297099000300,1268.5297099000300,1268.5297099000300,1268.5297099000300,1268.5297099000300,1268.5297099000300,,1269.1469545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8092640000395480,None,1269.1480932000600,1269.163035399980,1269.163035399980,1269.9468961999500,down,1,0.7684273000340910,None,1269.947184400050,1269.9630166000000,1270.513009199990,1270.4466196000600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,2,2,0,n,1,,,,,0.6104600999969990,None,,,,,,,,,up,1,0.8257426000200210,None,,,,,,,,,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.513009199990,,,,,,,,,1270.4942986000100,1270.513009199990,1271.9463378000100,1271.9463378000100,1272.4463173999700,1272.4463173999700,1273.1963062000000,1273.1963062000000,1273.6962979000500,1273.6962979000500,1273.6962979000500,1273.6962979000500,1273.6962979000500,1273.6962979000500,1273.6962979000500,1273.6962979000500,3.2327202999731500,1273.6962979000500,3.2496114999521500,1273.8962956999900,1273.8962956999900,1273.8962956999900,1273.8962956999900,1273.8962956999900,1273.8962956999900,1273.8962956999900,,1274.313494800010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6104600999969990,None,1274.3146289000300,1274.3296241000100,1274.3296241000100,1275.1634783999800,up,1,0.8257426000200210,None,1275.1637684999700,1275.1796148000300,1275.7295985000700,1275.663198400060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,3,3,0,n,1,,,,,1.1459778000135000,None,,,,,,,,,down,1,0.8594643999822440,None,,,,,,,,,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.7295985000700,,,,,,,,,1275.7133886000400,1275.7295985000700,1277.1629072000500,1277.1629072000500,1277.6629027000200,1277.6629027000200,1278.4128849000000,1278.4128849000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,1278.9128855000000,3.232718399958690,1278.9128855000000,3.2496186000062200,1279.1128795000300,1279.1128795000300,1279.1128795000300,1279.1128795000300,1279.1128795000300,1279.1128795000300,1279.1128795000300,,1280.0634621999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1459778000135000,None,1280.0645928999900,1280.079534300020,1280.079534300020,1280.946685199980,down,1,0.8594643999822440,None,1280.946972799950,1280.962850300010,1281.5128446000200,1281.4464681999500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,4,4,0,n,1,,,,,1.2028757000807700,None,,,,,,,,,down,1,0.8343045000219720,None,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281.5128446000200,,,,,,,,,1281.4975305000600,1281.5128446000200,1282.9461555000200,1282.9461555000200,1283.4461385000000,1283.4461385000000,1284.1961403000200,1284.1961403000200,1284.6961279000400,1284.6961279000400,1284.6961279000400,1284.6961279000400,1284.6961279000400,1284.6961279000400,1284.6961279000400,1284.6961279000400,3.2327508999733300,1284.6961279000400,3.249665299896150,1284.8961269999900,1284.8961269999900,1284.8961269999900,1284.8961269999900,1284.8961269999900,1284.8961269999900,1284.8961269999900,,1285.9133149000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2028757000807700,None,1285.9144353000400,1285.929443800010,1285.929443800010,1286.7799305999700,down,1,0.8343045000219720,None,1286.7802161000400,1286.7960972000100,1287.3460873999900,1287.279694100030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,5,5,0,x,1,,,,,0.8572064000181850,None,,,,,,,,,down,1,0.7818302999949080,None,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.3460873999900,,,,,,,,,1287.3274175999700,1287.3460873999900,1288.779372400020,1288.779372400020,1289.279394299960,1289.279394299960,1290.029378599950,1290.029378599950,1290.529376200050,1290.529376200050,1290.529376200050,1290.529376200050,1290.529376200050,1290.529376200050,1290.529376200050,1290.529376200050,3.2327497000806000,1290.529376200050,3.24962790007703,1290.7293691000700,1290.7293691000700,1290.7293691000700,1290.7293691000700,1290.7293691000700,1290.7293691000700,1290.7293691000700,,1291.3966855000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.8572064000181850,None,1291.397804899960,1291.4126848999900,1291.4126848999900,1292.1966313000300,down,1,0.7818302999949080,None,1292.1969229000400,1292.212678299980,1292.7626521000600,1292.6962481000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,6,6,0,n,1,,,,,0.9209289000136780,None,,,,,,,,,down,1,1.027169800014240,None,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.7626521000600,,,,,,,,,1292.7494464999800,1292.7626521000600,1294.195956600020,1294.195956600020,1294.6959553000100,1294.6959553000100,1295.445941300020,1295.445941300020,1295.9459488999600,1295.9459488999600,1295.9459488999600,1295.9459488999600,1295.9459488999600,1295.9459488999600,1295.9459488999600,1295.9459488999600,3.2326199000235600,1295.9459488999600,3.2495168999303100,1296.145928199990,1296.145928199990,1296.145928199990,1296.145928199990,1296.145928199990,1296.145928199990,1296.145928199990,,1296.8798572999700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9209289000136780,None,1296.8809844000500,1296.8959331000200,1296.8959331000200,1297.929792299980,down,1,1.027169800014240,None,1297.93008369999,1297.9459330999500,1298.4959138999700,1298.429526800060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,7,7,0,x,1,,,,,0.5562282000901180,None,,,,,,,,,down,1,0.908445299952291,None,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.4959138999700,,,,,,,,,1298.4788581000200,1298.4959138999700,1299.9292331000300,1299.9292331000300,1300.429207499950,1300.429207499950,1301.1792081999600,1301.1792081999600,1301.6792012000200,1301.6792012000200,1301.6792012000200,1301.6792012000200,1301.6792012000200,1301.6792012000200,1301.6792012000200,1301.6792012000200,3.2327259000157900,1301.6792012000200,3.249609100050290,1301.8791959000500,1301.8791959000500,1301.8791959000500,1301.8791959000500,1301.8791959000500,1301.8791959000500,1301.8791959000500,,1302.246384200060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5562282000901180,None,1302.2475400000100,1302.262528100050,1302.262528100050,1303.1796830999700,down,1,0.908445299952291,None,1303.1799724999600,1303.1958470000000,1303.745803100060,1303.6794381999600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nidhi,1,2025-09-29_15h44.51.845,Working memory task,2024.2.4,60.6606920100291,2025-09-29 15h45.10.000521 +0530,
