srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010592999984510200,0.02711359999375420,0.02711359999375420,143.21083309996200,n,143.1765351999780,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.63867359998400,325.65499169996500,325.65499169996500,429.3870663999700,space,103.71699960000100,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_036_F_NUT.png,0,0,2,1,down,O,X,O,O,O,O,2,x,0,0,0,x,1,,,0.5516580999828880,None,,,,,,,,,,,down,1,1.7127316999831200,None,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.5198810999860,,,,,,,,,429.50579299998900,429.5198810999860,430.886525799986,430.886525799986,431.3865194999960,431.3865194999960,432.1365160999700,432.1365160999700,432.6365306999650,432.6365306999650,432.6365306999650,432.6365306999650,432.6365306999650,432.6365306999650,432.6365306999650,432.6365306999650,3.2327675000415200,432.6365306999650,3.2496941999997900,432.83650759997500,432.83650759997500,432.83650759997500,432.83650759997500,432.83650759997500,432.83650759997500,432.83650759997500,,433.203672499978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5516580999828880,None,433.20483579998800,433.21984269999700,433.21984269999700,434.9370142999690,down,1,1.7127316999831200,None,434.93861630000200,434.9531384999860,435.51981239998700,435.43673459999300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,1,1,0,n,1,,,0.6620220000622790,None,,,,,,,,,,,down,1,1.4429880999960000,None,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.51981239998700,,,,,,,,,435.5113631999700,435.51981239998700,436.93644320004400,436.93644320004400,437.43643679999500,437.43643679999500,438.1864163999560,438.1864163999560,438.6864171999620,438.6864171999620,438.6864171999620,438.6864171999620,438.6864171999620,438.6864171999620,438.6864171999620,438.6864171999620,3.2327067999285600,438.6864171999620,3.2496127000195000,438.88639880000800,438.88639880000800,438.88639880000800,438.88639880000800,438.88639880000800,438.88639880000800,438.88639880000800,,439.35363690002100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6620220000622790,None,439.35478009999500,439.36974819999900,439.36974819999900,440.820258199994,down,1,1.4429880999960000,None,440.82055350003100,440.8363694999720,441.38639209995700,441.3199946999670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,2,2,0,n,1,,,0.7059468000661580,None,,,,,,,,,,,up,1,0.9093165999511260,None,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.38639209995700,,,,,,,,,441.36768339999300,441.38639209995700,442.8196765999890,442.8196765999890,443.3196681000410,443.3196681000410,444.06966039998200,444.06966039998200,444.56965260003900,444.56965260003900,444.56965260003900,444.56965260003900,444.56965260003900,444.56965260003900,444.56965260003900,444.56965260003900,3.2326766999904100,444.56965260003900,3.2495909000281200,444.76963719999200,444.76963719999200,444.76963719999200,444.76963719999200,444.76963719999200,444.76963719999200,444.76963719999200,,445.28687330003600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7059468000661580,None,445.2879957999690,445.30297280004000,445.30297280004000,446.22013430000500,up,1,0.9093165999511260,None,446.2204213999790,446.23628200002700,446.78627460001700,446.71989649994100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_097_M_NUT.png,0,1,9,9,up,N,O,O,O,O,O,1,n,3,3,0,n,1,,,0.42637320002540900,None,,,,,,,,,,,up,1,0.8721999999834230,None,,,,,,,,,,,,,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.78627460001700,,,,,,,,,446.7657583000260,446.78627460001700,448.2195970999890,448.2195970999890,448.71958169998800,448.71958169998800,449.46955550002200,449.46955550002200,449.96955760003800,449.96955760003800,449.96955760003800,449.96955760003800,449.96955760003800,449.96955760003800,449.96955760003800,449.96955760003800,3.232729300041680,449.96955760003800,3.2496302999788900,450.1695491000430,450.1695491000430,450.1695491000430,450.1695491000430,450.1695491000430,450.1695491000430,450.1695491000430,,450.40342199994500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.42637320002540900,None,450.40454429999200,450.41955539997400,450.41955539997400,451.3035017999940,up,1,0.8721999999834230,None,451.3037904999800,451.3195347999570,451.8695344000010,451.8031230000200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,4,4,0,n,1,,,0.5190931999823080,None,,,,,,,,,,,down,1,0.5929637000663210,None,,,,,,,,,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.8695344000010,,,,,,,,,451.8500883000090,451.8695344000010,453.3028287999910,453.3028287999910,453.80285219993700,453.80285219993700,454.5528126999850,454.5528126999850,455.05281129997500,455.05281129997500,455.05281129997500,455.05281129997500,455.05281129997500,455.05281129997500,455.05281129997500,455.05281129997500,3.2326124999672200,455.05281129997500,3.2495133000193200,455.25279929995300,455.25279929995300,455.25279929995300,455.25279929995300,455.25279929995300,455.25279929995300,455.25279929995300,,455.58667940000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5190931999823080,None,455.5878130000200,455.60280299995800,455.60280299995800,456.2034138000450,down,1,0.5929637000663210,None,456.20370799995700,456.21943400002800,456.76941829995500,456.7030090999910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,5,5,0,n,1,,,0.4353133999975400,None,,,,,,,,,,,down,1,1.2722746999934300,None,,,,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.76941829995500,,,,,,,,,456.7526890000450,456.76941829995500,458.20274689997300,458.20274689997300,458.7027487999880,458.7027487999880,459.4527283999490,459.4527283999490,459.95272310002500,459.95272310002500,459.95272310002500,459.95272310002500,459.95272310002500,459.95272310002500,459.95272310002500,459.95272310002500,3.23261750000529,459.95272310002500,3.249515099916610,460.1527153000350,460.1527153000350,460.1527153000350,460.1527153000350,460.1527153000350,460.1527153000350,460.1527153000350,,460.4032798000260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.4353133999975400,None,460.4044073999980,460.4193557999680,460.4193557999680,461.7031948000080,down,1,1.2722746999934300,None,461.7034827999890,461.7193618999450,462.2860206999470,462.2029551000450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,6,6,0,x,1,,,0.5033078000415120,None,,,,,,,,,,,down,1,1.1379408999346200,None,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.2860206999470,,,,,,,,,462.2778529000350,462.2860206999470,463.7026682999570,463.7026682999570,464.2026542999670,464.2026542999670,464.95264730003000,464.95264730003000,465.45263330003900,465.45263330003900,465.45263330003900,465.45263330003900,465.45263330003900,465.45263330003900,465.45263330003900,465.45263330003900,3.2327495999634300,465.45263330003900,3.2496429999591800,465.6526227000290,465.6526227000290,465.6526227000290,465.6526227000290,465.6526227000290,465.6526227000290,465.6526227000290,,465.9698057999490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5033078000415120,None,465.97092729999000,465.9859607000250,465.9859607000250,467.13646739994900,down,1,1.1379408999346200,None,467.13675410003600,467.1525993999680,467.7025903999460,467.6361896000450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_015_M_HPY.png,1,1,6,6,up,O,O,O,O,N,O,3,n,7,7,0,n,1,,,0.5178507999517020,None,,,,,,,,,,,up,1,0.8801027999725190,None,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.7025903999460,,,,,,,,,467.68253589997800,467.7025903999460,469.1358968000280,469.1358968000280,469.6358968000280,469.6358968000280,470.3858724999590,470.3858724999590,470.8858836000440,470.8858836000440,470.8858836000440,470.8858836000440,470.8858836000440,470.8858836000440,470.8858836000440,470.8858836000440,3.2327180999564000,470.8858836000440,3.2496309999842200,471.0858465999480,471.0858465999480,471.0858465999480,471.0858465999480,471.0858465999480,471.0858465999480,471.0858465999480,,471.41976669995300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5178507999517020,None,471.4208824999510,471.4358345999500,471.4358345999500,472.31972269999100,up,1,0.8801027999725190,None,472.3200122999840,472.3358513999850,472.8858312999950,472.81945130002000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,8,8,0,n,1,,,0.42272909998428100,None,,,,,,,,,,,up,1,0.8364198999479410,None,,,,,,,,,,,,,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.8858312999950,,,,,,,,,472.86692220001700,472.8858312999950,474.3191444000110,474.3191444000110,474.8191424999970,474.8191424999970,475.56912509998100,475.56912509998100,476.0691169000350,476.0691169000350,476.0691169000350,476.0691169000350,476.0691169000350,476.0691169000350,476.0691169000350,476.0691169000350,3.2327087000012400,476.0691169000350,3.2495987999718600,476.26915180002100,476.26915180002100,476.26915180002100,476.26915180002100,476.26915180002100,476.26915180002100,476.26915180002100,,476.5030053000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.42272909998428100,None,476.5041239000280,476.51912340003800,476.51912340003800,477.3696538999790,up,1,0.8364198999479410,None,477.3699392999410,477.38578199996800,477.96909660002000,477.8693554000350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alankar2,1,2025-10-12_17h35.39.055,Working memory task,2024.2.4,61.06068516341210,2025-10-12 17h36.03.198605 +0530,
