srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_8.keys,key_resp_8.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,key_resp_2.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,text_10.stopped,key_resp_8.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,trials.key_resp_8.rt,trials.key_resp_8.duration,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,text_13.stopped,key_resp_9.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,text_3.stopped,key_resp_3.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010108399670571100,0.02667469996958970,0.02667469996958970,725.334318399895,space,725.2908980003560,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.5287996996190,910.5451255999510,910.5451255999510,999.2775148996150,space,88.71635909983890,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_040_F_HPY.png,1,0,8,3,down,O,X,O,O,O,O,4,x,0,0,0,x,1,,,0.5507092997431760,None,,,,,,,,,,,down,1,0.8392284996807580,None,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.3436592998910,,,,,,,,,999.3304704995830,999.3436592998910,1000.776979799850,1000.776979799850,1001.2769537996500,1001.2769537996500,1002.0269421995600,1002.0269421995600,1002.526939000000,1002.526939000000,1002.526939000000,1002.526939000000,1002.526939000000,1002.526939000000,1002.526939000000,1002.526939000000,3.2327431002631800,1002.526939000000,3.2496638000011400,1002.7269331999100,1002.7269331999100,1002.7269331999100,1002.7269331999100,1002.7269331999100,1002.7269331999100,1002.7269331999100,,1003.0941353999100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5507092997431760,None,1003.0952901998500,1003.1102639995500,1003.1102639995500,1003.9607467996000,down,1,0.8392284996807580,None,1003.9623242998500,1003.9769138000000,1004.526912599800,1004.4605051996200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,1,1,0,n,1,,,0.5748529001139100,None,,,,,,,,,,,down,1,0.8074126997962590,None,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.526912599800,,,,,,,,,1004.513447499830,1004.526912599800,1005.960218699650,1005.960218699650,1006.4602357996600,1006.4602357996600,1007.2101920996800,1007.2101920996800,1007.7101888996500,1007.7101888996500,1007.7101888996500,1007.7101888996500,1007.7101888996500,1007.7101888996500,1007.7101888996500,1007.7101888996500,3.232739499770110,1007.7101888996500,3.249677199870350,1007.9101852998100,1007.9101852998100,1007.9101852998100,1007.9101852998100,1007.9101852998100,1007.9101852998100,1007.9101852998100,,1008.2940382999400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5748529001139100,None,1008.2951676999200,1008.3101740996400,1008.3101740996400,1009.1273384997600,down,1,0.8074126997962590,None,1009.1276369998200,1009.1434966996300,1009.6934618996500,1009.627078099640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,2,2,0,n,1,,,0.6561463996768000,None,,,,,,,,,,,down,1,0.8694350998848680,None,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.6934618996500,,,,,,,,,1009.6756147998400,1009.6934618996500,1011.1267948998100,1011.1267948998100,1011.6267887000000,1011.6267887000000,1012.37677480001,1012.37677480001,1012.8767629996900,1012.8767629996900,1012.8767629996900,1012.8767629996900,1012.8767629996900,1012.8767629996900,1012.8767629996900,1012.8767629996900,3.23273289995268,1012.8767629996900,3.249640400055800,1013.0767606999700,1013.0767606999700,1013.0767606999700,1013.0767606999700,1013.0767606999700,1013.0767606999700,1013.0767606999700,,1013.5439390000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6561463996768000,None,1013.5450859000000,1013.5600963998600,1013.5600963998600,1014.443934599870,down,1,0.8694350998848680,None,1014.4442309998000,1014.4600750999500,1015.0100644999200,1014.9436685997100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_016_M_NUT.png,0,1,3,4,down,O,O,O,O,O,N,1,n,3,3,0,n,1,,,0.6844158000312750,None,,,,,,,,,,,up,0,0.7188503998331730,None,,,,,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.0100644999200,,,,,,,,,1014.992479799780,1015.0100644999200,1016.4433741997900,1016.4433741997900,1016.9433705997700,1016.9433705997700,1017.6933573000100,1017.6933573000100,1018.1933491998400,1018.1933491998400,1018.1933491998400,1018.1933491998400,1018.1933491998400,1018.1933491998400,1018.1933491998400,1018.1933491998400,3.2327261003665600,1018.1933491998400,3.249614800326530,1018.3933431999800,1018.3933431999800,1018.3933431999800,1018.3933431999800,1018.3933431999800,1018.3933431999800,1018.3933431999800,,1018.8938959999900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6844158000312750,None,1018.8950321995700,1018.9100095997600,1018.9100095997600,1019.6438364996600,up,0,0.7188503998331730,None,1019.6454648999500,1019.6599959996500,1020.2099760999000,1020.1435941997900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_017_F_NUT.png,0,0,1,1,up,O,O,N,O,O,O,2,n,4,4,0,n,1,,,1.1886383998207700,None,,,,,,,,,,,up,1,0.9718480003066360,None,,,,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.2099760999000,,,,,,,,,1020.1910679996900,1020.2099760999000,1021.6432892996800,1021.6432892996800,1022.1432792996100,1022.1432792996100,1022.8932666997400,1022.8932666997400,1023.3932832996400,1023.3932832996400,1023.3932832996400,1023.3932832996400,1023.3932832996400,1023.3932832996400,1023.3932832996400,1023.3932832996400,3.2327277995646,1023.3932832996400,3.249657499603930,1023.5932463998900,1023.5932463998900,1023.5932463998900,1023.5932463998900,1023.5932463998900,1023.5932463998900,1023.5932463998900,,1024.5937786996400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1886383998207700,None,1024.5949175995800,1024.6099070999800,1024.6099070999800,1025.5937212999000,up,1,0.9718480003066360,None,1025.5952833998000,1025.6098911999700,1026.159872799650,1026.09344759956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,5,5,0,x,1,,,0.7340901996940370,None,,,,,,,,,,,up,1,0.999588799662888,None,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.159872799650,,,,,,,,,1026.1388463997300,1026.159872799650,1027.5931966998600,1027.5931966998600,1028.0931793996100,1028.0931793996100,1028.8431667997500,1028.8431667997500,1029.3431638996100,1029.3431638996100,1029.3431638996100,1029.3431638996100,1029.3431638996100,1029.3431638996100,1029.3431638996100,1029.3431638996100,3.232747399713840,1029.3431638996100,3.2496512001380300,1029.5431564999700,1029.5431564999700,1029.5431564999700,1029.5431564999700,1029.5431564999700,1029.5431564999700,1029.5431564999700,,1030.0936873997600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7340901996940370,None,1030.0948131997100,1030.1098164999900,1030.1098164999900,1031.1103840996500,up,1,0.999588799662888,None,1031.1106825997100,1031.1264631999700,1031.6764586996300,1031.6100411997200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_029_F_NUT.png,0,0,9,6,down,O,O,O,X,O,O,2,x,6,6,0,x,1,,,0.7613503001630310,None,,,,,,,,,,,down,1,0.8427506000734870,None,,,,,,,,,,,,,0,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.6764586996300,,,,,,,,,1031.6609446997800,1031.6764586996300,1033.1097640995900,1033.1097640995900,1033.6097474996900,1033.6097474996900,1034.3597414996500,1034.3597414996500,1034.8597410996400,1034.8597410996400,1034.8597410996400,1034.8597410996400,1034.8597410996400,1034.8597410996400,1034.8597410996400,1034.8597410996400,3.2326577003113900,1034.8597410996400,3.2495523001998700,1035.059726999610,1035.059726999610,1035.059726999610,1035.059726999610,1035.059726999610,1035.059726999610,1035.059726999610,,1035.6269812998400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7613503001630310,None,1035.62812009966,1035.643056300000,1035.643056300000,1036.4935553995900,down,1,0.8427506000734870,None,1036.4938519997500,1036.5097121996800,1037.0596763999200,1036.9933069995600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
1,DST_118_M_HPY.png,1,1,2,2,up,N,O,O,O,O,O,3,n,7,7,0,n,1,,,0.7299391999840740,None,,,,,,,,,,,up,1,0.8441413003019990,None,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.0596763999200,,,,,,,,,1037.0412794998800,1037.0596763999200,1038.4930040999300,1038.4930040999300,1038.9929991997800,1038.9929991997800,1039.7430423996400,1039.7430423996400,1040.2429836997800,1040.2429836997800,1040.2429836997800,1040.2429836997800,1040.2429836997800,1040.2429836997800,1040.2429836997800,1040.2429836997800,3.232727199792860,1040.2429836997800,3.2496393998153500,1040.442968199960,1040.442968199960,1040.442968199960,1040.442968199960,1040.442968199960,1040.442968199960,1040.442968199960,,1040.9768706997900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7299391999840740,None,1040.9779956997400,1040.992964899630,1040.992964899630,1041.8435584995900,up,1,0.8441413003019990,None,1041.843857599890,1041.8596168998600,1042.4096132000000,1042.3432839997100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prathiksha,1,2025-11-07_15h42.44.070,Working memory task,2024.2.4,61.125964784635200,2025-11-07 15h43.46.441406 +0530,
