srn,face,emotion,Gender,workmem,wmq,wmans,T1,T2,T3,T4,T5,T6,trig,pans,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.duration,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,block5.thisRepN,block5.thisTrialN,block5.thisN,block5.thisIndex,block6.thisRepN,block6.thisTrialN,block6.thisN,block6.thisIndex,block7.thisRepN,block7.thisTrialN,block7.thisN,block7.thisIndex,block8.thisRepN,block8.thisTrialN,block8.thisN,block8.thisIndex,block9.thisRepN,block9.thisTrialN,block9.thisN,block9.thisIndex,block10.thisRepN,block10.thisTrialN,block10.thisN,block10.thisIndex,block11.thisRepN,block11.thisTrialN,block11.thisN,block11.thisIndex,block12.thisRepN,block12.thisTrialN,block12.thisN,block12.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trail.started,Cross.started,Cross.stopped,workingMemory.started,workingMemory.stopped,Mask.started,Mask.stopped,cross2.started,cross2.stopped,face_image.started,p1.started,p2.started,p3.started,p4.started,p5.started,p6.started,p_port.started,key_resp_2.started,p_port.stopped,face_image.stopped,p1.stopped,p2.stopped,p3.stopped,p4.stopped,p5.stopped,p6.stopped,trail.stopped,trials.key_resp_2.keys,trials.key_resp_2.corr,trials.key_resp_2.rt,trials.key_resp_2.duration,Feedback5.started,msg1_2.started,text_10.started,key_resp_8.started,msg1_2.stopped,Feedback5.stopped,trials.key_resp_8.keys,trials.key_resp_8.corr,trials.key_resp_8.rt,trials.key_resp_8.duration,Feedback6.started,text_11.started,text_11.stopped,Feedback6.stopped,break_2.started,text_2.started,key_resp_4.started,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trail2.started,crossH.started,crossH.stopped,workingMemory_2.started,workingMemory_2.stopped,Mask_2.started,Mask_2.stopped,cross2_2.started,cross2_2.stopped,face_image_2.started,p1_2.started,p2_2.started,p3_2.started,p4_2.started,p5_2.started,p6_2.started,p_port_2.started,key_resp_5.started,p_port_2.stopped,face_image_2.stopped,p1_2.stopped,p2_2.stopped,p3_2.stopped,p4_2.stopped,p5_2.stopped,p6_2.stopped,trail2.stopped,trials_2.key_resp_5.keys,trials_2.key_resp_5.corr,trials_2.key_resp_5.rt,trials_2.key_resp_5.duration,Feedback7.started,text_12.started,text_13.started,key_resp_9.started,text_12.stopped,Feedback7.stopped,trials_2.key_resp_9.keys,trials_2.key_resp_9.corr,trials_2.key_resp_9.rt,trials_2.key_resp_9.duration,Feedback8.started,text_14.started,text_14.stopped,Feedback8.stopped,mainEXPstart.started,text_6.started,key_resp_6.started,mainEXPstart.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,block1.key_resp_2.keys,block1.key_resp_2.corr,block1.key_resp_2.rt,block1.key_resp_2.duration,feedback.started,text_3.started,key_resp_3.started,feedback.stopped,block1.key_resp_3.keys,block1.key_resp_3.corr,block1.key_resp_3.rt,block1.key_resp_3.duration,feedback2.started,text_4.started,text_4.stopped,feedback2.stopped,block2.key_resp_5.keys,block2.key_resp_5.corr,block2.key_resp_5.rt,block2.key_resp_5.duration,Feedback3.started,text_8.started,key_resp_7.started,Feedback3.stopped,block2.key_resp_7.keys,block2.key_resp_7.corr,block2.key_resp_7.rt,block2.key_resp_7.duration,feedback4.started,text_9.started,text_9.stopped,feedback4.stopped,block3.key_resp_2.keys,block3.key_resp_2.corr,block3.key_resp_2.rt,block3.key_resp_2.duration,block3.key_resp_3.keys,block3.key_resp_3.corr,block3.key_resp_3.rt,block3.key_resp_3.duration,key_resp_2.stopped,block4.key_resp_5.keys,block4.key_resp_5.corr,block4.key_resp_5.rt,block4.key_resp_5.duration,block4.key_resp_7.keys,block4.key_resp_7.corr,block4.key_resp_7.rt,block4.key_resp_7.duration,key_resp_5.stopped,block5.key_resp_2.keys,block5.key_resp_2.corr,block5.key_resp_2.rt,block5.key_resp_2.duration,block5.key_resp_3.keys,block5.key_resp_3.corr,block5.key_resp_3.rt,block5.key_resp_3.duration,block6.key_resp_5.keys,block6.key_resp_5.corr,block6.key_resp_5.rt,block6.key_resp_5.duration,block6.key_resp_7.keys,block6.key_resp_7.corr,block6.key_resp_7.rt,block6.key_resp_7.duration,block7.key_resp_2.keys,block7.key_resp_2.corr,block7.key_resp_2.rt,block7.key_resp_2.duration,block7.key_resp_3.keys,block7.key_resp_3.corr,block7.key_resp_3.rt,block7.key_resp_3.duration,block8.key_resp_5.keys,block8.key_resp_5.corr,block8.key_resp_5.rt,block8.key_resp_5.duration,block8.key_resp_7.keys,block8.key_resp_7.corr,block8.key_resp_7.rt,block8.key_resp_7.duration,block9.key_resp_2.keys,block9.key_resp_2.corr,block9.key_resp_2.rt,block9.key_resp_2.duration,block9.key_resp_3.keys,block9.key_resp_3.corr,block9.key_resp_3.rt,block9.key_resp_3.duration,block10.key_resp_5.keys,block10.key_resp_5.corr,block10.key_resp_5.rt,block10.key_resp_5.duration,block10.key_resp_7.keys,block10.key_resp_7.corr,block10.key_resp_7.rt,block10.key_resp_7.duration,block11.key_resp_2.keys,block11.key_resp_2.corr,block11.key_resp_2.rt,block11.key_resp_2.duration,block11.key_resp_3.keys,block11.key_resp_3.corr,block11.key_resp_3.rt,block11.key_resp_3.duration,block12.key_resp_5.keys,block12.key_resp_5.corr,block12.key_resp_5.rt,block12.key_resp_5.duration,block12.key_resp_7.keys,block12.key_resp_7.corr,block12.key_resp_7.rt,block12.key_resp_7.duration,end.started,text_5.started,text_5.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008185099984984850,0.02475490001961590,0.02475490001961590,78.36340989999010,space,78.32600729999830,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_026_M_NUT.png,0,1,3,0,down,O,O,O,X,O,O,1,x,0,0,0,x,1,0.5865617999807,None,,,,,,,,,,,,,down,1,0.7857216999982480,None,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2194435999850,,,,,,,,,298.2054729000080,298.2194435999850,299.65275660000000,299.65275660000000,300.15273349999900,300.15273349999900,300.90271669998800,300.90271669998800,301.4027114000060,301.4027114000060,301.4027114000060,301.4027114000060,301.4027114000060,301.4027114000060,301.4027114000060,301.4027114000060,3.2327095000073300,301.4027114000060,3.249595400004180,301.6027010999970,301.6027010999970,301.6027010999970,301.6027010999970,301.6027010999970,301.6027010999970,301.6027010999970,302.00327689998100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.5865617999807,None,302.00443319999600,302.0193694999910,302.0193694999910,302.8199863000190,down,1,0.7857216999982480,None,302.82158759998900,302.83602839999400,303.38601770001700,303.3196060999760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_048_M_HPY.png,1,1,9,9,up,X,O,O,O,O,O,3,x,1,1,0,x,1,0.852050399989821,None,,,,,,,,,,,,,up,1,0.7844165000133220,None,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.38601770001700,,,,,,,,,303.36390900000700,303.38601770001700,304.81932329997700,304.81932329997700,305.31931629998100,305.31931629998100,306.06931240001000,306.06931240001000,306.56931190000600,306.56931190000600,306.56931190000600,306.56931190000600,306.56931190000600,306.56931190000600,306.56931190000600,306.56931190000600,3.2326301999855800,306.56931190000600,3.2495429000118700,306.7692916999800,306.7692916999800,306.7692916999800,306.7692916999800,306.7692916999800,306.7692916999800,306.7692916999800,307.4365305000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.852050399989821,None,307.43767529999600,307.4526132000030,307.4526132000030,308.25310949998700,up,1,0.7844165000133220,None,308.25340159999900,308.26925660000400,308.819273400004,308.75287020002700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_036_F_NUT.png,0,0,2,1,down,O,X,O,O,O,O,2,x,2,2,0,x,1,0.6353770000278020,None,,,,,,,,,,,,,down,1,0.8236503999796700,None,,,,,,,,,,,,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.819273400004,,,,,,,,,308.8003331000220,308.819273400004,310.2525713000210,310.2525713000210,310.7525643000260,310.7525643000260,311.50256100000100,311.50256100000100,312.0025487000240,312.0025487000240,312.0025487000240,312.0025487000240,312.0025487000240,312.0025487000240,312.0025487000240,312.0025487000240,3.23275259998627,312.0025487000240,3.2496535999816800,312.2025670000000,312.2025670000000,312.2025670000000,312.2025670000000,312.2025670000000,312.2025670000000,312.2025670000000,312.65309209999400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.6353770000278020,None,312.6542505000250,312.6691810999760,312.6691810999760,313.50307300000000,down,1,0.8236503999796700,None,313.5033648000100,313.51918419997700,314.06917319999800,314.00279980001500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_015_M_HPY.png,1,1,6,6,up,O,O,O,O,N,O,3,n,3,3,0,n,1,0.7445510999532420,None,,,,,,,,,,,,,up,1,0.8515187000157310,None,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.06917319999800,,,,,,,,,314.04940730001500,314.06917319999800,315.5024664999800,315.5024664999800,316.0024419000260,316.0024419000260,316.752459499985,316.752459499985,317.25243480003000,317.25243480003000,317.25243480003000,317.25243480003000,317.25243480003000,317.25243480003000,317.25243480003000,317.25243480003000,3.232690100034230,317.25243480003000,3.2495969000156000,317.45244670001600,317.45244670001600,317.45244670001600,317.45244670001600,317.45244670001600,317.45244670001600,317.45244670001600,318.0029893000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7445510999532420,None,318.0041368000090,318.01911230001100,318.01911230001100,318.88628829998200,up,1,0.8515187000157310,None,318.88657919998500,318.9024200999990,319.50244409998400,319.38600400002900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_065_F_HPY.png,1,0,4,6,down,O,N,O,O,O,O,4,n,4,4,0,n,1,1.0343028000206700,None,,,,,,,,,,,,,down,1,2.0948924000258600,None,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.50244409998400,,,,,,,,,319.48871499998500,319.50244409998400,320.8856840999800,320.8856840999800,321.3856968000180,321.3856968000180,322.1356970000200,322.1356970000200,322.635692699987,322.635692699987,322.635692699987,322.635692699987,322.635692699987,322.635692699987,322.635692699987,322.635692699987,3.232711599965110,322.635692699987,3.24961080000503,322.83568509999900,322.83568509999900,322.83568509999900,322.83568509999900,322.83568509999900,322.83568509999900,322.83568509999900,323.686208500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0343028000206700,None,323.68734980002000,323.70234329998500,323.70234329998500,325.80287840002000,down,1,2.0948924000258600,None,325.80317460000500,325.8189570999820,326.3689653999750,326.30254489998300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_116_M_NUT.png,0,1,8,3,down,O,O,O,N,O,O,1,n,5,5,0,n,1,1.0607137000188200,None,,,,,,,,,,,,,down,1,0.8899322999641300,None,,,,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.3689653999750,,,,,,,,,326.3523471999800,326.3689653999750,327.802254499984,327.802254499984,328.3022661000140,328.3022661000140,329.0522428000110,329.0522428000110,329.55223339999800,329.55223339999800,329.55223339999800,329.55223339999800,329.55223339999800,329.55223339999800,329.55223339999800,329.55223339999800,3.232656499953010,329.55223339999800,3.249555899994450,329.75222179997900,329.75222179997900,329.75222179997900,329.75222179997900,329.75222179997900,329.75222179997900,329.75222179997900,330.6194540000290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,1.0607137000188200,None,330.62059659999800,330.63555280002800,330.63555280002800,331.5360664000040,down,1,0.8899322999641300,None,331.53635790001100,331.552186099987,332.1021864999780,332.0357882999820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_159_F_HPY.png,1,0,5,7,down,O,O,O,N,O,O,4,n,6,6,0,n,1,0.6960940000135450,None,,,,,,,,,,,,,down,1,1.4515467999735800,None,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.1021864999780,,,,,,,,,332.0944721000270,332.1021864999780,333.53550100000600,333.53550100000600,334.03547639999300,334.03547639999300,334.7854591999790,334.7854591999790,335.28546009998500,335.28546009998500,335.28546009998500,335.28546009998500,335.28546009998500,335.28546009998500,335.28546009998500,335.28546009998500,3.2326999000506500,335.28546009998500,3.2496000000392100,335.4854590999890,335.4854590999890,335.4854590999890,335.4854590999890,335.4854590999890,335.4854590999890,335.4854590999890,335.98606849997300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6960940000135450,None,335.98721360001900,336.0021200000190,336.0021200000190,337.46927459997800,down,1,1.4515467999735800,None,337.4695669999930,337.4854167000160,338.0354170000060,337.96901529998300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_086_M_NUT.png,0,1,6,6,up,O,O,N,O,O,O,1,n,7,7,0,n,1,0.7628070000209850,None,,,,,,,,,,,,,up,1,0.7873228999669660,None,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0354170000060,,,,,,,,,338.0171149999950,338.0354170000060,339.4687259999920,339.4687259999920,339.96870640001700,339.96870640001700,340.7186969000030,340.7186969000030,341.21869760000800,341.21869760000800,341.21869760000800,341.21869760000800,341.21869760000800,341.21869760000800,341.21869760000800,341.21869760000800,3.23273029999109,341.21869760000800,3.249632899998690,341.4186856999880,341.4186856999880,341.4186856999880,341.4186856999880,341.4186856999880,341.4186856999880,341.4186856999880,341.9859581000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7628070000209850,None,341.987080699997,342.00200660002900,342.00200660002900,342.80258369998800,up,1,0.7873228999669660,None,342.80287449999000,342.81866609997800,343.38531789998500,343.30226540000900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
1,DST_071_M_HPY.png,1,1,7,8,down,O,O,O,O,O,X,3,x,8,8,0,x,1,0.7168314000009560,None,,,,,,,,,,,,,down,1,0.7923196000047030,None,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.38531789998500,,,,,,,,,343.36817570001600,343.38531789998500,344.8019360000040,344.8019360000040,345.30195260001300,345.30195260001300,346.05194560001800,346.05194560001800,346.55194069998100,346.55194069998100,346.55194069998100,346.55194069998100,346.55194069998100,346.55194069998100,346.55194069998100,346.55194069998100,3.2326582999667200,346.55194069998100,3.2495585999568000,346.7519228999740,346.7519228999740,346.7519228999740,346.7519228999740,346.7519228999740,346.7519228999740,346.7519228999740,347.269321699976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,1,0.7168314000009560,None,347.27044799999600,347.2852534999840,347.2852534999840,348.0857861000110,down,1,0.7923196000047030,None,348.0860799999790,348.10190080001500,348.6685627999830,348.5854999999870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishaka,1,2025-08-30_13h24.22.611,Working memory task,2024.2.4,60.38581707585140,2025-08-30 13h24.31.278530 +0530,
