Participant,participant,Time,Neutral_Low_CS,Happy_Low_CS,Neutral_Low_ZM,Happy_Low_ZM,Neutral_High_CS,Happy_High_CS,Neutral_High_ZM,Happy_High_ZM
P10,P10,0.2998,0.7287972486,0.7377904598,0.7880425825,0.7056920549,0.7749915544,0.5758199035,0.8066994925,0.7088506386
P10,P10,0.30029,0.7920773155,0.7218524217,0.7482483103,0.6549901393,0.7729157859,0.6407276401,0.7998083345,0.8774686253
P10,P10,0.30078,0.8099530728,0.7317558985,0.7758682093,0.6217220095,0.7791334569,0.7731873068,0.7114248765,0.927582882
P10,P10,0.30127,0.8028344296,0.7266408078,0.7568239857,0.6712073542,0.7897289938,0.7861496175,0.6499497734,0.7889035678
P10,P10,0.30176,0.8389486585,0.7222190927,0.7366789853,0.7812373079,0.7605086385,0.7528976867,0.8302509193,0.7363780563
P10,P10,0.30225,0.9014661316,0.6978653704,0.7211414527,0.8211797333,0.7330431664,0.7653371743,0.8057864516,0.7447297003
P10,P10,0.30273,0.8932425121,0.6897993478,0.690194937,0.7353070526,0.7686112384,0.78669951,0.8198036016,0.7662935693
P10,P10,0.30322,0.8575254331,0.7212179165,0.7394258388,0.6793393091,0.8102352601,0.7742099573,0.8743559023,0.805566313
P10,P10,0.30371,0.8129020885,0.7426981405,0.7504272378,0.7257464222,0.8601826317,0.7466790538,0.7620589668,0.8368626067
P10,P10,0.3042,0.7814269554,0.7171799281,0.8185438368,0.8000008724,0.9171831066,0.8031474481,0.673726348,0.7957348075
P10,P10,0.30469,0.7539015611,0.6603079612,0.833612596,0.8557771843,0.9180635343,0.9292849588,0.7224205315,0.874848984
P10,P10,0.30518,0.7484326382,0.6025187138,0.7328915071,0.8193813601,0.916818326,0.9814306047,0.8208655144,0.8160703536
P10,P10,0.30566,0.8051694103,0.6238970843,0.6688480836,0.6961437706,0.8869860665,0.9557931576,0.8735678255,0.8068276177
P10,P10,0.30615,0.8432428988,0.6568504497,0.6482314621,0.6756459611,0.9175249438,0.8728449208,0.7383627981,0.8709474007
P10,P10,0.30664,0.8547939898,0.7110636529,0.6418767649,0.6917498714,0.9358872724,0.8580088329,0.5899859854,0.8510130084
P10,P10,0.30713,0.8280239968,0.7371312454,0.7165574334,0.7072721955,0.8738670339,0.9288012839,0.5539949934,0.8165745503
